YR,AGE,SEER,EER
1980,40,6.5,6.44
1981,39,8,7.68
1982,38,8,7.68
1983,37,8,7.68
1984,36,8,7.68
1985,35,8,7.68
1986,34,8,7.68
1987,33,8,7.68
1988,32,8,7.68
1989,31,8,7.68
1990,30,8,7.68
1991,29,8,7.68
1992,28,10,9.2
1993,27,10,9.2
1994,26,10,9.2
1995,25,10,9.2
1996,24,10,9.2
1997,23,10,9.2
1998,22,10,9.2
1999,21,10,9.2
2000,20,10,9.2
2001,19,10,9.2
2002,18,10,9.2
2003,17,10,9.2
2004,16,10,9.2
2005,15,10,9.2
2006,14,13,11.18
2007,13,13,11.18
2008,12,13,11.18
2009,11,13,11.18
2010,10,13,11.18
2011,9,13,11.18
2012,8,13,11.18
2013,7,13,11.18
2014,6,13,11.18
2015,5,14,11.76
2016,4,14,11.76
2017,3,14,11.76
2018,2,14,11.76
2019,1,14,11.76
2020,0,14,11.76
