site_id,local_id,asset_id,x_make,x_model,asset_type,x_tonnage,x_evap_hp,x_eer,x_refrig_type,year,age,x_economizer,x_vfd,x_cmp_stg,x_condition,strategy,cost,n_make,n_model,n_tonnage,n_evap_hp,n_eer,n_economizer,n_vfd,n_cmp_stg
539,1001,539_1001,LENNOX,,PKG,,,12,R-410A,2019,1,FALSE,FALSE,,EXCELLENT,NO ACTION,$0 ,,,,,,,,
107,1002,107_1002,LENNOX,LGH180H4MM3G,PKG,15,5,12,R-410A,2016,4,FALSE,FALSE,3,EXCELLENT,NO ACTION,$0 ,,,,,,,,
1723,1003,1723_1003,CARRIER,50HGA028LA-60ABE,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1004,1723_1004,CARRIER,50HGAL28LA-60ABD,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1005,1723_1005,CARRIER,50HGAL28LA-60ABC,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1006,1723_1006,CARRIER,50HGAL28LA-60ABB,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1007,1723_1007,CARRIER,50HGAL28LA-60ABA,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1008,1723_1008,CARRIER,50HGAL28LA-60AB9,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1009,1723_1009,CARRIER,50HGAL28LA-60AB8,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
1723,1010,1723_1010,CARRIER,50HGAL28LA-60AB7,PKG,25,7.5,10.4,R-22,2003,17,FALSE,FALSE,2,GOOD,REPLACE,"$40,518 ",CARRIER,50TC-D28A2A6-0A3G0,25,7.50,11.9,TRUE,TRUE,2
