MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,,,,,,,,,,
1,1,0,1,19.00,18.20,,,,,,,,,,
1,1,1,2,1.00,0.40,,,,,,,,,,
1,1,2,3,0.00,-0.60,,,,,,,,,,
1,1,3,4,0.00,-0.60,,,,,,,,,,
1,1,4,5,1.00,0.40,,,,,,,,,,
1,1,5,6,1.00,0.40,,,,,,,,,,
1,1,6,7,1.90,1.30,,,,,,,,,,
1,1,7,8,1.90,1.30,,,,,,,,,,
1,1,8,9,1.90,1.30,,,,,,,,,,
1,1,9,10,1.90,1.50,,,,,,,,,,
1,1,10,11,3.90,3.20,,,,,,,,,,
1,1,11,12,3.90,3.20,,,,,,,,,,
1,1,12,13,5.00,4.30,,,,,,,,,,
1,1,13,14,5.00,4.30,,,,,,,,,,
1,1,14,15,3.90,3.20,,,,,,,,,,
1,1,15,16,3.90,3.30,,,,,,,,,,
1,1,16,17,3.90,3.30,,,,,,,,,,
1,1,17,18,5.00,4.00,,,,,,,,,,
1,1,18,19,3.00,2.20,,,,,,,,,,
1,1,19,20,5.00,4.00,,,,,,,,,,
1,1,20,21,6.10,4.90,,,,,,,,,,
1,1,21,22,6.10,4.90,,,,,,,,,,
1,1,22,23,6.10,4.90,,,,,,,,,,
1,1,23,24,6.10,5.10,,,,,,,,,,
1,2,0,25,6.10,5.40,,,,,,,,,,
1,2,1,26,6.10,5.40,,,,,,,,,,
1,2,2,27,6.10,5.40,,,,,,,,,,
1,2,3,28,6.10,5.40,,,,,,,,,,
1,2,4,29,6.10,5.40,,,,,,,,,,
1,2,5,30,7.00,6.30,,,,,,,,,,
1,2,6,31,7.00,6.30,,,,,,,,,,
1,2,7,32,8.10,7.30,,,,,,,,,,
1,2,8,33,8.10,7.30,,,,,,,,,,
1,2,9,34,9.00,7.70,,,,,,,,,,
1,2,10,35,9.00,8.00,,,,,,,,,,
1,2,11,36,9.00,8.00,,,,,,,,,,
1,2,12,37,10.00,8.70,,,,,,,,,,
1,2,13,38,10.90,9.70,,,,,,,,,,
1,2,14,39,10.90,9.70,,,,,,,,,,
1,2,15,40,10.90,9.70,,,,,,,,,,
1,2,16,41,10.90,9.90,,,,,,,,,,
1,2,17,42,10.90,9.70,,,,,,,,,,
1,2,18,43,10.90,9.70,,,,,,,,,,
1,2,19,44,12.00,10.40,,,,,,,,,,
1,2,20,45,12.00,10.40,,,,,,,,,,
1,2,21,46,12.00,10.60,,,,,,,,,,
1,2,22,47,12.00,10.70,,,,,,,,,,
1,2,23,48,12.90,11.30,,,,,,,,,,
1,3,0,49,12.00,10.00,,,,,,,,,,
1,3,1,50,12.90,10.70,,,,,,,,,,
1,3,2,51,10.90,9.20,,,,,,,,,,
1,3,3,52,10.90,9.50,,,,,,,,,,
1,3,4,53,15.10,13.10,,,,,,,,,,
1,3,5,54,12.90,11.30,,,,,,,,,,
1,3,6,55,15.10,13.10,,,,,,,,,,
1,3,7,56,15.10,13.30,,,,,,,,,,
1,3,8,57,15.10,13.90,,,,,,,,,,
1,3,9,58,15.10,13.90,,,,,,,,,,
1,3,10,59,16.00,14.30,,,,,,,,,,
1,3,11,60,17.10,15.60,,,,,,,,,,
1,3,12,61,17.10,15.60,,,,,,,,,,
1,3,13,62,17.10,15.80,,,,,,,,,,
1,3,14,63,17.10,16.00,,,,,,,,,,
1,3,15,64,18.00,17.30,,,,,,,,,,
1,3,16,65,17.10,16.30,,,,,,,,,,
1,3,17,66,17.10,16.30,,,,,,,,,,
1,3,18,67,18.00,17.00,,,,,,,,,,
1,3,19,68,18.00,17.00,,,,,,,,,,
1,3,20,69,18.00,17.30,,,,,,,,,,
1,3,21,70,18.00,16.70,,,,,,,,,,
1,3,22,71,18.00,17.00,,,,,,,,,,
1,3,23,72,18.00,16.70,,,,,,,,,,
1,4,0,73,18.00,16.70,,,,,,,,,,
1,4,1,74,18.00,16.70,,,,,,,,,,
1,4,2,75,18.00,17.00,,,,,,,,,,
1,4,3,76,18.00,17.00,,,,,,,,,,
1,4,4,77,18.00,17.00,,,,,,,,,,
1,4,5,78,19.00,17.40,,,,,,,,,,
1,4,6,79,18.00,17.00,,,,,,,,,,
1,4,7,80,18.00,16.70,,,,,,,,,,
1,4,8,81,18.00,16.70,,,,,,,,,,
1,4,9,82,19.00,16.70,,,,,,,,,,
1,4,10,83,19.00,17.20,,,,,,,,,,
1,4,11,84,19.00,18.00,,,,,,,,,,
1,4,12,85,19.90,18.30,,,,,,,,,,
1,4,13,86,19.00,17.40,,,,,,,,,,
1,4,14,87,21.90,20.00,,,,,,,,,,
1,4,15,88,21.00,19.30,,,,,,,,,,
1,4,16,89,19.90,19.10,,,,,,,,,,
1,4,17,90,19.90,19.10,,,,,,,,,,
1,4,18,91,21.00,20.20,,,,,,,,,,
1,4,19,92,21.90,20.50,,,,,,,,,,
1,4,20,93,19.00,18.20,,,,,,,,,,
1,4,21,94,19.90,18.90,,,,,,,,,,
1,4,22,95,16.00,15.30,,,,,,,,,,
1,4,23,96,19.90,18.90,,,,,,,,,,
1,5,0,97,19.00,18.20,,,,,,,,,,
1,5,1,98,18.00,17.00,,,,,,,,,,
1,5,2,99,15.10,14.40,,,,,,,,,,
1,5,3,100,14.00,13.40,,,,,,,,,,
1,5,4,101,17.10,16.10,,,,,,,,,,
1,5,5,102,18.00,16.50,,,,,,,,,,
1,5,6,103,18.00,16.50,,,,,,,,,,
1,5,7,104,12.90,12.50,,,,,,,,,,
1,5,8,105,12.00,11.70,,,,,,,,,,
1,5,9,106,12.90,12.60,,,,,,,,,,
1,5,10,107,10.00,9.50,,,,,,,,,,
1,5,11,108,12.00,11.70,,,,,,,,,,
