MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,48.90,47.80,
1,1,1,2,30.90,29.70,
1,1,2,3,30.00,28.40,
1,1,3,4,28.90,27.80,
1,1,4,5,28.90,27.40,
1,1,5,6,28.90,27.40,
1,1,6,7,28.00,26.80,
1,1,7,8,27.00,25.90,
1,1,8,9,27.00,25.90,
1,1,9,10,27.00,25.90,
1,1,10,11,28.00,27.20,
1,1,11,12,28.90,27.30,
1,1,12,13,30.90,28.90,
1,1,13,14,33.10,30.90,
1,1,14,15,34.00,31.80,
1,1,15,16,35.10,32.40,
1,1,16,17,35.10,32.00,
1,1,17,18,32.00,29.20,
1,1,18,19,28.00,25.70,
1,1,19,20,21.90,20.90,
1,1,20,21,19.90,19.20,
1,1,21,22,19.90,19.20,
1,1,22,23,21.00,19.70,
1,1,23,24,21.90,20.10,
1,2,0,25,21.90,20.40,
1,2,1,26,19.90,18.70,
1,2,2,27,19.00,18.10,
1,2,3,28,18.00,17.10,
1,2,4,29,16.00,15.10,
1,2,5,30,14.00,13.20,
1,2,6,31,18.00,16.30,
1,2,7,32,24.10,22.10,
1,2,8,33,26.10,23.90,
1,2,9,34,36.00,31.80,
1,2,10,35,37.90,34.00,
1,2,11,36,37.90,34.40,
1,2,12,37,41.00,37.00,
1,2,13,38,43.00,38.10,
1,2,14,39,46.90,40.50,
1,2,15,40,48.90,41.90,
1,2,16,41,48.00,41.40,
1,2,17,42,45.00,39.60,
1,2,18,43,46.00,40.40,
1,2,19,44,43.00,38.50,
1,2,20,45,44.10,39.10,
1,2,21,46,46.00,41.60,
1,2,22,47,46.00,42.50,
1,2,23,48,46.90,43.80,
1,3,0,49,46.00,43.40,
1,3,1,50,46.90,44.30,
1,3,2,51,48.00,45.80,
1,3,3,52,46.00,43.90,
1,3,4,53,46.90,44.80,
1,3,5,54,46.00,44.30,
1,3,6,55,43.00,41.90,
1,3,7,56,46.00,44.30,
1,3,8,57,46.90,44.80,
1,3,9,58,50.00,47.20,
1,3,10,59,51.10,47.70,
1,3,11,60,53.10,49.10,
1,3,12,61,55.00,50.40,
1,3,13,62,57.90,51.70,
1,3,14,63,57.90,52.20,
1,3,15,64,59.00,53.10,
1,3,16,65,57.90,52.70,
