MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,44.10,39.90,
1,1,1,2,41.00,36.30,
1,1,2,3,39.90,35.30,
1,1,3,4,37.90,33.70,
1,1,4,5,37.00,32.80,
1,1,5,6,33.10,31.00,
1,1,6,7,32.00,29.90,
1,1,7,8,34.00,31.50,
1,1,8,9,35.10,32.90,
1,1,9,10,39.00,36.00,
1,1,10,11,43.00,37.40,
1,1,11,12,45.00,38.80,
1,1,12,13,46.90,40.20,
1,1,13,14,50.00,41.40,
1,1,14,15,51.10,42.00,
1,1,15,16,53.10,43.40,
1,1,16,17,52.00,42.90,
1,1,17,18,48.00,40.80,
1,1,18,19,43.00,37.70,
1,1,19,20,39.90,36.00,
1,1,20,21,37.00,34.40,
1,1,21,22,35.10,32.90,
1,1,22,23,34.00,32.30,
1,1,23,24,32.00,30.70,
1,2,0,25,32.00,30.70,
1,2,1,26,30.90,29.70,
1,2,2,27,30.90,29.70,
1,2,3,28,30.00,28.80,
1,2,4,29,30.00,28.80,
1,2,5,30,28.90,27.70,
1,2,6,31,28.90,27.40,
1,2,7,32,28.00,26.80,
1,2,8,33,32.00,30.70,
1,2,9,34,39.00,36.40,
1,2,10,35,46.00,41.20,
1,2,11,36,52.00,44.20,
1,2,12,37,55.00,45.40,
1,2,13,38,57.00,46.00,
1,2,14,39,59.00,46.60,
1,2,15,40,59.00,45.90,
1,2,16,41,57.90,45.30,
1,2,17,42,54.00,43.40,
1,2,18,43,48.00,42.30,
1,2,19,44,44.10,38.70,
1,2,20,45,43.00,38.20,
1,2,21,46,44.10,38.30,
1,2,22,47,39.90,36.90,
1,2,23,48,37.90,35.30,
1,3,0,49,37.90,34.90,
1,3,1,50,39.00,36.40,
1,3,2,51,39.00,36.00,
1,3,3,52,37.00,34.90,
1,3,4,53,39.00,36.00,
1,3,5,54,39.00,36.40,
1,3,6,55,39.90,36.50,
1,3,7,56,39.00,35.50,
1,3,8,57,42.10,38.10,
1,3,9,58,45.00,40.70,
1,3,10,59,50.00,44.60,
1,3,11,60,53.10,47.30,
1,3,12,61,54.00,48.70,
1,3,13,62,55.00,49.60,
1,3,14,63,60.10,53.70,
1,3,15,64,63.00,55.50,
1,3,16,65,64.00,55.90,
1,3,17,66,60.10,54.30,
1,3,18,67,54.00,50.70,
1,3,19,68,55.90,52.00,
1,3,20,69,59.00,53.80,
1,3,21,70,59.00,53.80,
1,3,22,71,57.90,53.90,
1,3,23,72,57.00,53.60,
1,4,0,73,61.00,57.40,
1,4,1,74,63.00,58.70,
1,4,2,75,63.00,58.70,
1,4,3,76,62.10,59.00,
1,4,4,77,61.00,58.60,
1,4,5,78,61.00,58.60,
1,4,6,79,62.10,59.50,
1,4,7,80,63.00,60.50,
1,4,8,81,64.90,62.40,
1,4,9,82,64.90,62.40,
1,4,10,83,66.00,63.50,
1,4,11,84,66.00,64.10,
1,4,12,85,66.00,64.80,
1,4,13,86,63.00,61.80,
1,4,14,87,64.90,63.70,
