MON,DAY,HR,HR OF YR,DRY BULB,WET BULB
1,1,0,1,19.00,16.80
1,1,1,2,41.00,36.60
1,1,2,3,39.90,35.30
1,1,3,4,36.00,32.20
1,1,4,5,35.10,31.00
1,1,5,6,32.00,29.20
1,1,6,7,30.90,28.30
1,1,7,8,30.00,27.40
1,1,8,9,30.00,27.00
1,1,9,10,33.10,28.90
1,1,10,11,36.00,30.60
1,1,11,12,39.00,32.60
1,1,12,13,39.90,33.50
1,1,13,14,41.00,34.10
1,1,14,15,43.00,35.60
1,1,15,16,43.00,35.90
1,1,16,17,42.10,35.70
1,1,17,18,39.90,34.90
1,1,18,19,37.00,33.20
1,1,19,20,35.10,32.10
1,1,20,21,36.00,33.40
1,1,21,22,37.00,34.00
1,1,22,23,36.00,33.40
1,1,23,24,36.00,33.40
1,2,0,25,33.10,31.00
1,2,1,26,33.10,31.30
1,2,2,27,34.00,31.90
1,2,3,28,34.00,32.30
1,2,4,29,34.00,32.70
1,2,5,30,34.00,33.20
1,2,6,31,34.00,33.60
1,2,7,32,35.10,34.60
1,2,8,33,37.00,36.60
1,2,9,34,37.90,37.50
1,2,10,35,41.00,40.50
1,2,11,36,45.00,44.50
1,2,12,37,51.10,51.20
1,2,13,38,51.10,51.20
1,2,14,39,43.00,43.10
1,2,15,40,45.00,45.10
1,2,16,41,45.00,45.10
1,2,17,42,46.00,46.10
1,2,18,43,46.00,46.10
1,2,19,44,46.00,46.10
1,2,20,45,46.00,46.10
1,2,21,46,46.90,47.00
1,2,22,47,48.00,48.00
1,2,23,48,48.00,48.00
1,3,0,49,48.90,49.00
1,3,1,50,48.00,48.00
1,3,2,51,46.00,46.10
1,3,3,52,46.90,46.50
1,3,4,53,46.00,46.10
1,3,5,54,46.00,46.10
1,3,6,55,46.00,46.10
1,3,7,56,46.00,46.10
1,3,8,57,46.00,46.10
1,3,9,58,46.90,47.00
1,3,10,59,48.00,48.10
1,3,11,60,48.90,49.00
1,3,12,61,48.90,49.00
1,3,13,62,48.90,49.10
1,3,14,63,50.00,50.20
1,3,15,64,48.90,49.10
1,3,16,65,48.90,49.10
1,3,17,66,50.00,50.10
1,3,18,67,48.90,49.10
1,3,19,68,51.10,51.20
1,3,20,69,52.00,52.10
1,3,21,70,52.00,52.10
1,3,22,71,53.10,52.60
1,3,23,72,50.00,47.40
1,4,0,73,48.00,44.00
1,4,1,74,44.10,40.40
1,4,2,75,39.90,36.90
1,4,3,76,37.90,34.60
1,4,4,77,37.00,32.80
1,4,5,78,36.00,31.90
1,4,6,79,36.00,31.30
1,4,7,80,35.10,30.40
1,4,8,81,35.10,30.70
1,4,9,82,37.90,32.60
1,4,10,83,41.00,34.80
1,4,11,84,46.00,36.60
1,4,12,85,48.00,37.70
1,4,13,86,50.00,39.10
1,4,14,87,52.00,39.90
1,4,15,88,53.10,40.20
1,4,16,89,53.10,39.60
1,4,17,90,51.10,38.90
1,4,18,91,44.10,35.30
1,4,19,92,37.90,33.00
1,4,20,93,37.00,32.80
1,4,21,94,36.00,32.20
1,4,22,95,37.00,31.80
