MON,DAY,HR,HR OF YR,DRY BULB,WET BULB
1,1,0,1,17.4,15.1
1,1,1,2,17.6,15.1
1,1,2,3,18,15
1,1,3,4,18,15.3
1,1,4,5,18,15.3
1,1,5,6,18,15.1
1,1,6,7,17.6,15.2
1,1,7,8,17.4,15.2
1,1,8,9,17.1,14.9
1,1,9,10,17.8,15.7
1,1,10,11,18.3,16.2
1,1,11,12,19,16.4
1,1,12,13,19.9,17.4
1,1,13,14,21,18.2
1,1,14,15,21.9,18.6
1,1,15,16,21.2,18.4
1,1,16,17,20.7,17.9
1,1,17,18,19.9,17
1,1,18,19,18.7,16.4
1,1,19,20,17.2,15.3
1,1,20,21,16,14.2
1,1,21,22,14.4,12.9
1,1,22,23,12.6,11.2
1,1,23,24,10.9,9.4
1,2,0,25,13.3,11.8
1,2,1,26,15.6,14
1,2,2,27,18,16.1
1,2,3,28,18.3,16.5
1,2,4,29,18.7,16.9
1,2,5,30,19,17
1,2,6,31,19,17.2
1,2,7,32,19,17.2
1,2,8,33,19,17
1,2,9,34,19.8,17.7
1,2,10,35,20.3,18
1,2,11,36,21,18.1
1,2,12,37,22.1,19.1
1,2,13,38,23,19.7
1,2,14,39,24.1,20
1,2,15,40,23.4,19.6
1,2,16,41,22.6,18.8
1,2,17,42,21.9,17.6
1,2,18,43,18,15
1,2,19,44,14,11.8
1,2,20,45,10,8.3
1,2,21,46,11.3,9.4
1,2,22,47,12.7,10.5
1,2,23,48,14,11.2
1,3,0,49,12.7,10.4
1,3,1,50,11.3,9.3
1,3,2,51,10,8.1
1,3,3,52,11.3,9.1
1,3,4,53,12.7,10.1
1,3,5,54,14,10.6
1,3,6,55,14,10.9
1,3,7,56,14,11
1,3,8,57,14,10.8
1,3,9,58,17.6,13.8
1,3,10,59,21.4,16.5
1,3,11,60,25,18.4
1,3,12,61,27,20.3
1,3,13,62,28.9,21.5
1,3,14,63,30.9,22.3
1,3,15,64,29.7,22.1
1,3,16,65,28.2,21.3
1,3,17,66,27,20
1,3,18,67,21.6,17
1,3,19,68,16.3,13.1
1,3,20,69,10.9,8.5
1,3,21,70,9.3,7.4
1,3,22,71,7.7,6.1
1,3,23,72,6.1,4.6
1,4,0,73,4.6,3.3
1,4,1,74,3.4,2.1
1,4,2,75,1.9,0.5
1,4,3,76,1,-0.4
1,4,4,77,0,-1.5
1,4,5,78,-0.9,-2.6
1,4,6,79,-0.2,-1.8
1,4,7,80,0.3,-1.4
1,4,8,81,1,-1
1,4,9,82,13.1,9.4
1,4,10,83,25,18.2
1,4,11,84,37,25
1,4,12,85,37.8,26.4
1,4,13,86,38.3,26.9
1,4,14,87,39,27.1
1,4,15,88,37.8,27.1
1,4,16,89,36.3,26.3
1,4,17,90,35.1,25.1
1,4,18,91,33.1,24.5
1,4,19,92,30.9,22.9
1,4,20,93,28.9,21.1
1,4,21,94,25.3,19.1
1,4,22,95,21.6,16.4
1,4,23,96,18,13.3
1,5,0,97,14.9,11.2
1,5,1,98,12,8.9
1,5,2,99,9,6.1
