MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,50.90,44.80,
1,1,1,2,42.10,35.30,
1,1,2,3,42.10,34.60,
1,1,3,4,41.00,33.40,
1,1,4,5,43.00,33.90,
1,1,5,6,43.00,33.70,
1,1,6,7,43.00,34.50,
1,1,7,8,43.00,34.20,
1,1,8,9,43.00,33.40,
1,1,9,10,44.10,34.50,
1,1,10,11,48.90,37.50,
1,1,11,12,54.00,39.70,
1,1,12,13,57.00,40.80,
1,1,13,14,61.00,42.20,
1,1,14,15,62.10,43.30,
1,1,15,16,63.00,44.00,
1,1,16,17,63.00,44.00,
1,1,17,18,62.10,44.00,
1,1,18,19,57.90,42.70,
1,1,19,20,54.00,41.30,
1,1,20,21,52.00,40.90,
1,1,21,22,51.10,39.80,
1,1,22,23,48.00,38.20,
1,1,23,24,46.90,36.10,
1,2,0,25,44.10,34.80,
1,2,1,26,43.00,33.40,
1,2,2,27,42.10,32.90,
1,2,3,28,41.00,32.00,
1,2,4,29,42.10,32.70,
1,2,5,30,41.00,32.30,
1,2,6,31,39.00,31.40,
1,2,7,32,39.90,31.60,
1,2,8,33,39.90,31.90,
1,2,9,34,46.00,35.60,
1,2,10,35,51.10,38.60,
1,2,11,36,54.00,40.70,
1,2,12,37,57.90,43.20,
1,2,13,38,60.10,44.30,
1,2,14,39,61.00,45.00,
1,2,15,40,63.00,46.20,
1,2,16,41,62.10,45.80,
1,2,17,42,60.10,45.20,
1,2,18,43,57.00,44.00,
1,2,19,44,54.00,42.50,
1,2,20,45,51.10,41.50,
1,2,21,46,50.00,40.90,
1,2,22,47,48.90,40.00,
1,2,23,48,48.00,39.90,
1,3,0,49,46.90,38.20,
1,3,1,50,46.00,37.40,
1,3,2,51,44.10,36.70,
1,3,3,52,44.10,36.10,
1,3,4,53,43.00,35.10,
1,3,5,54,42.10,36.00,
1,3,6,55,41.00,36.50,
1,3,7,56,41.00,36.50,
1,3,8,57,41.00,36.50,
1,3,9,58,43.00,38.00,
1,3,10,59,48.00,40.20,
1,3,11,60,52.00,42.20,
1,3,12,61,55.00,43.40,
1,3,13,62,59.00,45.30,
1,3,14,63,60.10,45.80,
1,3,15,64,60.10,45.80,
1,3,16,65,60.10,45.80,
1,3,17,66,59.00,46.00,
1,3,18,67,57.90,45.90,
1,3,19,68,55.90,45.30,
1,3,20,69,55.90,45.30,
1,3,21,70,54.00,44.30,
1,3,22,71,52.00,43.80,
1,3,23,72,52.00,43.40,
1,4,0,73,50.00,42.40,
1,4,1,74,50.00,43.10,
1,4,2,75,50.00,43.20,
1,4,3,76,50.00,43.20,
1,4,4,77,51.10,43.70,
1,4,5,78,51.10,43.70,
1,4,6,79,50.00,42.80,
1,4,7,80,50.00,43.60,
1,4,8,81,48.90,43.40,
1,4,9,82,50.00,43.90,
1,4,10,83,50.00,43.90,
1,4,11,84,55.90,46.00,
1,4,12,85,59.00,47.40,
1,4,13,86,63.00,48.50,
1,4,14,87,64.90,49.40,
1,4,15,88,66.00,49.60,
1,4,16,89,66.90,50.00,
1,4,17,90,66.00,49.90,
1,4,18,91,64.00,49.00,
1,4,19,92,61.00,49.10,
1,4,20,93,59.00,48.20,
1,4,21,94,57.90,48.50,
1,4,22,95,57.00,47.70,
1,4,23,96,55.00,46.80,
1,5,0,97,55.00,46.80,
1,5,1,98,54.00,46.40,
1,5,2,99,53.10,46.30,
1,5,3,100,52.00,46.30,
1,5,4,101,52.00,46.30,
1,5,5,102,52.00,46.30,
1,5,6,103,52.00,46.30,
1,5,7,104,53.10,46.30,
1,5,8,105,51.10,46.40,
1,5,9,106,52.00,46.80,
1,5,10,107,52.00,48.10,
1,5,11,108,53.10,48.60,
1,5,12,109,55.00,49.00,
1,5,13,110,57.00,49.90,
1,5,14,111,57.90,51.70,
1,5,15,112,57.00,50.40,
1,5,16,113,57.00,50.40,
1,5,17,114,57.00,50.40,
1,5,18,115,57.00,50.90,
1,5,19,116,55.90,49.90,
1,5,20,117,55.00,50.00,
1,5,21,118,55.90,49.90,
1,5,22,119,55.90,50.40,
1,5,23,120,54.00,50.00,
