MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,59.00,57.00,
1,1,1,2,48.90,38.20,
1,1,2,3,46.00,37.20,
1,1,3,4,46.00,35.80,
1,1,4,5,43.00,34.70,
1,1,5,6,44.10,35.00,
1,1,6,7,43.00,34.40,
1,1,7,8,46.00,35.30,
1,1,8,9,48.90,36.50,
1,1,9,10,50.00,38.80,
1,1,10,11,54.00,39.90,
1,1,11,12,59.00,42.10,
1,1,12,13,63.00,44.10,
1,1,13,14,63.00,43.40,
1,1,14,15,64.90,44.70,
1,1,15,16,66.00,45.60,
1,1,16,17,64.90,44.50,
1,1,17,18,60.10,43.10,
1,1,18,19,57.00,41.10,
1,1,19,20,55.90,40.30,
1,1,20,21,55.00,39.80,
1,1,21,22,54.00,39.10,
1,1,22,23,53.10,39.00,
1,1,23,24,51.10,38.10,
1,2,0,25,52.00,38.40,
1,2,1,26,51.10,38.10,
1,2,2,27,48.90,36.90,
1,2,3,28,50.00,37.30,
1,2,4,29,48.90,36.70,
1,2,5,30,48.90,36.70,
1,2,6,31,50.00,37.10,
1,2,7,32,46.00,35.80,
1,2,8,33,51.10,38.10,
1,2,9,34,52.00,39.40,
1,2,10,35,57.90,41.50,
1,2,11,36,62.10,43.70,
1,2,12,37,63.00,44.10,
1,2,13,38,64.00,44.00,
1,2,14,39,61.00,46.50,
1,2,15,40,59.00,45.60,
1,2,16,41,57.90,44.70,
1,2,17,42,57.90,44.10,
1,2,18,43,55.90,43.40,
1,2,19,44,54.00,43.50,
1,2,20,45,53.10,43.00,
1,2,21,46,55.00,48.20,
1,2,22,47,55.00,46.90,
1,2,23,48,55.90,42.80,
1,3,0,49,55.90,43.70,
1,3,1,50,51.10,42.80,
1,3,2,51,51.10,41.30,
1,3,3,52,51.10,41.30,
1,3,4,53,54.00,41.80,
1,3,5,54,51.10,40.60,
1,3,6,55,52.00,41.40,
1,3,7,56,53.10,42.00,
1,3,8,57,53.10,42.00,
1,3,9,58,55.00,43.00,
1,3,10,59,57.00,43.90,
1,3,11,60,60.10,45.70,
1,3,12,61,61.00,46.20,
1,3,13,62,62.10,46.40,
1,3,14,63,64.00,46.20,
1,3,15,64,64.00,47.00,
1,3,16,65,60.10,49.60,
1,3,17,66,59.00,49.60,
1,3,18,67,59.00,49.10,
1,3,19,68,55.90,48.60,
1,3,20,69,55.90,47.40,
1,3,21,70,57.00,46.00,
1,3,22,71,55.90,45.50,
1,3,23,72,57.00,46.00,
1,4,0,73,57.00,46.40,
1,4,1,74,55.90,45.80,
1,4,2,75,53.10,45.30,
1,4,3,76,53.10,44.80,
1,4,4,77,51.10,44.30,
