,MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,DATETIME,DOW
0,1,1,0,1,36.8,29.7,2020-01-01 00:00:00,2
1,1,1,1,2,31.3,25.5,2020-01-01 01:00:00,2
2,1,1,2,3,29.5,24.2,2020-01-01 02:00:00,2
3,1,1,3,4,30.9,25.2,2020-01-01 03:00:00,2
4,1,1,4,5,29.7,23.9,2020-01-01 04:00:00,2
5,1,1,5,6,28.8,23.3,2020-01-01 05:00:00,2
6,1,1,6,7,29.8,24.6,2020-01-01 06:00:00,2
7,1,1,7,8,28.3,23.2,2020-01-01 07:00:00,2
8,1,1,8,9,31.4,24.7,2020-01-01 08:00:00,2
9,1,1,9,10,40.8,30.7,2020-01-01 09:00:00,2
10,1,1,10,11,48.8,35.2,2020-01-01 10:00:00,2
11,1,1,11,12,54.1,37.9,2020-01-01 11:00:00,2
12,1,1,12,13,57.8,39.6,2020-01-01 12:00:00,2
13,1,1,13,14,60.2,41.0,2020-01-01 13:00:00,2
14,1,1,14,15,61.6,41.9,2020-01-01 14:00:00,2
15,1,1,15,16,61.4,41.9,2020-01-01 15:00:00,2
16,1,1,16,17,59.8,43.3,2020-01-01 16:00:00,2
17,1,1,17,18,57.8,44.6,2020-01-01 17:00:00,2
18,1,1,18,19,49.0,38.2,2020-01-01 18:00:00,2
19,1,1,19,20,42.2,34.2,2020-01-01 19:00:00,2
20,1,1,20,21,40.3,32.9,2020-01-01 20:00:00,2
21,1,1,21,22,36.9,31.3,2020-01-01 21:00:00,2
22,1,1,22,23,35.6,31.2,2020-01-01 22:00:00,2
23,1,1,23,24,36.0,31.2,2020-01-01 23:00:00,2
24,1,2,0,25,34.7,31.0,2020-01-02 00:00:00,3
25,1,2,1,26,33.4,29.4,2020-01-02 01:00:00,3
26,1,2,2,27,31.3,27.8,2020-01-02 02:00:00,3
27,1,2,3,28,29.5,28.3,2020-01-02 03:00:00,3
28,1,2,4,29,28.6,28.4,2020-01-02 04:00:00,3
29,1,2,5,30,27.6,27.4,2020-01-02 05:00:00,3
30,1,2,6,31,27.1,26.8,2020-01-02 06:00:00,3
31,1,2,7,32,27.8,27.3,2020-01-02 07:00:00,3
32,1,2,8,33,30.0,27.8,2020-01-02 08:00:00,3
33,1,2,9,34,38.4,32.7,2020-01-02 09:00:00,3
34,1,2,10,35,47.9,38.1,2020-01-02 10:00:00,3
35,1,2,11,36,54.1,41.2,2020-01-02 11:00:00,3
36,1,2,12,37,57.2,42.6,2020-01-02 12:00:00,3
37,1,2,13,38,60.5,43.6,2020-01-02 13:00:00,3
38,1,2,14,39,62.6,44.8,2020-01-02 14:00:00,3
39,1,2,15,40,61.7,45.3,2020-01-02 15:00:00,3
40,1,2,16,41,60.4,45.0,2020-01-02 16:00:00,3
41,1,2,17,42,54.6,42.3,2020-01-02 17:00:00,3
42,1,2,18,43,48.5,39.1,2020-01-02 18:00:00,3
43,1,2,19,44,44.5,37.7,2020-01-02 19:00:00,3
44,1,2,20,45,41.8,36.4,2020-01-02 20:00:00,3
45,1,2,21,46,39.8,34.5,2020-01-02 21:00:00,3
46,1,2,22,47,36.6,31.8,2020-01-02 22:00:00,3
47,1,2,23,48,34.4,30.4,2020-01-02 23:00:00,3
48,1,3,0,49,32.2,28.2,2020-01-03 00:00:00,4
49,1,3,1,50,30.6,26.7,2020-01-03 01:00:00,4
50,1,3,2,51,29.5,25.8,2020-01-03 02:00:00,4
51,1,3,3,52,29.8,26.3,2020-01-03 03:00:00,4
52,1,3,4,53,29.0,25.6,2020-01-03 04:00:00,4
53,1,3,5,54,28.2,24.9,2020-01-03 05:00:00,4
54,1,3,6,55,27.0,24.0,2020-01-03 06:00:00,4
55,1,3,7,56,26.8,24.1,2020-01-03 07:00:00,4
56,1,3,8,57,29.5,26.6,2020-01-03 08:00:00,4
57,1,3,9,58,35.2,29.6,2020-01-03 09:00:00,4
58,1,3,10,59,43.4,35.6,2020-01-03 10:00:00,4
59,1,3,11,60,47.6,40.7,2020-01-03 11:00:00,4
60,1,3,12,61,51.1,43.5,2020-01-03 12:00:00,4
61,1,3,13,62,55.5,45.0,2020-01-03 13:00:00,4
62,1,3,14,63,57.0,45.9,2020-01-03 14:00:00,4
63,1,3,15,64,57.0,46.3,2020-01-03 15:00:00,4
64,1,3,16,65,56.4,45.8,2020-01-03 16:00:00,4
65,1,3,17,66,52.3,43.8,2020-01-03 17:00:00,4
66,1,3,18,67,45.8,39.8,2020-01-03 18:00:00,4
67,1,3,19,68,40.6,37.1,2020-01-03 19:00:00,4
68,1,3,20,69,38.4,35.7,2020-01-03 20:00:00,4
69,1,3,21,70,36.7,34.2,2020-01-03 21:00:00,4
70,1,3,22,71,36.0,33.2,2020-01-03 22:00:00,4
71,1,3,23,72,34.8,31.5,2020-01-03 23:00:00,4
72,1,4,0,73,33.4,30.5,2020-01-04 00:00:00,5
73,1,4,1,74,32.4,30.0,2020-01-04 01:00:00,5
74,1,4,2,75,33.2,30.3,2020-01-04 02:00:00,5
