,MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,DATETIME,DOW
0,1,1,0,1,59.0,57.0,2020-01-01 00:00:00,2
1,1,1,1,2,48.0,40.4,2020-01-01 01:00:00,2
2,1,1,2,3,46.0,39.3,2020-01-01 02:00:00,2
3,1,1,3,4,46.0,37.9,2020-01-01 03:00:00,2
4,1,1,4,5,45.0,37.4,2020-01-01 04:00:00,2
5,1,1,5,6,42.1,35.7,2020-01-01 05:00:00,2
6,1,1,6,7,43.0,35.6,2020-01-01 06:00:00,2
7,1,1,7,8,41.0,34.8,2020-01-01 07:00:00,2
8,1,1,8,9,45.0,35.8,2020-01-01 08:00:00,2
9,1,1,9,10,48.9,38.2,2020-01-01 09:00:00,2
10,1,1,10,11,54.0,41.2,2020-01-01 10:00:00,2
11,1,1,11,12,60.1,42.1,2020-01-01 11:00:00,2
12,1,1,12,13,61.0,43.1,2020-01-01 12:00:00,2
13,1,1,13,14,63.0,44.5,2020-01-01 13:00:00,2
14,1,1,14,15,62.1,43.9,2020-01-01 14:00:00,2
15,1,1,15,16,62.1,44.1,2020-01-01 15:00:00,2
16,1,1,16,17,60.1,44.6,2020-01-01 16:00:00,2
17,1,1,17,18,57.0,47.4,2020-01-01 17:00:00,2
18,1,1,18,19,55.9,45.8,2020-01-01 18:00:00,2
19,1,1,19,20,55.0,44.7,2020-01-01 19:00:00,2
20,1,1,20,21,52.0,43.9,2020-01-01 20:00:00,2
21,1,1,21,22,48.9,42.7,2020-01-01 21:00:00,2
22,1,1,22,23,48.9,42.4,2020-01-01 22:00:00,2
23,1,1,23,24,48.0,40.8,2020-01-01 23:00:00,2
24,1,2,0,25,46.9,38.8,2020-01-02 00:00:00,3
25,1,2,1,26,46.9,38.8,2020-01-02 01:00:00,3
26,1,2,2,27,46.0,36.7,2020-01-02 02:00:00,3
27,1,2,3,28,46.0,35.8,2020-01-02 03:00:00,3
28,1,2,4,29,46.9,35.9,2020-01-02 04:00:00,3
29,1,2,5,30,46.0,35.6,2020-01-02 05:00:00,3
30,1,2,6,31,44.1,35.3,2020-01-02 06:00:00,3
31,1,2,7,32,48.0,36.5,2020-01-02 07:00:00,3
32,1,2,8,33,46.9,36.6,2020-01-02 08:00:00,3
33,1,2,9,34,51.1,39.1,2020-01-02 09:00:00,3
34,1,2,10,35,55.0,42.6,2020-01-02 10:00:00,3
35,1,2,11,36,59.0,42.3,2020-01-02 11:00:00,3
36,1,2,12,37,61.0,43.7,2020-01-02 12:00:00,3
37,1,2,13,38,63.0,44.1,2020-01-02 13:00:00,3
38,1,2,14,39,62.1,46.7,2020-01-02 14:00:00,3
39,1,2,15,40,62.1,47.7,2020-01-02 15:00:00,3
40,1,2,16,41,60.1,46.4,2020-01-02 16:00:00,3
41,1,2,17,42,59.0,43.8,2020-01-02 17:00:00,3
