MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,38.50,34.10,
1,1,1,2,39.00,37.10,
1,1,2,3,39.90,36.40,
1,1,3,4,37.00,34.30,
1,1,4,5,39.00,35.50,
1,1,5,6,35.10,33.20,
1,1,6,7,35.10,33.20,
1,1,7,8,35.10,33.20,
1,1,8,9,36.00,34.20,
1,1,9,10,37.00,35.60,
1,1,10,11,42.10,38.30,
1,1,11,12,43.00,40.10,
1,1,12,13,44.10,40.20,
1,1,13,14,45.00,40.70,
1,1,14,15,45.00,39.20,
1,1,15,16,46.00,37.60,
1,1,16,17,45.00,36.70,
1,1,17,18,44.10,37.20,
1,1,18,19,43.00,37.70,
1,1,19,20,39.90,35.90,
1,1,20,21,39.00,35.90,
1,1,21,22,39.90,35.90,
1,1,22,23,37.90,35.30,
1,1,23,24,37.00,34.70,
1,2,0,25,36.00,33.70,
1,2,1,26,36.00,34.20,
1,2,2,27,35.10,33.20,
1,2,3,28,33.10,31.70,
1,2,4,29,34.00,32.20,
1,2,5,30,33.10,31.70,
1,2,6,31,34.00,32.60,
1,2,7,32,32.00,30.60,
1,2,8,33,33.10,31.70,
1,2,9,34,37.00,34.30,
1,2,10,35,39.90,36.80,
1,2,11,36,42.10,38.30,
1,2,12,37,44.10,39.90,
1,2,13,38,46.00,41.20,
1,2,14,39,45.00,39.60,
1,2,15,40,46.90,40.20,
1,2,16,41,46.90,40.20,
1,2,17,42,46.90,40.90,
1,2,18,43,45.00,39.60,
1,2,19,44,44.10,40.30,
1,2,20,45,44.10,41.50,
1,2,21,46,44.10,42.00,
1,2,22,47,44.10,42.00,
1,2,23,48,43.00,41.00,
1,3,0,49,42.10,40.50,
1,3,1,50,41.00,39.50,
1,3,2,51,41.00,40.00,
1,3,3,52,39.90,38.90,
1,3,4,53,41.00,40.00,
1,3,5,54,41.00,39.50,
1,3,6,55,41.00,39.50,
1,3,7,56,42.10,40.10,
1,3,8,57,42.10,41.00,
1,3,9,58,44.10,42.00,
1,3,10,59,48.90,45.80,
1,3,11,60,52.00,47.20,
1,3,12,61,54.00,48.60,
1,3,13,62,53.10,47.80,
1,3,14,63,53.10,47.80,
1,3,15,64,54.00,48.20,
1,3,16,65,53.10,47.80,
1,3,17,66,51.10,46.80,
1,3,18,67,51.10,46.80,
1,3,19,68,50.00,46.30,
1,3,20,69,50.00,46.30,
1,3,21,70,50.00,46.30,
1,3,22,71,51.10,47.80,
1,3,23,72,50.00,46.80,
1,4,0,73,51.10,47.80,
1,4,1,74,50.00,47.30,
1,4,2,75,50.00,48.90,
1,4,3,76,50.00,48.90,
1,4,4,77,50.00,49.40,
1,4,5,78,50.00,49.40,
1,4,6,79,48.00,47.40,
1,4,7,80,48.00,47.40,
1,4,8,81,48.00,47.40,
1,4,9,82,51.10,50.40,
1,4,10,83,51.10,50.40,
1,4,11,84,53.10,51.30,
1,4,12,85,53.10,51.30,
1,4,13,86,53.10,51.30,
1,4,14,87,53.10,51.30,
1,4,15,88,53.10,51.30,
1,4,16,89,53.10,51.30,
1,4,17,90,53.10,51.30,
1,4,18,91,53.10,51.30,
1,4,19,92,53.10,51.30,
1,4,20,93,53.10,51.30,
1,4,21,94,53.10,51.90,
1,4,22,95,53.10,51.90,
1,4,23,96,53.10,51.90,
1,5,0,97,53.10,51.90,
1,5,1,98,53.10,51.90,
1,5,2,99,53.10,51.90,
1,5,3,100,53.10,51.90,
1,5,4,101,53.10,51.80,
1,5,5,102,53.10,51.80,
1,5,6,103,53.10,51.80,
1,5,7,104,52.00,51.40,
1,5,8,105,51.10,50.40,
1,5,9,106,52.00,50.70,
1,5,10,107,55.00,53.10,
1,5,11,108,55.00,53.70,
1,5,12,109,55.90,54.60,
1,5,13,110,55.90,54.10,
1,5,14,111,57.00,55.00,
1,5,15,112,55.90,54.60,
1,5,16,113,57.00,55.00,
1,5,17,114,55.90,54.00,
1,5,18,115,55.90,54.00,
1,5,19,116,55.00,53.70,
1,5,20,117,55.00,53.70,
1,5,21,118,55.00,53.70,
