,MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,DATETIME,DOW
0,1,1,0,1,31.4,25.3,2020-01-01 00:00:00,2
1,1,1,1,2,32.0,27.5,2020-01-01 01:00:00,2
2,1,1,2,3,32.0,27.5,2020-01-01 02:00:00,2
3,1,1,3,4,32.0,27.2,2020-01-01 03:00:00,2
4,1,1,4,5,32.0,27.3,2020-01-01 04:00:00,2
5,1,1,5,6,32.0,26.8,2020-01-01 05:00:00,2
6,1,1,6,7,35.0,28.4,2020-01-01 06:00:00,2
7,1,1,7,8,36.9,30.2,2020-01-01 07:00:00,2
8,1,1,8,9,36.9,30.7,2020-01-01 08:00:00,2
9,1,1,9,10,41.4,32.4,2020-01-01 09:00:00,2
10,1,1,10,11,45.5,33.2,2020-01-01 10:00:00,2
11,1,1,11,12,47.0,34.0,2020-01-01 11:00:00,2
12,1,1,12,13,48.5,35.1,2020-01-01 12:00:00,2
13,1,1,13,14,50.0,35.6,2020-01-01 13:00:00,2
14,1,1,14,15,50.5,35.5,2020-01-01 14:00:00,2
15,1,1,15,16,49.5,35.2,2020-01-01 15:00:00,2
16,1,1,16,17,46.5,33.5,2020-01-01 16:00:00,2
17,1,1,17,18,43.1,31.2,2020-01-01 17:00:00,2
18,1,1,18,19,39.6,29.6,2020-01-01 18:00:00,2
19,1,1,19,20,36.5,28.2,2020-01-01 19:00:00,2
20,1,1,20,21,35.5,27.3,2020-01-01 20:00:00,2
21,1,1,21,22,34.1,26.1,2020-01-01 21:00:00,2
22,1,1,22,23,32.5,25.7,2020-01-01 22:00:00,2
23,1,1,23,24,28.0,24.1,2020-01-01 23:00:00,2
24,1,2,0,25,23.0,21.3,2020-01-02 00:00:00,3
25,1,2,1,26,20.5,18.6,2020-01-02 01:00:00,3
26,1,2,2,27,17.5,15.5,2020-01-02 02:00:00,3
27,1,2,3,28,15.5,14.0,2020-01-02 03:00:00,3
28,1,2,4,29,14.0,12.7,2020-01-02 04:00:00,3
29,1,2,5,30,11.9,10.6,2020-01-02 05:00:00,3
30,1,2,6,31,10.5,9.2,2020-01-02 06:00:00,3
31,1,2,7,32,10.0,8.8,2020-01-02 07:00:00,3
32,1,2,8,33,9.5,8.3,2020-01-02 08:00:00,3
33,1,2,9,34,9.0,7.6,2020-01-02 09:00:00,3
34,1,2,10,35,9.0,7.2,2020-01-02 10:00:00,3
35,1,2,11,36,8.0,6.5,2020-01-02 11:00:00,3
36,1,2,12,37,6.0,4.9,2020-01-02 12:00:00,3
37,1,2,13,38,5.0,4.2,2020-01-02 13:00:00,3
38,1,2,14,39,5.0,3.8,2020-01-02 14:00:00,3
39,1,2,15,40,4.0,2.6,2020-01-02 15:00:00,3
40,1,2,16,41,2.0,0.9,2020-01-02 16:00:00,3
41,1,2,17,42,0.5,-0.5,2020-01-02 17:00:00,3
42,1,2,18,43,0.0,-1.1,2020-01-02 18:00:00,3
43,1,2,19,44,-0.5,-1.7,2020-01-02 19:00:00,3
