MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,28.90,26.10,
1,1,1,2,37.00,36.60,
1,1,2,3,37.00,36.60,
1,1,3,4,37.00,36.30,
1,1,4,5,37.00,36.30,
1,1,5,6,36.00,34.50,
1,1,6,7,35.10,32.90,
1,1,7,8,34.00,30.90,
1,1,8,9,30.40,27.00,
1,1,9,10,26.60,22.80,
1,1,10,11,23.00,18.40,
1,1,11,12,21.90,17.50,
1,1,12,13,21.00,16.50,
1,1,13,14,19.90,14.80,
1,1,14,15,19.00,14.40,
1,1,15,16,18.00,13.60,
1,1,16,17,17.10,12.60,
1,1,17,18,16.70,12.50,
1,1,18,19,16.30,12.20,
1,1,19,20,16.00,11.80,
1,1,20,21,16.00,12.20,
1,1,21,22,16.00,12.30,
1,1,22,23,16.00,12.10,
1,1,23,24,16.70,13.10,
1,2,0,25,17.20,13.70,
1,2,1,26,18.00,14.10,
1,2,2,27,18.30,14.80,
1,2,3,28,18.70,15.30,
1,2,4,29,19.00,15.40,
1,2,5,30,19.40,16.00,
1,2,6,31,19.60,16.30,
1,2,7,32,19.90,16.20,
1,2,8,33,21.90,18.10,
1,2,9,34,24.10,19.60,
1,2,10,35,26.10,20.70,
1,2,11,36,27.30,22.10,
1,2,12,37,28.80,23.20,
1,2,13,38,30.00,23.80,
1,2,14,39,29.70,24.10,
1,2,15,40,29.30,23.70,
1,2,16,41,28.90,23.10,
1,2,17,42,28.00,23.00,
1,2,18,43,27.00,22.50,
1,2,19,44,26.10,21.60,
1,2,20,45,25.70,21.70,
1,2,21,46,25.30,21.30,
1,2,22,47,25.00,20.60,
1,2,23,48,24.60,20.80,
1,3,0,49,24.40,20.70,
1,3,1,50,24.10,20.20,
1,3,2,51,24.10,20.60,
1,3,3,52,24.10,20.60,
1,3,4,53,24.10,20.20,
1,3,5,54,23.70,20.40,
1,3,6,55,23.40,20.10,
1,3,7,56,23.00,19.50,
1,3,8,57,24.10,20.70,
1,3,9,58,25.00,21.50,
1,3,10,59,26.10,22.00,
1,3,11,60,27.00,23.30,
1,3,12,61,28.00,24.40,
1,3,13,62,28.90,25.00,
1,3,14,63,29.70,25.90,
1,3,15,64,30.20,26.10,
1,3,16,65,30.90,26.00,
1,3,17,66,31.30,26.60,
1,3,18,67,31.60,26.80,
1,3,19,68,32.00,26.50,
1,3,20,69,32.40,27.60,
1,3,21,70,32.70,28.30,
1,3,22,71,33.10,28.40,
1,3,23,72,31.60,27.50,
1,4,0,73,30.40,26.30,
1,4,1,74,28.90,24.50,
1,4,2,75,27.70,23.90,
1,4,3,76,26.20,22.50,
1,4,4,77,25.00,21.10,
1,4,5,78,23.90,20.50,
1,4,6,79,23.00,19.70,
1,4,7,80,21.90,18.50,
1,4,8,81,23.50,20.00,
1,4,9,82,25.30,21.40,
1,4,10,83,27.00,22.20,
1,4,11,84,28.20,23.40,
1,4,12,85,29.70,24.40,
1,4,13,86,30.90,24.50,
1,4,14,87,30.90,25.10,
1,4,15,88,30.90,25.10,
1,4,16,89,30.90,24.50,
1,4,17,90,28.90,23.70,
1,4,18,91,27.00,22.40,
1,4,19,92,25.00,20.60,
1,4,20,93,24.30,20.40,
1,4,21,94,23.70,19.90,
1,4,22,95,23.00,19.10,
1,4,23,96,22.60,19.00,
1,5,0,97,22.30,18.80,
1,5,1,98,21.90,18.10,
1,5,2,99,21.00,17.70,
1,5,3,100,19.90,16.90,
1,5,4,101,19.00,15.90,
1,5,5,102,18.70,16.00,
1,5,6,103,18.30,15.70,
1,5,7,104,18.00,15.30,
1,5,8,105,19.60,16.80,
1,5,9,106,21.40,18.10,
1,5,10,107,23.00,18.90,
1,5,11,108,24.60,20.50,
1,5,12,109,26.40,22.00,
1,5,13,110,28.00,22.80,
1,5,14,111,28.40,23.60,
1,5,15,112,28.60,23.50,
1,5,16,113,28.90,23.20,
1,5,17,114,27.70,22.90,
1,5,18,115,26.20,21.80,
1,5,19,116,25.00,20.60,
1,5,20,117,23.90,20.20,
1,5,21,118,23.00,19.80,
1,5,22,119,21.90,18.70,
1,5,23,120,21.90,18.90,
1,6,0,121,21.90,18.80,
1,6,1,122,21.90,18.50,
1,6,2,123,21.00,18.40,
1,6,3,124,19.90,17.70,
1,6,4,125,19.00,17.10,
1,6,5,126,18.70,17.10,
1,6,6,127,18.30,16.90,
1,6,7,128,18.00,16.60,
1,6,8,129,20.70,19.10,
1,6,9,130,23.40,21.30,
1,6,10,131,26.10,23.20,
1,6,11,132,28.00,25.20,
1,6,12,133,30.00,27.10,
1,6,13,134,32.00,28.60,
1,6,14,135,33.60,30.30,
1,6,15,136,35.40,31.80,
1,6,16,137,37.00,32.80,
1,6,17,138,36.70,33.60,
1,6,18,139,36.30,33.90,
1,6,19,140,36.00,34.40,
1,6,20,141,36.30,35.10,
1,6,21,142,36.70,35.80,
1,6,22,143,37.00,36.60,
1,6,23,144,37.40,37.00,
1,7,0,145,37.60,37.20,
1,7,1,146,37.90,37.60,
1,7,2,147,36.30,35.70,
1,7,3,148,34.70,33.90,
1,7,4,149,33.10,31.90,
1,7,5,150,32.70,31.70,
1,7,6,151,32.40,31.40,
1,7,7,152,32.00,30.90,
1,7,8,153,32.00,31.20,
1,7,9,154,32.00,31.30,
1,7,10,155,32.00,31.30,
1,7,11,156,32.70,31.60,
1,7,12,157,33.30,31.70,
1,7,13,158,34.00,31.70,
1,7,14,159,33.30,31.00,
1,7,15,160,32.70,30.00,
1,7,16,161,32.00,28.80,
1,7,17,162,31.30,28.20,
1,7,18,163,30.70,27.40,
1,7,19,164,30.00,26.00,
1,7,20,165,28.90,25.80,
1,7,21,166,28.00,25.20,
1,7,22,167,27.00,24.10,
1,7,23,168,27.30,24.60,
1,8,0,169,27.70,24.80,
1,8,1,170,28.00,24.50,
1,8,2,171,28.00,24.70,
1,8,3,172,28.00,24.60,
1,8,4,173,28.00,24.00,
1,8,5,174,27.70,24.00,
1,8,6,175,27.30,23.60,
1,8,7,176,27.00,22.80,
1,8,8,177,28.00,24.10,
1,8,9,178,28.90,24.80,
1,8,10,179,30.00,25.30,
1,8,11,180,30.40,26.00,
1,8,12,181,30.60,26.10,
1,8,13,182,30.90,25.90,
1,8,14,183,30.90,26.00,
1,8,15,184,30.90,25.70,
1,8,16,185,30.90,24.90,
1,8,17,186,29.70,24.70,
1,8,18,187,28.20,23.60,
1,8,19,188,27.00,22.40,
1,8,20,189,26.60,22.60,
1,8,21,190,26.40,22.40,
1,8,22,191,26.10,21.80,
1,8,23,192,25.70,22.00,
1,9,0,193,25.30,21.60,
1,9,1,194,25.00,21.10,
1,9,2,195,25.30,21.90,
1,9,3,196,25.70,22.50,
1,9,4,197,26.10,22.70,
1,9,5,198,26.10,23.60,
1,9,6,199,26.10,24.10,
1,9,7,200,26.10,24.40,
1,9,8,201,27.30,25.90,
1,9,9,202,28.80,27.40,
1,9,10,203,30.00,28.60,
1,9,11,204,30.00,28.80,
1,9,12,205,30.00,28.80,
1,9,13,206,30.00,28.60,
1,9,14,207,31.10,29.60,
1,9,15,208,32.00,30.30,
1,9,16,209,33.10,30.70,
1,9,17,210,33.10,31.10,
1,9,18,211,33.10,31.30,
1,9,19,212,33.10,31.10,
1,9,20,213,31.60,30.20,
1,9,21,214,30.40,29.30,
1,9,22,215,28.90,27.90,
1,9,23,216,27.70,26.90,
1,10,0,217,26.20,25.30,
1,10,1,218,25.00,24.00,
1,10,2,219,25.30,23.50,
1,10,3,220,25.70,22.90,
1,10,4,221,26.10,21.80,
1,10,5,222,25.30,21.60,
1,10,6,223,24.80,21.20,
1,10,7,224,24.10,20.30,
1,10,8,225,24.80,21.20,
1,10,9,226,25.30,21.60,
1,10,10,227,26.10,21.80,
1,10,11,228,27.30,23.00,
1,10,12,229,28.80,23.90,
1,10,13,230,30.00,24.20,
1,10,14,231,29.70,24.30,
1,10,15,232,29.30,24.00,
1,10,16,233,28.90,23.10,
1,10,17,234,28.00,23.00,
1,10,18,235,27.00,22.40,
1,10,19,236,26.10,21.40,
1,10,20,237,25.70,21.40,
1,10,21,238,25.30,21.10,
1,10,22,239,25.00,20.50,
1,10,23,240,24.30,20.30,
1,11,0,241,23.70,20.00,
1,11,1,242,23.00,19.10,
1,11,2,243,23.00,19.40,
1,11,3,244,23.00,19.40,
1,11,4,245,23.00,19.10,
1,11,5,246,22.30,19.00,
1,11,6,247,21.70,18.60,
1,11,7,248,21.00,17.90,
1,11,8,249,21.70,18.60,
1,11,9,250,22.30,19.00,
1,11,10,251,23.00,19.10,
1,11,11,252,25.00,21.00,
1,11,12,253,27.00,22.60,
1,11,13,254,28.90,23.60,
1,11,14,255,29.30,24.40,
1,11,15,256,29.70,24.80,
1,11,16,257,30.00,24.50,
1,11,17,258,28.90,24.30,
1,11,18,259,28.00,23.70,
1,11,19,260,27.00,22.60,
1,11,20,261,26.60,22.80,
1,11,21,262,26.40,22.70,
1,11,22,263,26.10,22.20,
1,11,23,264,25.30,22.00,
1,12,0,265,24.80,21.50,
1,12,1,266,24.10,20.70,
1,12,2,267,23.40,20.50,
1,12,3,268,22.60,19.90,
1,12,4,269,21.90,19.20,
1,12,5,270,21.60,19.20,
1,12,6,271,21.40,19.00,
1,12,7,272,21.00,18.50,
1,12,8,273,24.10,21.30,
1,12,9,274,27.00,23.60,
1,12,10,275,30.00,25.40,
1,12,11,276,31.30,26.70,
1,12,12,277,32.70,27.70,
1,12,13,278,34.00,27.90,
1,12,14,279,33.30,27.90,
1,12,15,280,32.70,27.70,
1,12,16,281,32.00,26.70,
1,12,17,282,30.70,26.20,
1,12,18,283,29.30,25.10,
1,12,19,284,28.00,23.70,
1,12,20,285,27.00,23.50,
1,12,21,286,26.10,23.00,
1,12,22,287,25.00,22.00,
1,12,23,288,25.30,22.50,
1,13,0,289,25.70,22.70,
1,13,1,290,26.10,22.70,
1,13,2,291,25.70,22.90,
1,13,3,292,25.30,22.80,
1,13,4,293,25.00,22.50,
1,13,5,294,24.60,22.30,
1,13,6,295,24.40,22.00,
1,13,7,296,24.10,21.40,
1,13,8,297,24.80,22.10,
1,13,9,298,25.30,22.50,
1,13,10,299,26.10,22.70,
1,13,11,300,29.10,25.30,
1,13,12,301,32.00,27.40,
1,13,13,302,35.10,29.10,
1,13,14,303,35.10,29.70,
1,13,15,304,35.10,29.90,
1,13,16,305,35.10,29.60,
1,13,17,306,34.00,29.30,
1,13,18,307,33.10,28.70,
1,13,19,308,32.00,27.50,
1,13,20,309,31.30,27.50,
1,13,21,310,30.70,27.10,
1,13,22,311,30.00,26.20,
1,13,23,312,30.40,27.20,
1,14,0,313,30.60,27.50,
1,14,1,314,30.90,27.60,
1,14,2,315,30.20,27.40,
1,14,3,316,29.70,27.00,
1,14,4,317,28.90,26.10,
1,14,5,318,28.90,26.40,
1,14,6,319,28.90,26.40,
1,14,7,320,28.90,26.10,
1,14,8,321,30.90,27.40,
