MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,34.70,30.80,
1,1,1,2,26.10,21.70,
1,1,2,3,24.60,20.70,
1,1,3,4,23.40,19.70,
1,1,4,5,21.90,18.10,
1,1,5,6,21.60,18.10,
1,1,6,7,21.40,17.90,
1,1,7,8,21.00,17.30,
1,1,8,9,22.10,18.30,
1,1,9,10,23.00,18.90,
1,1,10,11,24.10,19.30,
1,1,11,12,27.30,21.90,
1,1,12,13,30.70,24.30,
1,1,13,14,34.00,25.80,
1,1,14,15,32.90,25.50,
1,1,15,16,32.00,24.80,
1,1,16,17,30.90,23.70,
1,1,17,18,28.90,22.90,
1,1,18,19,27.00,21.60,
1,1,19,20,25.00,19.90,
1,1,20,21,23.70,19.40,
1,1,21,22,22.30,18.50,
1,1,22,23,21.00,17.30,
1,1,23,24,19.90,16.80,
1,2,0,25,19.00,16.20,
1,2,1,26,18.00,15.30,
1,2,2,27,17.20,14.90,
1,2,3,28,16.70,14.60,
1,2,4,29,16.00,13.80,
1,2,5,30,16.30,14.30,
1,2,6,31,16.70,14.70,
1,2,7,32,17.10,14.90,
1,2,8,33,17.40,15.20,
1,2,9,34,17.60,15.20,
1,2,10,35,18.00,15.20,
1,2,11,36,18.70,15.90,
1,2,12,37,19.20,16.30,
1,2,13,38,19.90,16.60,
1,2,14,39,19.60,17.30,
1,2,15,40,19.40,17.90,
1,2,16,41,19.00,18.10,
1,2,17,42,19.00,18.30,
1,2,18,43,19.00,18.30,
1,2,19,44,19.00,18.20,
1,2,20,45,19.00,18.20,
1,2,21,46,19.00,18.10,
1,2,22,47,19.00,17.90,
1,2,23,48,19.40,18.40,
1,3,0,49,19.60,18.60,
1,3,1,50,19.90,18.80,
1,3,2,51,19.90,19.00,
1,3,3,52,19.90,19.10,
1,3,4,53,19.90,19.10,
1,3,5,54,19.60,18.80,
1,3,6,55,19.40,18.50,
1,3,7,56,19.00,17.90,
1,3,8,57,21.00,19.30,
1,3,9,58,23.00,20.50,
1,3,10,59,25.00,21.30,
1,3,11,60,25.30,21.80,
1,3,12,61,25.70,22.10,
1,3,13,62,26.10,22.00,
1,3,14,63,26.80,22.90,
1,3,15,64,27.30,23.40,
1,3,16,65,28.00,23.50,
1,3,17,66,27.30,23.10,
1,3,18,67,26.80,22.40,
1,3,19,68,26.10,21.20,
1,3,20,69,25.70,21.10,
1,3,21,70,25.30,20.60,
1,3,22,71,25.00,19.80,
1,3,23,72,25.00,19.90,
1,4,0,73,25.00,19.80,
1,4,1,74,25.00,19.10,
1,4,2,75,24.30,18.70,
1,4,3,76,23.70,18.10,
1,4,4,77,23.00,17.00,
1,4,5,78,23.00,17.40,
1,4,6,79,23.00,17.30,
1,4,7,80,23.00,16.90,
1,4,8,81,24.60,18.50,
1,4,9,82,26.40,19.90,
1,4,10,83,28.00,20.70,
1,4,11,84,30.40,22.80,
1,4,12,85,32.70,24.40,
1,4,13,86,35.10,25.60,
1,4,14,87,34.30,25.60,
1,4,15,88,33.80,25.20,
1,4,16,89,33.10,24.40,
1,4,17,90,31.10,23.90,
1,4,18,91,28.90,22.80,
1,4,19,92,27.00,21.40,
1,4,20,93,27.30,22.90,
1,4,21,94,27.70,23.90,
1,4,22,95,28.00,24.60,
1,4,23,96,28.40,25.40,
1,5,0,97,28.60,25.70,
1,5,1,98,28.90,25.80,
1,5,2,99,28.90,26.00,
1,5,3,100,28.90,25.90,
1,5,4,101,28.90,25.50,
1,5,5,102,27.70,24.90,
1,5,6,103,26.20,23.60,
1,5,7,104,25.00,22.40,
1,5,8,105,26.60,24.00,
1,5,9,106,28.40,25.60,
1,5,10,107,30.00,26.40,
1,5,11,108,31.60,28.00,
1,5,12,109,33.40,29.10,
1,5,13,110,35.10,29.80,
1,5,14,111,35.80,30.70,
1,5,15,112,36.30,31.10,
1,5,16,113,37.00,31.20,
1,5,17,114,34.00,29.40,
1,5,18,115,31.10,27.30,
1,5,19,116,28.00,24.40,
1,5,20,117,28.80,25.60,
1,5,21,118,29.30,26.10,
1,5,22,119,30.00,26.50,
1,5,23,120,30.40,27.20,
1,6,0,121,30.60,27.40,
1,6,1,122,30.90,27.40,
1,6,2,123,32.50,29.00,
1,6,3,124,34.30,30.50,
1,6,4,125,36.00,31.60,
1,6,5,126,35.60,31.50,
1,6,6,127,35.40,31.30,
1,6,7,128,35.10,30.80,
1,6,8,129,35.80,31.10,
1,6,9,130,36.30,31.10,
1,6,10,131,37.00,30.60,
1,6,11,132,37.90,31.10,
1,6,12,133,39.00,31.30,
1,6,13,134,39.90,30.70,
1,6,14,135,39.00,30.60,
1,6,15,136,37.90,30.10,
1,6,16,137,37.00,29.00,
1,6,17,138,34.70,28.00,
1,6,18,139,32.40,26.40,
1,6,19,140,30.00,24.30,
1,6,20,141,29.30,24.20,
1,6,21,142,28.80,23.60,
1,6,22,143,28.00,22.60,
1,6,23,144,27.00,22.70,
1,7,0,145,26.10,22.40,
1,7,1,146,25.00,21.70,
1,7,2,147,23.90,21.20,
1,7,3,148,23.00,20.70,
1,7,4,149,21.90,19.80,
1,7,5,150,21.90,20.00,
1,7,6,151,21.90,20.00,
1,7,7,152,21.90,19.80,
1,7,8,153,24.60,22.10,
1,7,9,154,27.30,24.10,
1,7,10,155,30.00,25.60,
1,7,11,156,31.30,26.70,
1,7,12,157,32.70,27.60,
1,7,13,158,34.00,27.80,
1,7,14,159,33.60,28.00,
1,7,15,160,33.40,27.90,
1,7,16,161,33.10,27.30,
1,7,17,162,31.50,26.80,
1,7,18,163,29.70,25.50,
1,7,19,164,28.00,24.10,
1,7,20,165,28.80,25.10,
1,7,21,166,29.30,25.60,
1,7,22,167,30.00,25.80,
1,7,23,168,28.90,25.50,
1,8,0,169,28.00,24.90,
1,8,1,170,27.00,24.00,
1,8,2,171,27.30,24.70,
1,8,3,172,27.70,25.30,
1,8,4,173,28.00,25.50,
1,8,5,174,28.80,26.70,
1,8,6,175,29.30,27.30,
1,8,7,176,30.00,28.00,
1,8,8,177,31.10,29.70,
1,8,9,178,32.00,31.10,
1,8,10,179,33.10,32.60,
1,8,11,180,35.10,34.70,
1,8,12,181,37.00,36.90,
1,8,13,182,39.00,39.00,
1,8,14,183,38.30,38.30,
1,8,15,184,37.80,37.80,
1,8,16,185,37.00,37.00,
1,8,17,186,37.00,36.90,
1,8,18,187,37.00,36.70,
1,8,19,188,37.00,36.50,
1,8,20,189,36.70,36.20,
1,8,21,190,36.30,35.80,
1,8,22,191,36.00,35.60,
