MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,22.00,19.10,
1,1,1,2,7.20,5.20,
1,1,2,3,5.20,3.60,
1,1,3,4,3.00,1.80,
1,1,4,5,2.00,1.00,
1,1,5,6,2.10,1.00,
1,1,6,7,2.00,1.00,
1,1,7,8,4.70,3.40,
1,1,8,9,10.10,8.40,
1,1,9,10,15.40,13.40,
1,1,10,11,19.20,16.60,
1,1,11,12,21.60,18.50,
1,1,12,13,23.90,20.10,
1,1,13,14,26.10,21.80,
1,1,14,15,28.10,23.70,
1,1,15,16,30.00,25.50,
1,1,16,17,31.50,26.90,
1,1,17,18,32.40,27.70,
1,1,18,19,33.40,28.60,
1,1,19,20,34.20,29.50,
1,1,20,21,34.50,30.30,
1,1,21,22,34.90,31.20,
1,1,22,23,34.90,31.80,
1,1,23,24,34.50,32.20,
1,2,0,25,34.20,32.60,
1,2,1,26,34.20,33.00,
1,2,2,27,34.50,33.30,
1,2,3,28,34.90,33.60,
1,2,4,29,35.10,33.90,
1,2,5,30,35.10,33.80,
1,2,6,31,35.10,33.50,
1,2,7,32,35.20,33.60,
1,2,8,33,35.50,34.00,
1,2,9,34,35.80,34.30,
1,2,10,35,36.10,34.60,
1,2,11,36,36.50,35.10,
1,2,12,37,36.90,35.70,
1,2,13,38,37.50,36.40,
1,2,14,39,38.50,37.20,
1,2,15,40,39.50,38.00,
1,2,16,41,40.50,38.80,
1,2,17,42,41.40,39.50,
1,2,18,43,42.40,40.10,
1,2,19,44,43.30,40.40,
1,2,20,45,44.00,40.10,
1,2,21,46,44.60,39.90,
1,2,22,47,44.30,38.90,
1,2,23,48,43.00,37.10,
1,3,0,49,41.60,35.20,
1,3,1,50,40.60,34.00,
1,3,2,51,40.00,33.60,
1,3,3,52,39.40,33.10,
1,3,4,53,38.40,32.30,
1,3,5,54,37.00,31.10,
1,3,6,55,35.70,30.00,
1,3,7,56,35.10,29.30,
1,3,8,57,35.10,29.20,
1,3,9,58,35.10,29.10,
1,3,10,59,35.70,29.30,
1,3,11,60,37.00,30.10,
1,3,12,61,38.40,31.00,
1,3,13,62,39.40,31.60,
1,3,14,63,40.00,31.70,
1,3,15,64,40.60,31.80,
1,3,16,65,40.20,31.40,
1,3,17,66,38.50,30.30,
1,3,18,67,36.80,29.20,
1,3,19,68,35.80,28.30,
1,3,20,69,35.50,27.60,
1,3,21,70,35.20,26.80,
1,3,22,71,34.70,26.40,
1,3,23,72,34.10,26.10,
1,4,0,73,33.40,25.80,
1,4,1,74,32.70,25.80,
1,4,2,75,32.10,26.00,
1,4,3,76,31.40,26.30,
1,4,4,77,31.00,26.50,
1,4,5,78,31.10,26.50,
1,4,6,79,31.00,26.50,
1,4,7,80,31.70,27.00,
1,4,8,81,33.40,28.20,
1,4,9,82,35.20,29.10,
1,4,10,83,37.10,30.30,
1,4,11,84,39.50,31.80,
1,4,12,85,41.80,33.00,
1,4,13,86,43.30,33.90,
1,4,14,87,44.00,34.40,
1,4,15,88,44.60,34.80,
1,4,16,89,43.80,34.30,
1,4,17,90,41.40,32.80,
1,4,18,91,39.10,31.30,
1,4,19,92,36.90,30.00,
1,4,20,93,35.00,28.90,
1,4,21,94,33.00,27.70,
1,4,22,95,30.90,26.40,
1,4,23,96,28.70,25.00,
1,5,0,97,26.20,23.40,
1,5,1,98,24.70,22.40,
1,5,2,99,24.20,22.10,
1,5,3,100,23.40,21.50,
1,5,4,101,22.60,21.00,
1,5,5,102,21.70,20.20,
1,5,6,103,20.60,19.30,
1,5,7,104,22.20,20.70,
1,5,8,105,26.70,24.40,
1,5,9,106,31.00,28.00,
1,5,10,107,36.40,31.40,
1,5,11,108,43.10,35.00,
1,5,12,109,49.70,38.40,
1,5,13,110,53.40,40.40,
1,5,14,111,54.00,40.90,
1,5,15,112,54.70,41.50,
1,5,16,113,53.30,40.70,
1,5,17,114,50.00,38.50,
1,5,18,115,46.70,36.30,
1,5,19,116,45.30,35.70,
1,5,20,117,46.00,36.60,
1,5,21,118,46.60,37.40,
1,5,22,119,46.80,38.00,
1,5,23,120,46.50,38.30,
1,6,0,121,46.20,38.60,
1,6,1,122,45.70,38.60,
1,6,2,123,45.00,38.20,
1,6,3,124,44.40,37.90,
1,6,4,125,43.10,37.00,
1,6,5,126,41.00,35.60,
1,6,6,127,38.90,34.20,
1,6,7,128,38.50,33.80,
1,6,8,129,39.50,34.40,
1,6,9,130,40.50,34.90,
1,6,10,131,42.00,35.70,
1,6,11,132,44.00,36.50,
1,6,12,133,45.90,37.40,
1,6,13,134,47.10,37.80,
1,6,14,135,47.50,37.70,
1,6,15,136,47.80,37.60,
1,6,16,137,45.70,36.40,
1,6,17,138,41.00,33.70,
1,6,18,139,36.30,31.00,
1,6,19,140,32.50,28.60,
1,6,20,141,29.70,26.80,
1,6,21,142,26.60,24.70,
1,6,22,143,24.90,23.40,
1,6,23,144,24.70,23.10,
1,7,0,145,24.40,22.70,
1,7,1,146,24.00,22.40,
1,7,2,147,23.70,22.30,
1,7,3,148,23.30,21.90,
1,7,4,149,22.90,21.50,
1,7,5,150,22.60,21.30,
1,7,6,151,22.20,20.90,
1,7,7,152,24.20,22.50,
1,7,8,153,28.70,26.30,
