MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,28.00,25.80,
1,1,1,2,34.00,29.40,
1,1,2,3,32.90,28.80,
1,1,3,4,32.00,28.00,
1,1,4,5,30.90,26.70,
1,1,5,6,30.20,26.30,
1,1,6,7,29.70,25.80,
1,1,7,8,28.90,24.60,
1,1,8,9,29.70,25.50,
1,1,9,10,30.20,25.90,
1,1,10,11,30.90,25.90,
1,1,11,12,31.60,26.80,
1,1,12,13,32.40,27.20,
1,1,13,14,33.10,27.30,
1,1,14,15,33.40,28.10,
1,1,15,16,33.60,28.30,
1,1,16,17,34.00,28.30,
1,1,17,18,32.70,28.20,
1,1,18,19,31.30,27.40,
1,1,19,20,30.00,26.40,
1,1,20,21,30.40,26.90,
1,1,21,22,30.60,27.00,
1,1,22,23,30.90,26.70,
1,1,23,24,31.30,27.30,
1,2,0,25,31.60,27.60,
1,2,1,26,32.00,27.40,
1,2,2,27,32.40,28.30,
1,2,3,28,32.70,28.60,
1,2,4,29,33.10,28.60,
1,2,5,30,31.50,28.60,
1,2,6,31,29.70,27.70,
1,2,7,32,28.00,26.80,
1,2,8,33,28.80,27.40,
1,2,9,34,29.30,27.60,
1,2,10,35,30.00,27.80,
1,2,11,36,31.10,29.30,
1,2,12,37,32.00,30.50,
1,2,13,38,33.10,31.80,
1,2,14,39,33.80,33.10,
1,2,15,40,34.30,33.90,
1,2,16,41,35.10,35.20,
1,2,17,42,35.80,35.80,
1,2,18,43,36.30,36.10,
1,2,19,44,37.00,36.70,
1,2,20,45,37.40,36.70,
1,2,21,46,37.60,36.40,
1,2,22,47,37.90,36.30,
1,2,23,48,38.30,36.00,
1,3,0,49,38.70,35.50,
1,3,1,50,39.00,34.90,
1,3,2,51,37.40,34.40,
1,3,3,52,35.60,33.60,
1,3,4,53,34.00,32.80,
1,3,5,54,32.00,30.10,
1,3,6,55,30.00,27.50,
1,3,7,56,28.00,24.50,
1,3,8,57,28.40,24.90,
1,3,9,58,28.60,24.90,
1,3,10,59,28.90,24.50,
1,3,11,60,30.90,26.40,
1,3,12,61,33.10,28.10,
1,3,13,62,35.10,28.80,
1,3,14,63,35.40,29.60,
1,3,15,64,35.60,29.70,
1,3,16,65,36.00,29.60,
1,3,17,66,35.10,29.40,
1,3,18,67,34.00,28.70,
1,3,19,68,33.10,27.60,
1,3,20,69,32.40,27.30,
1,3,21,70,31.60,26.50,
1,3,22,71,30.90,25.30,
1,3,23,72,30.60,25.40,
1,4,0,73,30.40,25.20,
1,4,1,74,30.00,24.30,
1,4,2,75,29.70,24.60,
1,4,3,76,29.30,24.30,
1,4,4,77,28.90,23.60,
1,4,5,78,28.20,23.60,
1,4,6,79,27.70,23.30,
1,4,7,80,27.00,22.50,
1,4,8,81,28.20,24.00,
1,4,9,82,29.70,25.50,
1,4,10,83,30.90,26.20,
1,4,11,84,32.90,28.10,
1,4,12,85,35.10,29.70,
1,4,13,86,37.00,30.60,
1,4,14,87,37.40,31.30,
1,4,15,88,37.60,31.40,
1,4,16,89,37.90,31.10,
1,4,17,90,36.30,30.80,
1,4,18,91,34.70,30.10,
1,4,19,92,33.10,28.90,
1,4,20,93,32.70,29.10,
1,4,21,94,32.40,28.80,
1,4,22,95,32.00,28.20,
