MON,DAY,HR,HR OF YR,DRY BULB,WET BULB
1,1,0,1,45,40.8
1,1,1,2,55,54.4
1,1,2,3,55.9,55.4
1,1,3,4,55.9,55.9
1,1,4,5,57,56.3
1,1,5,6,57,56.3
1,1,6,7,57.9,57.3
1,1,7,8,57,57
1,1,8,9,57.9,57.3
1,1,9,10,57.9,57.8
1,1,10,11,60.1,58.6
1,1,11,12,63,60.4
1,1,12,13,64,60.7
1,1,13,14,63,60.4
1,1,14,15,66,60.8
1,1,15,16,66,59.7
1,1,16,17,64.9,59.3
1,1,17,18,64,60.1
1,1,18,19,62.1,59.4
1,1,19,20,60.1,58.1
1,1,20,21,57.9,56.1
1,1,21,22,57,55.1
1,1,22,23,57,55.1
1,1,23,24,55.9,54.6
1,2,0,25,55,53.7
1,2,1,26,55,53.7
1,2,2,27,55,53.7
1,2,3,28,54,52.7
1,2,4,29,54,52.7
1,2,5,30,54,52.7
1,2,6,31,55,53.1
1,2,7,32,53.1,51.8
1,2,8,33,53.1,51.8
1,2,9,34,57,54.6
1,2,10,35,60.1,55.8
1,2,11,36,66,59.6
1,2,12,37,68,61
1,2,13,38,69.1,61.4
1,2,14,39,69.1,61.9
1,2,15,40,69.1,60.8
1,2,16,41,68,61.5
1,2,17,42,64.9,59.9
1,2,18,43,60.1,57.5
1,2,19,44,57.9,56.6
1,2,20,45,57,56.2
1,2,21,46,55.9,55.8
1,2,22,47,55.9,55.8
1,2,23,48,55,54.9
1,3,0,49,55.9,55.8
1,3,1,50,55,54.9
1,3,2,51,54,53.9
1,3,3,52,54,53.9
1,3,4,53,54,53.9
1,3,5,54,55,54.9
1,3,6,55,55.9,55.3
1,3,7,56,55.9,55.3
1,3,8,57,55.9,55.3
1,3,9,58,57,56.2
1,3,10,59,60.1,58.6
1,3,11,60,64,60.7
1,3,12,61,66.9,62.4
1,3,13,62,68,62.8
1,3,14,63,70,62.9
1,3,15,64,69.1,61.9
1,3,16,65,69.1,61.9
1,3,17,66,66.9,61.1
1,3,18,67,66.9,61.1
1,3,19,68,66,60.8
1,3,20,69,64,60.1
1,3,21,70,63,60.4
1,3,22,71,62.1,60
1,3,23,72,62.1,60
1,4,0,73,61,59.6
1,4,1,74,61,59.6
1,4,2,75,60.1,59.3
1,4,3,76,61,59.6
1,4,4,77,61,59
1,4,5,78,59,57.7
1,4,6,79,57.9,56.6
1,4,7,80,57.9,56.6
1,4,8,81,57.9,56.1
1,4,9,82,59,56.5
1,4,10,83,61,58.4
1,4,11,84,66,61.4
1,4,12,85,71.1,64.4
1,4,13,86,70,64.7
1,4,14,87,70,65.3
1,4,15,88,69.1,65.7
1,4,16,89,64,63.3
1,4,17,90,64,63.3
1,4,18,91,63,62.4
1,4,19,92,62.1,61.3
1,4,20,93,62.1,62
1,4,21,94,62.1,62
1,4,22,95,61,60.9
1,4,23,96,60.1,60
1,5,0,97,61,60.9
1,5,1,98,62.1,61.3
1,5,2,99,62.1,61.4
1,5,3,100,62.1,60.8
1,5,4,101,61,60.4
1,5,5,102,60.1,59.4
1,5,6,103,60.1,58.2
1,5,7,104,59,57.1
1,5,8,105,57.9,55.5
1,5,9,106,55.9,52.5
1,5,10,107,55,50.5
1,5,11,108,53.1,46.1
1,5,12,109,52,44.7
1,5,13,110,55,43.7
1,5,14,111,55.9,42.3
1,5,15,112,55.9,42.5
1,5,16,113,55,42
1,5,17,114,53.1,40.5
1,5,18,115,46.9,38.8
1,5,19,116,44.1,37.2
1,5,20,117,42.1,36.9
1,5,21,118,39.9,36
1,5,22,119,39,35.5
1,5,23,120,36,34.2
1,6,0,121,35.1,33.7
1,6,1,122,35.1,33.2
1,6,2,123,33.1,32.1
1,6,3,124,32,31.4
1,6,4,125,32,31
1,6,5,126,30.9,30.4
1,6,6,127,30,29.5
1,6,7,128,30.9,29.2
1,6,8,129,30.9,29.2
1,6,9,130,36,32.2
1,6,10,131,43,35.6
1,6,11,132,48,38.3
1,6,12,133,51.1,40.6
1,6,13,134,54,43.8
1,6,14,135,59,47.6
1,6,15,136,60.1,48.5
1,6,16,137,60.1,49.3
1,6,17,138,59,48.8
1,6,18,139,50,46.3
1,6,19,140,46,43.9
1,6,20,141,46,43.9
1,6,21,142,43,42.4
1,6,22,143,43,42.4
1,6,23,144,42.1,41.5
1,7,0,145,39.9,39.4
1,7,1,146,42.1,41.5
1,7,2,147,45,44.4
1,7,3,148,46.9,45.8
1,7,4,149,48,46.3
1,7,5,150,48,46.3
1,7,6,151,48,47.3
1,7,7,152,48,47.9
1,7,8,153,48.9,48.3
1,7,9,154,48.9,48.3
1,7,10,155,50,49.3
1,7,11,156,50,48.8
1,7,12,157,50,48.8
1,7,13,158,50,48.8
1,7,14,159,50,48.8
1,7,15,160,50,48.8
1,7,16,161,50,48.8
1,7,17,162,51.1,49.3
1,7,18,163,50,48.8
1,7,19,164,48.9,48.3
1,7,20,165,48.9,48.3
1,7,21,166,48.9,48.3
1,7,22,167,48,47.3
1,7,23,168,48,47.3
1,8,0,169,48,46.8
1,8,1,170,48,46.3
1,8,2,171,48,46.2
1,8,3,172,48,46.2
1,8,4,173,50,45.8
1,8,5,174,51.1,47.2
1,8,6,175,50,46.7
1,8,7,176,50,46.2
1,8,8,177,48.9,45.7
1,8,9,178,48,44.3
1,8,10,179,48,44.3
1,8,11,180,46.9,43.3
1,8,12,181,46.9,42.9
1,8,13,182,46,42.4
1,8,14,183,45,41.5
1,8,15,184,44.1,41
1,8,16,185,44.1,40.6
1,8,17,186,44.1,40.6
1,8,18,187,43,40
1,8,19,188,43,40
1,8,20,189,44.1,41
1,8,21,190,44.1,41
1,8,22,191,45,42.3
1,8,23,192,45,42.3
1,9,0,193,46,42.8
1,9,1,194,46,43.3
1,9,2,195,46.9,44.3
1,9,3,196,41,38.5
1,9,4,197,41,39
1,9,5,198,41,39
1,9,6,199,39.9,38.4
1,9,7,200,41,39
1,9,8,201,41,39
1,9,9,202,42.1,40
1,9,10,203,45,42.3
1,9,11,204,46.9,44.3
1,9,12,205,50,47.1
1,9,13,206,51.1,49.2
1,9,14,207,51.1,49.7
1,9,15,208,50,48.1
1,9,16,209,50,48.1
1,9,17,210,48.9,47.6
1,9,18,211,48,47.2
1,9,19,212,48,47.2
1,9,20,213,48.9,48.2
1,9,21,214,48.9,48.2
1,9,22,215,48.9,48.2
1,9,23,216,48,47.3
1,10,0,217,48,47.3
1,10,1,218,48,47.3
1,10,2,219,48.9,48.3
1,10,3,220,48.9,48.8
1,10,4,221,50,49.9
1,10,5,222,52,51.4
1,10,6,223,53.1,52.4
