MON,DAY,HR,HR OF YR,DRY BULB,WET BULB
1,1,0,1,72,64.3
1,1,1,2,68,62.2
1,1,2,3,69.1,63.2
1,1,3,4,68,62.9
1,1,4,5,69.1,63.8
1,1,5,6,68,64.6
1,1,6,7,66.9,65
1,1,7,8,66.9,65.5
1,1,8,9,66.9,65.5
1,1,9,10,64.9,63.6
1,1,10,11,66,64.6
1,1,11,12,66,64.7
1,1,12,13,66.9,65
1,1,13,14,66,65.3
1,1,14,15,66.9,64.3
1,1,15,16,66.9,65
1,1,16,17,66.9,64.3
1,1,17,18,64.9,63
1,1,18,19,64,62.7
1,1,19,20,62.1,60.8
1,1,20,21,63,58.6
1,1,21,22,62.1,57.2
1,1,22,23,60.1,55.9
1,1,23,24,55.9,53.6
1,2,0,25,55,52.7
1,2,1,26,53.1,50.3
1,2,2,27,52,48.8
1,2,3,28,50,47.3
1,2,4,29,50,47.3
1,2,5,30,48,46.4
1,2,6,31,46.9,45.4
1,2,7,32,46,44.9
1,2,8,33,46.9,44.8
1,2,9,34,48.9,46.3
1,2,10,35,52,47.2
1,2,11,36,55.9,49.5
1,2,12,37,59,51.3
1,2,13,38,60.1,52.3
1,2,14,39,60.1,51.8
1,2,15,40,62.1,52.6
1,2,16,41,62.1,52.6
1,2,17,42,61,52.7
1,2,18,43,59,52.2
1,2,19,44,57.9,51.3
1,2,20,45,55.9,49.9
1,2,21,46,54,48.7
1,2,22,47,53.1,47.7
1,2,23,48,50,45.8
1,3,0,49,48,44.4
1,3,1,50,46.9,43.9
1,3,2,51,45,42.9
1,3,3,52,44.1,42.5
1,3,4,53,43,41.4
1,3,5,54,42.1,41
1,3,6,55,39.9,38.9
1,3,7,56,37.9,36.9
1,3,8,57,42.1,39.2
1,3,9,58,46.9,40.6
1,3,10,59,51.1,42.4
1,3,11,60,55.9,44
1,3,12,61,59,46.9
1,3,13,62,61,45.9
1,3,14,63,62.1,46.1
1,3,15,64,63,46
1,3,16,65,64,47.3
1,3,17,66,63,47.1
1,3,18,67,57.9,47.1
1,3,19,68,55,46.9
1,3,20,69,54,46.8
1,3,21,70,53.1,45.2
1,3,22,71,51.1,42
1,3,23,72,51.1,42
1,4,0,73,52,42.9
1,4,1,74,51.1,42.8
1,4,2,75,51.1,43.1
1,4,3,76,53.1,45.2
1,4,4,77,51.1,45.4
1,4,5,78,51.1,45.5
1,4,6,79,52,45.5
1,4,7,80,53.1,45.6
1,4,8,81,54,46
1,4,9,82,55.9,46.9
1,4,10,83,59,50
1,4,11,84,62.1,52.6
1,4,12,85,64.9,55.1
1,4,13,86,68,57.3
1,4,14,87,69.1,59.3
1,4,15,88,69.1,59.7
1,4,16,89,69.1,60.3
1,4,17,90,68,59.9
1,4,18,91,68,61
1,4,19,92,66.9,60.6
1,4,20,93,68,61.5
1,4,21,94,68,62.1
1,4,22,95,69.1,63.1
1,4,23,96,66.9,63.6
1,5,0,97,68,64
1,5,1,98,69.1,64.3
1,5,2,99,69.1,64.9
1,5,3,100,69.1,64.9
1,5,4,101,69.1,64.9
1,5,5,102,69.1,65.6
1,5,6,103,70,66.5
1,5,7,104,70,67.2
1,5,8,105,70,67.7
1,5,9,106,73,68.7
1,5,10,107,75.9,70.2
1,5,11,108,77,71.3
1,5,12,109,75.9,71
1,5,13,110,77,71.3
1,5,14,111,77,71.9
1,5,15,112,75.9,71
1,5,16,113,75.9,71
1,5,17,114,75.9,71.6
1,5,18,115,73.9,71
1,5,19,116,73,70.8
1,5,20,117,73,70.8
1,5,21,118,73,70.8
1,5,22,119,73,70.8
1,5,23,120,73,70.8
1,6,0,121,73,70.2
1,6,1,122,72,69.9
1,6,2,123,73,70.2
1,6,3,124,72,69.2
1,6,4,125,72,69.2
1,6,5,126,72,69.9
1,6,6,127,72,69.9
1,6,7,128,72,69.9
1,6,8,129,72,70.5
1,6,9,130,75,72.1
1,6,10,131,77,72.7
1,6,11,132,78.1,73
1,6,12,133,80.1,73.6
1,6,13,134,81,73.1
1,6,14,135,80.1,72.9
1,6,15,136,78.1,72.3
1,6,16,137,78.1,72.3
1,6,17,138,75.9,72.4
1,6,18,139,75,72.2
1,6,19,140,73.9,71.9
1,6,20,141,73.9,71.9
1,6,21,142,75,72.2
1,6,22,143,64,62.7
1,6,23,144,63,61.1
1,7,0,145,62.1,60.1
1,7,1,146,62.1,60.1
1,7,2,147,62.1,60.1
1,7,3,148,62.1,60.1
1,7,4,149,62.1,60.1
1,7,5,150,62.1,60.1
1,7,6,151,62.1,60.1
1,7,7,152,62.1,60.8
1,7,8,153,63,61.1
1,7,9,154,64.9,61.1
1,7,10,155,66,60.3
1,7,11,156,68,61.1
1,7,12,157,70,61.2
1,7,13,158,71.1,62.2
1,7,14,159,70,62.3
1,7,15,160,70,62.9
1,7,16,161,71.1,63.9
1,7,17,162,70,62.9
1,7,18,163,68,63.4
1,7,19,164,68,63.4
1,7,20,165,68,63.4
1,7,21,166,68,63.4
1,7,22,167,68,63.4
1,7,23,168,66.9,63.7
1,8,0,169,66,62.7
1,8,1,170,64.9,62.3
1,8,2,171,64.9,62.3
1,8,3,172,64.9,61.8
1,8,4,173,66,62.2
1,8,5,174,66,62.7
1,8,6,175,66,62.2
1,8,7,176,64.9,61.8
1,8,8,177,64.9,61.8
1,8,9,178,71.1,65.6
1,8,10,179,75,66.9
1,8,11,180,77,66.3
1,8,12,181,78.1,66.7
1,8,13,182,79,64.8
1,8,14,183,81,65
1,8,15,184,81,66
1,8,16,185,80.1,65.7
1,8,17,186,78.1,65.6
1,8,18,187,73.9,65.3
1,8,19,188,71.1,65.1
1,8,20,189,68,63.3
1,8,21,190,66,60.3
1,8,22,191,64.9,58.8
1,8,23,192,62.1,56
1,9,0,193,60.1,52.7
1,9,1,194,57.9,49.6
1,9,2,195,55,46.5
1,9,3,196,53.1,45.3
1,9,4,197,52,44.7
1,9,5,198,52,45.5
1,9,6,199,51.1,45.9
1,9,7,200,51.1,46.8
1,9,8,201,52,48.2
1,9,9,202,57,51.9
1,9,10,203,66,58.1
1,9,11,204,72,63.5
1,9,12,205,75.9,67.1
1,9,13,206,77,66.3
1,9,14,207,78.1,69
1,9,15,208,80.1,70.3
1,9,16,209,77,65.8
1,9,17,210,75,66.3
1,9,18,211,73,65.7
1,9,19,212,71.1,65
1,9,20,213,69.1,64.4
