MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,44.10,40.40,
1,1,1,2,39.00,35.20,
1,1,2,3,38.30,34.90,
1,1,3,4,37.80,34.70,
1,1,4,5,37.00,34.00,
1,1,5,6,35.10,32.70,
1,1,6,7,32.90,31.10,
1,1,7,8,30.90,29.30,
1,1,8,9,34.90,32.40,
1,1,9,10,39.00,35.30,
1,1,10,11,43.00,37.70,
1,1,11,12,45.70,39.30,
1,1,12,13,48.40,40.50,
1,1,13,14,51.10,41.30,
1,1,14,15,52.30,42.20,
1,1,15,16,53.80,42.90,
1,1,16,17,55.00,43.30,
1,1,17,18,49.30,41.50,
1,1,18,19,43.70,38.80,
1,1,19,20,37.90,35.40,
1,1,20,21,35.60,33.30,
1,1,21,22,33.30,31.30,
1,1,22,23,30.90,29.00,
1,1,23,24,30.20,28.50,
1,2,0,25,29.70,28.00,
1,2,1,26,28.90,27.10,
1,2,2,27,28.60,27.10,
1,2,3,28,28.40,26.90,
1,2,4,29,28.00,26.50,
1,2,5,30,27.00,25.70,
1,2,6,31,26.10,24.80,
1,2,7,32,25.00,23.60,
1,2,8,33,31.60,29.60,
1,2,9,34,38.30,35.10,
1,2,10,35,45.00,40.40,
1,2,11,36,49.30,42.20,
1,2,12,37,53.60,43.50,
1,2,13,38,57.90,44.10,
1,2,14,39,59.00,45.00,
1,2,15,40,59.90,45.10,
1,2,16,41,61.00,45.60,
1,2,17,42,54.30,44.10,
1,2,18,43,47.70,41.60,
1,2,19,44,41.00,37.80,
1,2,20,45,38.30,35.90,
1,2,21,46,35.80,34.10,
1,2,22,47,33.10,31.70,
1,2,23,48,33.10,31.70,
1,3,0,49,33.10,31.40,
1,3,1,50,33.10,31.00,
1,3,2,51,33.10,31.20,
1,3,3,52,33.10,31.20,
1,3,4,53,33.10,31.00,
1,3,5,54,33.40,31.60,
1,3,6,55,33.60,31.90,
1,3,7,56,34.00,32.30,
1,3,8,57,41.00,38.60,
1,3,9,58,48.00,45.00,
1,3,10,59,55.00,51.00,
1,3,11,60,59.70,53.70,
1,3,12,61,64.40,56.10,
1,3,13,62,69.10,57.80,
1,3,14,63,69.10,58.10,
1,3,15,64,69.10,58.10,
1,3,16,65,69.10,58.30,
1,3,17,66,67.10,58.20,
1,3,18,67,64.90,57.50,
1,3,19,68,63.00,57.00,
1,3,20,69,59.40,55.30,
1,3,21,70,55.60,53.10,
1,3,22,71,52.00,50.80,
1,3,23,72,52.00,50.80,
1,4,0,73,52.00,50.80,
1,4,1,74,52.00,50.90,
1,4,2,75,55.60,53.80,
1,4,3,76,59.40,56.60,
1,4,4,77,63.00,59.20,
1,4,5,78,62.60,59.30,
1,4,6,79,62.40,59.60,
1,4,7,80,62.10,59.40,
1,4,8,81,63.00,60.90,
1,4,9,82,64.00,62.20,
1,4,10,83,64.90,63.60,
1,4,11,84,66.90,64.70,
1,4,12,85,69.10,65.90,
1,4,13,86,71.10,66.90,
1,4,14,87,70.00,66.60,
1,4,15,88,69.10,66.40,
1,4,16,89,68.00,66.00,
1,4,17,90,67.30,65.70,
1,4,18,91,66.70,65.80,
1,4,19,92,66.00,65.30,
1,4,20,93,66.70,66.00,
1,4,21,94,67.30,66.10,
1,4,22,95,68.00,66.70,
1,4,23,96,69.10,67.50,
1,5,0,97,70.00,68.20,
1,5,1,98,71.10,69.00,
1,5,2,99,70.00,68.20,
1,5,3,100,69.10,67.50,
1,5,4,101,68.00,66.70,
1,5,5,102,64.60,63.40,
1,5,6,103,61.30,60.40,
1,5,7,104,57.90,57.30,
1,5,8,105,56.70,56.20,
1,5,9,106,55.20,55.10,
1,5,10,107,54.00,53.90,
1,5,11,108,54.70,54.20,
1,5,12,109,55.20,54.00,
1,5,13,110,55.90,54.20,
1,5,14,111,55.90,53.70,
1,5,15,112,55.90,53.00,
1,5,16,113,55.90,52.50,
1,5,17,114,55.00,52.10,
1,5,18,115,54.00,51.80,
1,5,19,116,53.10,51.30,
1,5,20,117,53.40,50.30,
1,5,21,118,53.60,49.00,
1,5,22,119,54.00,47.80,
1,5,23,120,54.00,47.40,
1,6,0,121,54.00,46.90,
1,6,1,122,54.00,46.50,
1,6,2,123,53.10,45.90,
1,6,3,124,52.00,45.30,
1,6,4,125,51.10,44.60,
1,6,5,126,48.70,44.40,
1,6,6,127,46.40,43.70,
1,6,7,128,44.10,43.00,
1,6,8,129,43.70,42.50,
1,6,9,130,43.30,41.90,
1,6,10,131,43.00,41.40,
1,6,11,132,44.60,42.10,
1,6,12,133,46.40,43.00,
1,6,13,134,48.00,43.60,
1,6,14,135,49.60,44.00,
1,6,15,136,51.40,44.60,
1,6,16,137,53.10,44.80,
1,6,17,138,50.70,43.50,
1,6,18,139,48.40,41.90,
1,6,19,140,46.00,40.10,
1,6,20,141,45.00,39.60,
1,6,21,142,44.10,39.30,
1,6,22,143,43.00,38.50,
1,6,23,144,43.00,38.40,
1,7,0,145,43.00,38.30,
1,7,1,146,43.00,38.10,
1,7,2,147,41.70,37.30,
1,7,3,148,40.30,36.10,
1,7,4,149,39.00,35.10,
1,7,5,150,38.70,34.90,
1,7,6,151,38.30,34.60,
1,7,7,152,37.90,34.10,
1,7,8,153,39.60,35.50,
1,7,9,154,41.40,36.80,
1,7,10,155,43.00,37.70,
1,7,11,156,46.40,40.30,
1,7,12,157,49.60,42.40,
1,7,13,158,53.10,44.50,
1,7,14,159,56.10,46.10,
1,7,15,160,59.00,47.60,
1,7,16,161,62.10,48.70,
1,7,17,162,58.10,47.70,
1,7,18,163,54.00,46.10,
1,7,19,164,50.00,44.10,
1,7,20,165,49.60,44.00,
1,7,21,166,49.30,43.80,
1,7,22,167,48.90,43.50,
1,7,23,168,48.20,43.20,
1,8,0,169,47.70,42.90,
1,8,1,170,46.90,42.50,
1,8,2,171,47.30,43.10,
1,8,3,172,47.70,43.50,
1,8,4,173,48.00,43.90,
1,8,5,174,47.70,44.70,
1,8,6,175,47.30,45.30,
1,8,7,176,46.90,45.80,
1,8,8,177,47.30,46.30,
1,8,9,178,47.70,46.90,
1,8,10,179,48.00,47.30,
1,8,11,180,48.00,47.30,
1,8,12,181,48.00,47.30,
1,8,13,182,48.00,47.30,
1,8,14,183,48.00,47.40,
1,8,15,184,48.00,47.40,
1,8,16,185,48.00,47.40,
1,8,17,186,47.30,46.70,
1,8,18,187,46.80,46.20,
1,8,19,188,46.00,45.40,
1,8,20,189,45.30,44.70,
1,8,21,190,44.80,44.20,
1,8,22,191,44.10,43.50,
1,8,23,192,43.70,42.90,
1,9,0,193,43.30,42.10,
1,9,1,194,43.00,41.50,
1,9,2,195,42.60,41.10,
1,9,3,196,42.40,40.90,
1,9,4,197,42.10,40.60,
1,9,5,198,41.70,40.40,
1,9,6,199,41.40,40.30,
1,9,7,200,41.00,40.00,
1,9,8,201,41.70,40.60,
1,9,9,202,42.30,40.90,
1,9,10,203,43.00,41.50,
1,9,11,204,45.00,42.90,
1,9,12,205,46.90,44.20,
1,9,13,206,48.90,45.40,
1,9,14,207,52.00,47.60,
1,9,15,208,54.90,49.50,
1,9,16,209,57.90,51.40,
1,9,17,210,54.70,50.00,
1,9,18,211,51.30,48.30,
1,9,19,212,48.00,46.40,
1,9,20,213,45.00,43.60,
1,9,21,214,42.10,41.00,
1,9,22,215,39.00,38.00,
1,9,23,216,37.90,37.10,
1,10,0,217,37.00,36.40,
1,10,1,218,36.00,35.50,
1,10,2,219,37.90,37.30,
1,10,3,220,40.10,39.30,
1,10,4,221,42.10,41.00,
1,10,5,222,42.80,41.90,
1,10,6,223,43.30,42.40,
1,10,7,224,44.10,43.00,
1,10,8,225,44.80,43.90,
1,10,9,226,45.30,44.60,
1,10,10,227,46.00,45.30,
1,10,11,228,46.90,46.10,
1,10,12,229,48.00,47.00,
1,10,13,230,48.90,47.70,
1,10,14,231,50.40,48.60,
1,10,15,232,51.60,49.00,
1,10,16,233,53.10,49.70,
1,10,17,234,52.30,49.60,
1,10,18,235,51.80,49.70,
1,10,19,236,51.10,49.30,
1,10,20,237,50.40,49.10,
1,10,21,238,49.60,48.60,
1,10,22,239,48.90,48.30,
1,10,23,240,48.90,48.40,
1,11,0,241,48.90,48.70,
1,11,1,242,48.90,48.80,
1,11,2,243,48.90,48.80,
1,11,3,244,48.90,48.80,
1,11,4,245,48.90,48.80,
1,11,5,246,49.30,49.10,
1,11,6,247,49.60,49.10,
1,11,7,248,50.00,49.30,
1,11,8,249,50.70,50.00,
1,11,9,250,51.30,50.50,
1,11,10,251,52.00,51.30,
1,11,11,252,54.00,53.10,
1,11,12,253,55.90,54.80,
1,11,13,254,57.90,56.60,
1,11,14,255,58.60,57.50,
1,11,15,256,59.40,58.60,
1,11,16,257,60.10,59.30,
1,11,17,258,59.40,58.90,
1,11,18,259,58.60,58.40,
1,11,19,260,57.90,57.80,
1,11,20,261,57.90,57.80,
1,11,21,262,57.90,57.80,
1,11,22,263,57.90,57.80,
1,11,23,264,57.90,57.80,
1,12,0,265,57.90,57.80,
1,12,1,266,57.90,57.80,
1,12,2,267,57.90,57.80,
1,12,3,268,57.90,57.80,
1,12,4,269,57.90,57.80,
1,12,5,270,57.90,57.80,
1,12,6,271,57.90,57.80,
1,12,7,272,57.90,57.80,
1,12,8,273,58.60,58.30,
1,12,9,274,59.40,58.90,
1,12,10,275,60.10,59.20,
1,12,11,276,61.70,60.10,
1,12,12,277,63.30,60.50,
1,12,13,278,64.90,61.00,
1,12,14,279,66.60,61.10,
1,12,15,280,68.40,60.90,
1,12,16,281,70.00,60.60,
1,12,17,282,66.40,59.80,
1,12,18,283,62.60,58.70,
1,12,19,284,59.00,57.00,
1,12,20,285,57.00,55.70,
1,12,21,286,55.00,54.50,
1,12,22,287,53.10,53.00,
1,12,23,288,53.40,53.30,
1,13,0,289,53.60,53.50,
1,13,1,290,54.00,53.80,
1,13,2,291,53.60,53.50,
1,13,3,292,53.40,53.30,
1,13,4,293,53.10,52.90,
1,13,5,294,52.30,52.20,
1,13,6,295,51.80,51.60,
1,13,7,296,51.10,50.90,
1,13,8,297,51.80,51.50,
1,13,9,298,52.30,51.70,
1,13,10,299,53.10,52.30,
1,13,11,300,56.70,54.80,
1,13,12,301,60.40,57.30,
1,13,13,302,64.00,59.50,
1,13,14,303,66.00,60.10,
1,13,15,304,68.00,60.40,
1,13,16,305,70.00,60.60,
1,13,17,306,65.30,59.30,
1,13,18,307,60.60,57.50,
1,13,19,308,55.90,55.20,
1,13,20,309,55.90,55.30,
1,13,21,310,55.90,55.60,
1,13,22,311,55.90,55.70,
1,13,23,312,55.60,55.40,
1,14,0,313,55.40,55.20,
1,14,1,314,55.00,54.80,
1,14,2,315,54.00,53.80,
1,14,3,316,53.10,52.90,
1,14,4,317,52.00,51.80,
1,14,5,318,50.40,50.20,
1,14,6,319,48.60,48.40,
1,14,7,320,46.90,46.80,
1,14,8,321,51.30,50.50,
1,14,9,322,55.80,54.10,
1,14,10,323,60.10,57.40,
1,14,11,324,65.30,60.50,
1,14,12,325,70.70,63.40,
1,14,13,326,75.90,65.40,
1,14,14,327,76.60,65.70,
1,14,15,328,77.40,66.40,
1,14,16,329,78.10,66.60,
1,14,17,330,74.10,65.40,
1,14,18,331,70.00,64.00,
1,14,19,332,66.00,62.00,
1,14,20,333,64.40,61.60,
1,14,21,334,62.60,60.90,
1,14,22,335,61.00,60.30,
1,14,23,336,61.00,60.50,
1,15,0,337,61.00,60.70,
1,15,1,338,61.00,60.90,
1,15,2,339,61.30,61.10,
1,15,3,340,61.70,61.20,
1,15,4,341,62.10,61.20,
1,15,5,342,63.00,62.20,
1,15,6,343,64.00,63.30,
1,15,7,344,64.90,64.20,
1,15,8,345,66.60,65.20,
1,15,9,346,68.40,66.20,
1,15,10,347,70.00,67.10,
1,15,11,348,71.20,66.50,
1,15,12,349,72.70,65.80,
1,15,13,350,73.90,64.80,
1,15,14,351,72.30,62.40,
1,15,15,352,70.70,60.20,
1,15,16,353,69.10,57.80,
1,15,17,354,66.00,56.50,
1,15,18,355,63.10,54.90,
1,15,19,356,60.10,53.20,
1,15,20,357,56.70,49.80,
1,15,21,358,53.40,46.50,
1,15,22,359,50.00,42.90,
1,15,23,360,48.00,41.30,
1,16,0,361,46.00,39.70,
1,16,1,362,44.10,37.90,
1,16,2,363,42.60,36.80,
1,16,3,364,41.40,35.60,
1,16,4,365,39.90,34.10,
1,16,5,366,38.70,33.60,
1,16,6,367,37.20,32.60,
1,16,7,368,36.00,31.50,
1,16,8,369,38.30,33.00,
1,16,9,370,40.60,34.00,
1,16,10,371,43.00,34.60,
1,16,11,372,46.00,36.50,
1,16,12,373,48.90,37.70,
1,16,13,374,52.00,38.40,
1,16,14,375,53.20,39.30,
1,16,15,376,54.70,39.70,
1,16,16,377,55.90,39.70,
1,16,17,378,49.60,38.90,
1,16,18,379,43.30,36.70,
1,16,19,380,37.00,33.20,
1,16,20,381,35.40,32.30,
1,16,21,382,33.60,31.00,
1,16,22,383,32.00,29.60,
1,16,23,384,30.90,29.10,
1,17,0,385,30.00,28.40,
1,17,1,386,28.90,27.40,
1,17,2,387,29.70,28.20,
1,17,3,388,30.20,28.60,
1,17,4,389,30.90,29.00,
1,17,5,390,29.30,27.80,
1,17,6,391,27.70,26.40,
1,17,7,392,26.10,25.00,
1,17,8,393,32.70,30.70,
