MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,57.00,56.30,
1,1,1,2,30.90,30.90,
1,1,2,3,32.00,31.50,
1,1,3,4,32.00,31.60,
1,1,4,5,32.00,31.60,
1,1,5,6,32.00,31.60,
1,1,6,7,30.90,30.90,
1,1,7,8,32.00,31.50,
1,1,8,9,32.00,31.50,
1,1,9,10,32.00,31.50,
1,1,10,11,30.00,29.50,
1,1,11,12,28.90,28.10,
1,1,12,13,28.00,26.80,
1,1,13,14,27.00,26.20,
1,1,14,15,28.00,26.80,
1,1,15,16,28.00,26.80,
1,1,16,17,28.90,27.80,
1,1,17,18,28.90,27.70,
1,1,18,19,28.90,28.10,
1,1,19,20,28.90,27.70,
1,1,20,21,28.00,26.80,
1,1,21,22,26.10,25.60,
1,1,22,23,26.10,25.30,
1,1,23,24,25.00,24.60,
1,2,0,25,25.00,24.20,
1,2,1,26,24.10,23.30,
1,2,2,27,24.10,23.00,
1,2,3,28,21.90,21.20,
1,2,4,29,21.00,20.30,
1,2,5,30,21.90,20.60,
1,2,6,31,21.00,19.70,
1,2,7,32,19.90,19.00,
1,2,8,33,19.90,19.00,
1,2,9,34,21.90,20.60,
1,2,10,35,26.10,23.90,
1,2,11,36,30.90,28.20,
1,2,12,37,35.10,32.00,
1,2,13,38,37.90,34.40,
1,2,14,39,42.10,37.10,
1,2,15,40,44.10,38.20,
1,2,16,41,44.10,38.20,
1,2,17,42,44.10,39.40,
1,2,18,43,42.10,38.00,
1,2,19,44,39.90,36.40,
1,2,20,45,37.00,34.80,
1,2,21,46,36.00,34.20,
1,2,22,47,36.00,34.20,
1,2,23,48,35.10,33.70,
1,3,0,49,36.00,34.60,
1,3,1,50,36.00,33.70,
1,3,2,51,34.00,32.60,
1,3,3,52,34.00,32.60,
1,3,4,53,34.00,32.60,
1,3,5,54,34.00,32.60,
1,3,6,55,36.00,35.50,
1,3,7,56,39.00,38.40,
1,3,8,57,37.00,36.40,
1,3,9,58,39.00,38.40,
1,3,10,59,39.90,38.40,
1,3,11,60,42.10,40.50,
1,3,12,61,48.90,45.70,
1,3,13,62,51.10,47.20,
1,3,14,63,54.00,49.50,
1,3,15,64,57.00,51.30,
1,3,16,65,57.90,50.70,
1,3,17,66,55.00,49.00,
1,3,18,67,51.10,46.70,
1,3,19,68,50.00,46.20,
1,3,20,69,48.90,45.70,
1,3,21,70,46.90,44.70,
1,3,22,71,43.00,41.90,
1,3,23,72,46.90,45.30,
