MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,63.00,61.00,
1,1,1,2,46.90,46.90,
1,1,2,3,46.90,46.90,
1,1,3,4,48.00,47.40,
1,1,4,5,48.90,48.40,
1,1,5,6,50.00,50.00,
1,1,6,7,50.00,50.00,
1,1,7,8,52.00,52.00,
1,1,8,9,53.10,52.50,
1,1,9,10,54.00,52.40,
1,1,10,11,51.10,48.90,
1,1,11,12,48.00,46.00,
1,1,12,13,46.00,44.50,
1,1,13,14,44.10,42.10,
1,1,14,15,43.00,41.10,
1,1,15,16,44.10,41.20,
1,1,16,17,45.00,41.70,
1,1,17,18,45.00,41.30,
1,1,18,19,45.00,41.70,
1,1,19,20,44.10,41.70,
1,1,20,21,43.00,40.20,
1,1,21,22,42.10,39.70,
1,1,22,23,42.10,39.30,
1,1,23,24,42.10,39.70,
1,2,0,25,41.00,40.00,
1,2,1,26,42.10,40.60,
1,2,2,27,43.00,41.10,
1,2,3,28,42.10,39.70,
1,2,4,29,42.10,38.90,
1,2,5,30,41.00,37.50,
1,2,6,31,39.90,36.90,
1,2,7,32,39.00,36.00,
1,2,8,33,39.00,36.00,
1,2,9,34,39.00,35.50,
1,2,10,35,39.00,34.70,
1,2,11,36,39.00,34.40,
1,2,12,37,39.00,34.70,
1,2,13,38,41.00,35.50,
1,2,14,39,45.00,37.80,
1,2,15,40,46.00,38.60,
1,2,16,41,46.90,38.80,
1,2,17,42,46.00,38.60,
1,2,18,43,44.10,37.60,
1,2,19,44,41.00,35.90,
1,2,20,45,39.90,35.70,
1,2,21,46,37.90,34.10,
1,2,22,47,37.00,33.60,
1,2,23,48,35.10,32.40,
1,3,0,49,33.10,31.00,
1,3,1,50,33.10,31.30,
1,3,2,51,32.00,30.30,
1,3,3,52,30.00,28.40,
1,3,4,53,28.90,27.40,
1,3,5,54,28.00,27.20,
1,3,6,55,28.00,27.20,
1,3,7,56,28.90,28.10,
1,3,8,57,28.90,28.10,
1,3,9,58,32.00,31.40,
1,3,10,59,37.00,34.30,
1,3,11,60,43.00,38.50,
1,3,12,61,48.00,41.20,
1,3,13,62,53.10,43.80,
1,3,14,63,57.90,46.40,
1,3,15,64,60.10,47.40,
1,3,16,65,61.00,48.20,
1,3,17,66,61.00,48.90,
1,3,18,67,55.00,45.70,
1,3,19,68,52.00,44.30,
1,3,20,69,48.90,42.70,
1,3,21,70,46.90,41.70,
1,3,22,71,46.90,41.70,
1,3,23,72,44.10,40.30,
1,4,0,73,42.10,38.80,
1,4,1,74,42.10,38.80,
1,4,2,75,42.10,38.80,
1,4,3,76,39.00,36.70,
1,4,4,77,39.90,37.20,
1,4,5,78,37.90,36.10,
1,4,6,79,35.10,33.70,
1,4,7,80,34.00,33.10,
1,4,8,81,36.00,34.60,
1,4,9,82,39.90,37.60,
1,4,10,83,46.90,42.50,
1,4,11,84,54.00,46.40,
1,4,12,85,55.00,46.90,
1,4,13,86,55.90,47.70,
1,4,14,87,59.00,49.10,
1,4,15,88,59.00,48.70,
1,4,16,89,59.00,48.70,
1,4,17,90,57.90,48.60,
1,4,18,91,54.00,47.70,
1,4,19,92,51.10,46.40,
1,4,20,93,45.00,42.40,
1,4,21,94,44.10,41.50,
1,4,22,95,42.10,40.00,
1,4,23,96,39.90,38.90,
1,5,0,97,39.90,38.50,
1,5,1,98,39.90,38.50,
1,5,2,99,39.00,38.00,
1,5,3,100,39.00,38.00,
1,5,4,101,37.00,36.00,
1,5,5,102,37.00,36.00,
1,5,6,103,37.00,36.00,
