MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,75.40,70.80,
1,1,1,2,68.00,65.90,
1,1,2,3,68.00,65.30,
1,1,3,4,66.00,63.90,
1,1,4,5,66.00,64.60,
1,1,5,6,66.00,64.60,
1,1,6,7,66.00,64.60,
1,1,7,8,66.00,64.60,
1,1,8,9,69.10,66.90,
1,1,9,10,75.90,70.30,
1,1,10,11,80.10,70.80,
1,1,11,12,82.00,71.40,
1,1,12,13,82.90,72.30,
1,1,13,14,82.90,72.40,
1,1,14,15,84.00,71.50,
1,1,15,16,84.00,72.00,
1,1,16,17,82.00,73.40,
1,1,17,18,79.00,72.50,
1,1,18,19,77.00,69.40,
1,1,19,20,75.00,68.80,
1,1,20,21,73.90,67.70,
1,1,21,22,73.00,68.10,
1,1,22,23,73.90,69.70,
1,1,23,24,72.00,69.10,
1,2,0,25,73.90,67.70,
1,2,1,26,73.90,69.00,
1,2,2,27,71.10,68.10,
1,2,3,28,72.00,68.40,
1,2,4,29,72.00,67.80,
1,2,5,30,73.00,67.50,
1,2,6,31,73.00,67.50,
1,2,7,32,73.00,68.10,
1,2,8,33,73.90,68.40,
1,2,9,34,75.90,69.60,
1,2,10,35,80.10,70.20,
1,2,11,36,78.10,69.70,
1,2,12,37,82.00,71.40,
1,2,13,38,82.90,70.50,
1,2,14,39,82.90,69.30,
1,2,15,40,81.00,68.70,
1,2,16,41,80.10,68.50,
1,2,17,42,78.10,68.50,
1,2,18,43,75.90,67.10,
1,2,19,44,75.00,67.50,
1,2,20,45,75.90,68.40,
1,2,21,46,75.90,69.00,
1,2,22,47,75.00,69.30,
1,2,23,48,73.00,69.40,
1,3,0,49,73.00,68.70,
1,3,1,50,73.00,69.40,
1,3,2,51,73.00,70.20,
1,3,3,52,73.00,70.20,
1,3,4,53,72.00,69.90,
1,3,5,54,71.10,68.90,
1,3,6,55,72.00,69.90,
1,3,7,56,70.00,68.50,
1,3,8,57,73.00,69.40,
1,3,9,58,77.00,69.90,
1,3,10,59,82.00,70.80,
1,3,11,60,82.90,71.10,
1,3,12,61,84.00,71.40,
1,3,13,62,84.90,71.70,
