MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,7.00,4.90,
1,1,1,2,34.70,31.90,
1,1,2,3,33.30,30.90,
1,1,3,4,32.00,29.60,
1,1,4,5,31.60,29.60,
1,1,5,6,31.30,29.50,
1,1,6,7,30.90,29.00,
1,1,7,8,30.90,29.30,
1,1,8,9,30.90,29.40,
1,1,9,10,30.90,29.30,
1,1,10,11,31.60,30.20,
1,1,11,12,32.40,31.10,
1,1,12,13,33.10,31.80,
1,1,13,14,32.70,31.80,
1,1,14,15,32.40,31.70,
1,1,15,16,32.00,31.50,
1,1,16,17,31.60,30.80,
1,1,17,18,31.30,30.20,
1,1,18,19,30.90,29.30,
1,1,19,20,28.20,26.90,
1,1,20,21,25.70,24.50,
1,1,21,22,23.00,21.70,
1,1,22,23,21.90,20.80,
1,1,23,24,21.00,19.90,
1,2,0,25,19.90,18.70,
1,2,1,26,18.70,17.90,
1,2,2,27,17.20,16.60,
1,2,3,28,16.00,15.50,
1,2,4,29,17.20,16.60,
1,2,5,30,18.70,17.90,
1,2,6,31,19.90,18.80,
1,2,7,32,22.60,21.40,
1,2,8,33,25.30,24.00,
1,2,9,34,28.00,26.20,
1,2,10,35,29.70,27.70,
1,2,11,36,31.50,29.00,
1,2,12,37,33.10,29.60,
1,2,13,38,33.40,30.30,
1,2,14,39,33.60,30.50,
1,2,15,40,34.00,30.40,
1,2,16,41,32.00,29.30,
1,2,17,42,30.00,27.70,
1,2,18,43,28.00,25.80,
1,2,19,44,27.30,25.30,
1,2,20,45,26.80,24.80,
1,2,21,46,26.10,23.70,
1,2,22,47,25.30,23.40,
1,2,23,48,24.80,23.00,
1,3,0,49,24.10,22.10,
1,3,1,50,22.60,21.00,
1,3,2,51,21.40,19.90,
1,3,3,52,19.90,18.40,
1,3,4,53,19.60,18.30,
1,3,5,54,19.40,18.10,
1,3,6,55,19.00,17.50,
1,3,7,56,17.10,15.70,
1,3,8,57,14.90,13.50,
1,3,9,58,12.90,11.30,
1,3,10,59,12.20,10.70,
1,3,11,60,11.70,10.20,
1,3,12,61,10.90,9.20,
1,3,13,62,10.60,9.10,
1,3,14,63,10.40,8.90,
1,3,15,64,10.00,8.40,
1,3,16,65,9.70,8.20,
1,3,17,66,9.30,7.80,
1,3,18,67,9.00,7.30,
1,3,19,68,8.20,6.80,
1,3,20,69,7.70,6.30,
1,3,21,70,7.00,5.60,
1,3,22,71,6.30,5.00,
1,3,23,72,5.70,4.50,
1,4,0,73,5.00,3.80,
1,4,1,74,3.90,2.80,
1,4,2,75,3.00,2.00,
1,4,3,76,1.90,0.80,
1,4,4,77,1.60,0.60,
1,4,5,78,1.40,0.40,
1,4,6,79,1.00,0.00,
1,4,7,80,1.40,0.30,
1,4,8,81,1.60,0.30,
1,4,9,82,1.90,0.30,
1,4,10,83,2.70,1.20,
1,4,11,84,3.20,1.60,
1,4,12,85,3.90,2.20,
1,4,13,86,4.60,2.90,
1,4,14,87,5.40,3.60,
1,4,15,88,6.10,4.20,
1,4,16,89,4.60,3.00,
1,4,17,90,3.40,1.90,
1,4,18,91,1.90,0.50,
1,4,19,92,1.00,-0.20,
1,4,20,93,0.00,-1.10,
1,4,21,94,-0.90,-2.10,
1,4,22,95,-1.70,-2.70,
1,4,23,96,-2.20,-3.20,
1,5,0,97,-2.90,-3.90,
1,5,1,98,-2.60,-3.50,
1,5,2,99,-2.40,-3.30,
1,5,3,100,-2.00,-3.00,
1,5,4,101,-1.30,-2.20,
1,5,5,102,-0.80,-1.70,
1,5,6,103,0.00,-1.00,
1,5,7,104,2.30,1.30,
1,5,8,105,4.60,3.40,
1,5,9,106,7.00,5.40,
1,5,10,107,10.40,8.70,
1,5,11,108,13.60,11.60,
1,5,12,109,17.10,14.50,
1,5,13,110,18.30,15.70,
1,5,14,111,19.80,17.10,
1,5,15,112,21.00,17.80,
1,5,16,113,21.00,18.30,
1,5,17,114,21.00,18.50,
1,5,18,115,21.00,18.50,
1,5,19,116,19.80,17.80,
1,5,20,117,18.30,16.60,
1,5,21,118,17.10,15.50,
1,5,22,119,16.70,15.30,
1,5,23,120,16.30,15.10,
1,6,0,121,16.00,14.70,
1,6,1,122,16.00,15.00,
1,6,2,123,16.00,15.20,
1,6,3,124,16.00,15.20,
1,6,4,125,14.70,14.20,
1,6,5,126,13.30,12.90,
1,6,6,127,12.00,11.70,
1,6,7,128,13.30,12.90,
1,6,8,129,14.70,14.20,
1,6,9,130,16.00,15.20,
1,6,10,131,22.30,20.80,
1,6,11,132,28.80,26.20,
1,6,12,133,35.10,30.40,
1,6,13,134,36.00,31.50,
1,6,14,135,37.00,32.40,
1,6,15,136,37.90,32.60,
1,6,16,137,37.20,32.80,
1,6,17,138,36.70,32.80,
1,6,18,139,36.00,32.20,
1,6,19,140,36.00,32.40,
1,6,20,141,36.00,32.30,
1,6,21,142,36.00,31.90,
1,6,22,143,35.10,31.40,
1,6,23,144,34.00,30.40,
1,7,0,145,33.10,29.20,
1,7,1,146,32.00,28.90,
