MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,29.30,28.90,
1,1,1,2,17.10,15.90,
1,1,2,3,18.00,16.80,
1,1,3,4,17.10,16.20,
1,1,4,5,18.00,17.10,
1,1,5,6,18.00,17.30,
1,1,6,7,19.00,18.40,
1,1,7,8,19.90,19.30,
1,1,8,9,21.00,20.30,
1,1,9,10,21.90,21.20,
1,1,10,11,26.10,25.30,
1,1,11,12,39.00,35.00,
1,1,12,13,25.00,23.90,
1,1,13,14,30.90,29.70,
1,1,14,15,36.00,33.30,
1,1,15,16,37.90,34.80,
1,1,16,17,39.90,35.00,
1,1,17,18,37.90,34.40,
1,1,18,19,32.00,29.80,
1,1,19,20,30.90,28.80,
1,1,20,21,26.10,24.90,
1,1,21,22,26.10,24.20,
1,1,22,23,21.90,20.90,
1,1,23,24,26.10,24.50,
1,2,0,25,26.10,23.80,
1,2,1,26,27.00,24.70,
1,2,2,27,26.10,24.50,
1,2,3,28,27.00,25.10,
1,2,4,29,28.00,25.70,
1,2,5,30,25.00,23.20,
1,2,6,31,19.90,19.20,
1,2,7,32,21.00,20.30,
1,2,8,33,19.90,19.20,
1,2,9,34,26.10,23.60,
1,2,10,35,28.00,25.40,
1,2,11,36,23.00,21.30,
1,2,12,37,25.00,23.20,
1,2,13,38,28.00,25.70,
1,2,14,39,28.90,25.90,
1,2,15,40,28.90,26.60,
1,2,16,41,28.90,27.00,
1,2,17,42,28.90,27.00,
1,2,18,43,32.00,29.10,
1,2,19,44,34.00,30.70,
1,2,20,45,35.10,31.60,
1,2,21,46,36.00,32.50,
1,2,22,47,39.00,34.20,
1,2,23,48,37.90,34.00,
1,3,0,49,28.90,28.50,
1,3,1,50,30.90,30.50,
1,3,2,51,33.10,31.70,
1,3,3,52,30.00,29.50,
1,3,4,53,19.90,19.20,
1,3,5,54,21.00,20.30,
1,3,6,55,21.00,20.60,
1,3,7,56,24.10,23.70,
1,3,8,57,19.90,19.20,
