MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,-6.00,-7.10,
1,1,1,2,10.00,8.60,
1,1,2,3,10.90,9.40,
1,1,3,4,12.00,10.50,
1,1,4,5,12.00,10.50,
1,1,5,6,12.90,11.40,
1,1,6,7,12.90,11.40,
1,1,7,8,12.90,11.50,
1,1,8,9,14.00,12.60,
1,1,9,10,16.00,14.00,
1,1,10,11,19.90,16.90,
1,1,11,12,23.00,19.90,
1,1,12,13,26.10,22.70,
1,1,13,14,28.00,24.40,
1,1,14,15,30.00,25.90,
1,1,15,16,30.00,26.20,
1,1,16,17,30.00,26.80,
1,1,17,18,30.00,26.80,
1,1,18,19,28.90,26.10,
1,1,19,20,28.00,25.50,
1,1,20,21,30.00,27.00,
1,1,21,22,28.90,26.70,
1,1,22,23,30.00,27.40,
1,1,23,24,28.90,26.70,
1,2,0,25,28.90,26.10,
1,2,1,26,25.00,23.60,
1,2,2,27,27.00,24.90,
1,2,3,28,26.10,24.00,
1,2,4,29,27.00,24.90,
1,2,5,30,30.00,27.10,
1,2,6,31,30.00,27.10,
1,2,7,32,30.90,27.60,
1,2,8,33,30.90,27.60,
1,2,9,34,32.00,28.60,
1,2,10,35,33.10,29.20,
1,2,11,36,35.10,30.40,
1,2,12,37,35.10,30.80,
1,2,13,38,35.10,31.10,
1,2,14,39,32.00,31.20,
1,2,15,40,30.90,30.60,
1,2,16,41,33.10,31.80,
1,2,17,42,33.10,32.20,
1,2,18,43,30.90,31.00,
1,2,19,44,33.10,32.30,
1,2,20,45,34.00,32.80,
1,2,21,46,35.10,33.90,
1,2,22,47,36.00,34.90,
1,2,23,48,32.00,31.70,
1,3,0,49,32.00,31.70,
1,3,1,50,32.00,31.70,
1,3,2,51,32.00,31.60,
1,3,3,52,33.10,32.20,
1,3,4,53,32.00,30.80,
1,3,5,54,30.00,28.50,
1,3,6,55,28.00,26.50,
1,3,7,56,26.10,24.60,
1,3,8,57,26.10,24.60,
1,3,9,58,24.10,23.00,
1,3,10,59,24.10,23.00,
1,3,11,60,25.00,23.60,
1,3,12,61,26.10,24.60,
1,3,13,62,27.00,25.20,
1,3,14,63,27.00,25.20,
1,3,15,64,27.00,25.20,
1,3,16,65,27.00,25.20,
1,3,17,66,27.00,25.50,
1,3,18,67,27.00,25.10,
1,3,19,68,27.00,25.10,
1,3,20,69,27.00,25.50,
1,3,21,70,27.00,25.90,
1,3,22,71,27.00,25.90,
1,3,23,72,27.00,25.90,
1,4,0,73,27.00,25.50,
1,4,1,74,27.00,25.50,
1,4,2,75,27.00,25.50,
1,4,3,76,27.00,25.50,
1,4,4,77,26.10,25.00,
1,4,5,78,26.10,25.00,
1,4,6,79,26.10,25.00,
1,4,7,80,27.00,26.30,
1,4,8,81,27.00,26.30,
1,4,9,82,28.00,26.90,
1,4,10,83,28.90,27.40,
1,4,11,84,28.90,27.90,
1,4,12,85,30.00,28.90,
1,4,13,86,30.90,29.40,
1,4,14,87,30.90,29.40,
1,4,15,88,30.00,29.30,
1,4,16,89,30.00,28.90,
1,4,17,90,27.00,25.60,
1,4,18,91,25.00,23.70,
1,4,19,92,23.00,21.80,
1,4,20,93,23.00,21.70,
1,4,21,94,24.10,22.70,
1,4,22,95,23.00,22.00,
1,4,23,96,21.00,19.30,
1,5,0,97,19.00,17.30,
1,5,1,98,19.00,17.10,
1,5,2,99,19.90,18.20,
1,5,3,100,19.00,17.30,
1,5,4,101,16.00,14.70,
1,5,5,102,10.00,8.90,
1,5,6,103,6.10,5.20,
1,5,7,104,5.00,3.80,
1,5,8,105,7.00,6.40,
1,5,9,106,7.00,6.40,
1,5,10,107,10.90,9.40,
1,5,11,108,15.10,13.00,
1,5,12,109,18.00,15.50,
1,5,13,110,19.90,17.30,
1,5,14,111,21.90,18.90,
1,5,15,112,25.00,21.40,
1,5,16,113,26.10,22.20,
1,5,17,114,24.10,21.10,
1,5,18,115,23.00,20.40,
1,5,19,116,21.90,19.30,
1,5,20,117,19.90,17.70,
1,5,21,118,18.00,16.40,
1,5,22,119,16.00,14.30,
1,5,23,120,16.00,14.10,
1,6,0,121,14.00,12.40,
1,6,1,122,12.00,10.70,
1,6,2,123,12.00,10.50,
1,6,3,124,10.00,8.80,
1,6,4,125,7.00,5.90,
1,6,5,126,7.00,6.00,
1,6,6,127,6.10,5.00,
1,6,7,128,6.10,4.70,
1,6,8,129,5.00,2.80,
1,6,9,130,7.00,4.50,
1,6,10,131,8.10,5.60,
1,6,11,132,10.00,7.20,
1,6,12,133,12.00,9.00,
1,6,13,134,10.90,8.10,
1,6,14,135,12.00,9.00,
1,6,15,136,10.90,8.00,
1,6,16,137,10.00,7.40,
1,6,17,138,6.10,4.20,
1,6,18,139,3.90,2.20,
1,6,19,140,1.00,-0.40,
1,6,20,141,1.00,-0.60,
1,6,21,142,-2.00,-3.30,
1,6,22,143,-0.90,-2.30,
1,6,23,144,0.00,-1.70,
1,7,0,145,-2.00,-3.50,
1,7,1,146,-2.00,-3.50,
1,7,2,147,-2.90,-4.30,
1,7,3,148,-4.00,-5.30,
1,7,4,149,-5.10,-6.20,
1,7,5,150,-6.00,-7.00,
1,7,6,151,-8.00,-8.90,
1,7,7,152,-9.00,-9.80,
1,7,8,153,-7.10,-8.10,
1,7,9,154,-0.90,-2.40,
1,7,10,155,3.00,1.00,
1,7,11,156,6.10,3.60,
1,7,12,157,6.10,3.60,
1,7,13,158,8.10,5.30,
1,7,14,159,9.00,6.10,
1,7,15,160,8.10,5.30,
1,7,16,161,7.00,4.50,
1,7,17,162,3.00,1.00,
1,7,18,163,1.90,0.10,
1,7,19,164,-0.90,-2.40,
1,7,20,165,-0.90,-2.40,
1,7,21,166,-2.90,-4.20,
1,7,22,167,-4.00,-5.10,
1,7,23,168,-2.90,-4.20,
1,8,0,169,-4.00,-5.20,
1,8,1,170,-6.00,-6.90,
1,8,2,171,-6.00,-6.90,
1,8,3,172,-6.00,-6.90,
1,8,4,173,-6.00,-7.00,
1,8,5,174,-7.10,-8.00,
1,8,6,175,-7.10,-7.90,
1,8,7,176,-7.10,-8.00,
1,8,8,177,-6.00,-6.90,
1,8,9,178,1.00,-0.40,
1,8,10,179,6.10,3.90,
1,8,11,180,9.00,6.30,
1,8,12,181,10.00,7.10,
1,8,13,182,12.90,9.50,
1,8,14,183,14.00,10.40,
1,8,15,184,15.10,11.30,
1,8,16,185,15.10,11.60,
1,8,17,186,14.00,10.90,
1,8,18,187,14.00,11.10,
1,8,19,188,14.00,11.10,
1,8,20,189,15.10,12.00,
1,8,21,190,16.00,12.60,
1,8,22,191,16.00,12.60,
1,8,23,192,17.10,13.60,
1,9,0,193,16.00,12.60,
1,9,1,194,16.00,13.20,
1,9,2,195,16.00,13.10,
1,9,3,196,17.10,14.50,
1,9,4,197,17.10,14.50,
1,9,5,198,17.10,14.50,
1,9,6,199,17.10,14.50,
1,9,7,200,18.00,15.10,
1,9,8,201,18.00,15.10,
1,9,9,202,21.90,17.90,
1,9,10,203,25.00,20.40,
