MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,-2.00,-2.80,
1,1,1,2,33.10,31.50,
1,1,2,3,33.10,31.50,
1,1,3,4,33.10,31.30,
1,1,4,5,34.30,32.70,
1,1,5,6,35.80,34.10,
1,1,6,7,37.00,35.30,
1,1,7,8,37.00,35.20,
1,1,8,9,37.00,35.20,
1,1,9,10,37.00,35.30,
1,1,10,11,38.70,36.70,
1,1,11,12,40.50,38.40,
1,1,12,13,42.10,39.70,
1,1,13,14,41.70,39.00,
1,1,14,15,41.40,38.20,
1,1,15,16,41.00,37.50,
1,1,16,17,40.30,36.80,
1,1,17,18,39.70,36.30,
1,1,18,19,39.00,35.50,
1,1,19,20,35.10,32.50,
1,1,20,21,30.90,29.10,
1,1,21,22,27.00,25.50,
1,1,22,23,26.10,24.80,
1,1,23,24,25.00,23.80,
1,2,0,25,24.10,22.70,
1,2,1,26,23.40,22.30,
1,2,2,27,22.60,21.70,
1,2,3,28,21.90,21.00,
1,2,4,29,22.30,21.30,
1,2,5,30,22.60,21.60,
1,2,6,31,23.00,21.70,
1,2,7,32,24.30,23.20,
1,2,8,33,25.70,24.70,
1,2,9,34,27.00,25.90,
1,2,10,35,31.30,29.30,
1,2,11,36,35.60,32.50,
1,2,12,37,39.90,35.20,
1,2,13,38,41.90,36.90,
1,2,14,39,44.10,38.50,
1,2,15,40,46.00,39.80,
1,2,16,41,42.40,37.70,
1,2,17,42,38.70,35.30,
1,2,18,43,35.10,32.50,
1,2,19,44,34.30,32.10,
1,2,20,45,33.80,31.80,
1,2,21,46,33.10,31.00,
1,2,22,47,32.40,30.70,
1,2,23,48,31.60,29.90,
1,3,0,49,30.90,29.00,
1,3,1,50,30.90,29.40,
1,3,2,51,30.90,29.70,
1,3,3,52,30.90,29.80,
1,3,4,53,31.30,30.30,
1,3,5,54,31.60,30.60,
1,3,6,55,32.00,30.80,
1,3,7,56,31.60,30.70,
1,3,8,57,31.30,30.50,
1,3,9,58,30.90,30.10,
1,3,10,59,28.90,28.10,
1,3,11,60,27.00,26.00,
1,3,12,61,25.00,23.90,
1,3,13,62,22.30,21.30,
1,3,14,63,19.80,18.70,
1,3,15,64,17.10,15.90,
1,3,16,65,15.60,14.60,
1,3,17,66,14.40,13.30,
1,3,18,67,12.90,11.70,
1,3,19,68,12.60,11.40,
1,3,20,69,12.40,11.00,
1,3,21,70,12.00,10.40,
1,3,22,71,11.70,10.30,
1,3,23,72,11.30,9.90,
1,4,0,73,10.90,9.40,
1,4,1,74,10.20,8.90,
1,4,2,75,9.70,8.40,
1,4,3,76,9.00,7.60,
1,4,4,77,8.20,7.10,
1,4,5,78,7.70,6.70,
1,4,6,79,7.00,6.00,
1,4,7,80,6.60,5.70,
1,4,8,81,6.40,5.40,
1,4,9,82,6.10,4.90,
1,4,10,83,7.00,5.80,
1,4,11,84,8.10,6.60,
1,4,12,85,9.00,7.10,
1,4,13,86,9.70,7.80,
1,4,14,87,10.20,8.20,
1,4,15,88,10.90,8.60,
1,4,16,89,9.30,7.50,
1,4,17,90,7.70,6.10,
1,4,18,91,6.10,4.60,
1,4,19,92,4.50,3.40,
1,4,20,93,2.70,1.80,
1,4,21,94,1.00,0.20,
1,4,22,95,0.30,-0.40,
1,4,23,96,-0.20,-0.90,
1,5,0,97,-0.90,-1.60,
1,5,1,98,0.30,-0.40,
1,5,2,99,1.80,1.00,
1,5,3,100,3.00,2.00,
1,5,4,101,3.40,2.50,
1,5,5,102,3.60,2.80,
1,5,6,103,3.90,3.00,
1,5,7,104,5.40,4.60,
1,5,8,105,6.60,5.70,
1,5,9,106,8.10,7.10,
1,5,10,107,11.70,10.50,
1,5,11,108,15.40,14.00,
1,5,12,109,19.00,17.00,
1,5,13,110,21.00,19.00,
1,5,14,111,23.00,20.80,
1,5,15,112,25.00,22.10,
1,5,16,113,23.70,21.40,
1,5,17,114,22.30,20.20,
1,5,18,115,21.00,18.90,
1,5,19,116,19.90,18.30,
1,5,20,117,19.00,17.70,
1,5,21,118,18.00,16.80,
1,5,22,119,18.00,17.00,
1,5,23,120,18.00,17.10,
1,6,0,121,18.00,17.10,
1,6,1,122,16.30,15.60,
1,6,2,123,14.50,13.80,
1,6,3,124,12.90,12.20,
1,6,4,125,12.20,11.60,
1,6,5,126,11.70,11.10,
1,6,6,127,10.90,10.20,
1,6,7,128,13.30,12.60,
1,6,8,129,15.60,14.70,
1,6,9,130,18.00,16.80,
1,6,10,131,24.60,22.80,
1,6,11,132,31.30,28.60,
1,6,12,133,37.90,33.60,
1,6,13,134,40.30,35.40,
1,6,14,135,42.60,37.00,
1,6,15,136,45.00,38.30,
1,6,16,137,41.40,36.20,
1,6,17,138,37.60,33.60,
1,6,18,139,34.00,30.70,
1,6,19,140,31.60,29.40,
1,6,20,141,29.30,27.70,
1,6,21,142,27.00,25.90,
1,6,22,143,26.10,25.10,
1,6,23,144,25.00,24.20,
1,7,0,145,24.10,23.30,
1,7,1,146,24.40,23.70,
1,7,2,147,24.60,23.90,
1,7,3,148,25.00,24.20,
1,7,4,149,23.90,23.10,
1,7,5,150,23.00,22.10,
1,7,6,151,21.90,20.90,
1,7,7,152,23.50,22.50,
1,7,8,153,25.30,24.30,
1,7,9,154,27.00,25.80,
1,7,10,155,31.30,29.40,
1,7,11,156,35.60,32.70,
1,7,12,157,39.90,35.90,
1,7,13,158,42.60,37.70,
1,7,14,159,45.30,39.20,
1,7,15,160,48.00,40.60,
1,7,16,161,44.10,38.60,
1,7,17,162,39.90,36.10,
1,7,18,163,36.00,33.40,
1,7,19,164,36.00,33.30,
1,7,20,165,36.00,33.00,
1,7,21,166,36.00,32.50,
1,7,22,167,36.00,32.90,
1,7,23,168,36.00,33.00,
1,8,0,169,36.00,32.90,
1,8,1,170,35.20,32.70,
1,8,2,171,34.70,32.40,
1,8,3,172,34.00,31.80,
1,8,4,173,35.10,32.80,
1,8,5,174,36.00,33.40,
1,8,6,175,37.00,34.00,
