MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,37.90,34.10,
1,1,1,2,37.00,34.90,
1,1,2,3,36.00,33.80,
1,1,3,4,36.00,33.40,
1,1,4,5,34.00,31.80,
1,1,5,6,32.00,30.30,
1,1,6,7,33.10,31.00,
1,1,7,8,34.00,31.40,
1,1,8,9,34.00,31.10,
1,1,9,10,33.10,30.90,
1,1,10,11,34.00,31.00,
1,1,11,12,34.00,31.40,
1,1,12,13,35.10,32.90,
1,1,13,14,35.10,32.90,
1,1,14,15,36.00,33.40,
1,1,15,16,37.00,34.30,
1,1,16,17,37.00,34.30,
1,1,17,18,37.00,34.30,
1,1,18,19,37.00,34.30,
1,1,19,20,37.00,34.30,
1,1,20,21,37.00,34.30,
1,1,21,22,37.00,34.80,
1,1,22,23,37.00,34.80,
1,1,23,24,37.00,34.80,
1,2,0,25,37.00,34.80,
1,2,1,26,37.00,35.30,
1,2,2,27,37.00,35.30,
1,2,3,28,37.00,35.60,
1,2,4,29,37.90,36.10,
1,2,5,30,37.00,35.60,
1,2,6,31,37.00,35.60,
1,2,7,32,37.00,35.60,
1,2,8,33,37.00,36.10,
1,2,9,34,37.00,36.10,
1,2,10,35,39.00,38.10,
1,2,11,36,39.90,38.90,
1,2,12,37,41.00,40.40,
1,2,13,38,42.10,41.50,
1,2,14,39,44.10,43.10,
1,2,15,40,45.00,43.90,
1,2,16,41,45.00,44.00,
1,2,17,42,45.00,44.50,
1,2,18,43,45.00,44.50,
1,2,19,44,45.00,44.50,
1,2,20,45,45.00,44.00,
1,2,21,46,44.10,42.60,
1,2,22,47,43.00,41.10,
1,2,23,48,39.00,38.10,
1,3,0,49,37.00,36.10,
1,3,1,50,36.00,34.70,
1,3,2,51,35.10,34.20,
1,3,3,52,34.00,32.70,
1,3,4,53,33.10,31.80,
1,3,5,54,33.10,31.80,
1,3,6,55,34.00,32.30,
1,3,7,56,34.00,32.30,
1,3,8,57,33.10,31.00,
1,3,9,58,32.00,29.20,
