MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,57.90,56.70,
1,1,1,2,39.00,33.90,
1,1,2,3,37.90,33.00,
1,1,3,4,37.90,32.00,
1,1,4,5,36.00,30.90,
1,1,5,6,35.10,30.00,
1,1,6,7,33.10,28.80,
1,1,7,8,33.10,28.60,
1,1,8,9,35.10,29.80,
1,1,9,10,37.90,31.10,
1,1,10,11,39.90,32.80,
1,1,11,12,41.00,33.50,
1,1,12,13,42.10,34.10,
1,1,13,14,45.00,35.80,
1,1,14,15,45.00,35.50,
1,1,15,16,46.00,36.40,
1,1,16,17,46.00,37.20,
1,1,17,18,43.00,35.60,
1,1,18,19,43.00,36.20,
1,1,19,20,46.00,37.00,
1,1,20,21,44.10,35.90,
1,1,21,22,45.00,36.40,
1,1,22,23,45.00,36.70,
1,1,23,24,45.00,36.70,
1,2,0,25,45.00,36.70,
1,2,1,26,45.00,36.70,
1,2,2,27,44.10,36.20,
1,2,3,28,43.00,35.90,
1,2,4,29,43.00,35.60,
1,2,5,30,42.10,34.40,
1,2,6,31,43.00,35.00,
1,2,7,32,43.00,37.70,
1,2,8,33,45.00,39.60,
1,2,9,34,46.90,40.60,
1,2,10,35,48.00,41.50,
1,2,11,36,50.00,43.20,
1,2,12,37,52.00,45.00,
1,2,13,38,52.00,46.30,
1,2,14,39,51.10,45.40,
1,2,15,40,48.90,43.50,
1,2,16,41,48.00,43.10,
1,2,17,42,48.00,43.50,
1,2,18,43,46.90,43.40,
1,2,19,44,46.90,43.00,
1,2,20,45,46.90,43.00,
1,2,21,46,46.00,42.10,
1,2,22,47,46.00,42.90,
1,2,23,48,46.90,43.40,
1,3,0,49,46.90,43.90,
1,3,1,50,48.00,44.90,
1,3,2,51,48.90,45.80,
1,3,3,52,50.00,47.30,
1,3,4,53,50.00,47.80,
1,3,5,54,50.00,47.80,
1,3,6,55,50.00,48.30,
1,3,7,56,51.10,48.80,
1,3,8,57,51.10,49.30,
1,3,9,58,53.10,51.30,
1,3,10,59,54.00,52.30,
1,3,11,60,55.90,54.10,
1,3,12,61,57.00,55.10,
1,3,13,62,57.00,55.10,
1,3,14,63,57.90,56.10,
1,3,15,64,59.00,56.60,
1,3,16,65,57.90,55.50,
1,3,17,66,57.00,55.20,
1,3,18,67,55.90,54.20,
1,3,19,68,55.90,54.70,
1,3,20,69,51.10,49.80,
1,3,21,70,48.90,47.80,
1,3,22,71,48.00,46.90,
1,3,23,72,46.90,44.80,
1,4,0,73,46.90,44.80,
1,4,1,74,46.00,43.50,
1,4,2,75,45.00,43.00,
1,4,3,76,43.00,41.50,
1,4,4,77,42.10,39.70,
1,4,5,78,41.00,38.70,
1,4,6,79,39.90,36.90,
1,4,7,80,37.90,34.90,
1,4,8,81,36.00,32.20,
1,4,9,82,37.00,32.80,
1,4,10,83,37.90,32.30,
1,4,11,84,37.90,31.70,
1,4,12,85,37.90,30.90,
1,4,13,86,41.00,33.00,
1,4,14,87,39.90,31.80,
1,4,15,88,42.10,33.40,
1,4,16,89,39.90,31.80,
1,4,17,90,39.00,31.30,
1,4,18,91,37.00,29.90,
1,4,19,92,37.00,29.90,
1,4,20,93,36.00,29.50,
1,4,21,94,35.10,28.80,
1,4,22,95,33.10,27.60,
1,4,23,96,33.10,27.60,
1,5,0,97,32.00,26.70,
1,5,1,98,30.90,26.00,
1,5,2,99,30.00,25.40,
1,5,3,100,28.90,25.00,
1,5,4,101,28.00,24.40,
1,5,5,102,28.00,24.40,
1,5,6,103,27.00,23.50,
1,5,7,104,27.00,23.70,
1,5,8,105,28.00,24.40,
1,5,9,106,32.00,27.10,
1,5,10,107,35.10,29.30,
1,5,11,108,37.00,30.40,
1,5,12,109,39.90,32.30,
1,5,13,110,44.10,34.80,
1,5,14,111,44.10,36.00,
1,5,15,112,44.10,35.30,
1,5,16,113,45.00,36.10,
1,5,17,114,41.00,34.80,
1,5,18,115,37.90,33.00,
1,5,19,116,34.00,30.40,
1,5,20,117,28.90,26.70,
1,5,21,118,32.00,29.20,
