MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,35.10,31.10,
1,1,1,2,28.90,23.20,
1,1,2,3,28.90,23.50,
1,1,3,4,28.00,23.00,
1,1,4,5,28.00,23.30,
1,1,5,6,27.00,22.60,
1,1,6,7,27.00,22.80,
1,1,7,8,26.10,22.20,
1,1,8,9,28.00,23.70,
1,1,9,10,30.90,26.00,
1,1,10,11,33.10,27.40,
1,1,11,12,34.00,28.40,
1,1,12,13,37.00,30.20,
1,1,13,14,36.00,29.90,
1,1,14,15,37.00,30.70,
1,1,15,16,37.00,30.70,
1,1,16,17,35.10,30.20,
1,1,17,18,33.10,28.70,
1,1,18,19,34.00,29.50,
1,1,19,20,33.10,29.30,
1,1,20,21,33.10,29.30,
1,1,21,22,32.00,29.00,
1,1,22,23,32.00,28.60,
1,1,23,24,33.10,29.30,
1,2,0,25,30.90,27.40,
1,2,1,26,28.90,25.80,
1,2,2,27,28.00,25.00,
1,2,3,28,28.00,25.00,
1,2,4,29,28.00,25.00,
1,2,5,30,27.00,24.40,
1,2,6,31,26.10,23.80,
1,2,7,32,26.10,22.90,
1,2,8,33,27.00,24.90,
1,2,9,34,28.90,26.40,
1,2,10,35,33.10,29.30,
1,2,11,36,36.00,31.60,
1,2,12,37,35.10,31.10,
1,2,13,38,37.00,31.60,
1,2,14,39,36.00,30.70,
1,2,15,40,36.00,31.00,
1,2,16,41,36.00,30.70,
1,2,17,42,33.10,29.00,
1,2,18,43,34.00,29.50,
1,2,19,44,34.00,29.50,
1,2,20,45,34.00,29.50,
1,2,21,46,34.00,29.00,
1,2,22,47,32.00,27.70,
1,2,23,48,32.00,27.50,
1,3,0,49,30.00,25.90,
1,3,1,50,28.90,25.00,
1,3,2,51,27.00,23.10,
1,3,3,52,26.10,22.20,
1,3,4,53,25.00,21.30,
1,3,5,54,25.00,21.00,
1,3,6,55,24.10,20.20,
1,3,7,56,23.00,19.50,
1,3,8,57,25.00,20.80,
1,3,9,58,26.10,21.70,
1,3,10,59,27.00,22.20,
1,3,11,60,28.00,22.80,
1,3,12,61,28.90,23.40,
1,3,13,62,30.00,23.90,
1,3,14,63,32.00,25.10,
1,3,15,64,32.00,25.10,
1,3,16,65,30.00,23.60,
