MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,37.00,35.40,
1,1,1,2,21.00,18.70,
1,1,2,3,19.90,17.90,
1,1,3,4,19.00,17.60,
1,1,4,5,19.00,17.30,
1,1,5,6,16.00,14.70,
1,1,6,7,10.90,10.30,
1,1,7,8,14.00,13.00,
1,1,8,9,15.10,13.80,
1,1,9,10,16.00,14.70,
1,1,10,11,18.00,16.40,
1,1,11,12,19.90,17.90,
1,1,12,13,21.00,18.70,
1,1,13,14,19.90,17.50,
1,1,14,15,21.90,18.90,
1,1,15,16,21.00,18.00,
1,1,16,17,21.90,18.90,
1,1,17,18,21.00,18.00,
1,1,18,19,17.10,15.50,
1,1,19,20,17.10,15.30,
1,1,20,21,18.00,15.90,
1,1,21,22,19.00,16.90,
1,1,22,23,19.90,17.50,
1,1,23,24,21.00,18.70,
1,2,0,25,21.00,19.30,
1,2,1,26,25.00,22.70,
1,2,2,27,27.00,25.90,
1,2,3,28,28.90,26.70,
1,2,4,29,28.90,26.40,
1,2,5,30,30.00,27.00,
1,2,6,31,30.00,27.00,
1,2,7,32,30.00,27.40,
1,2,8,33,28.90,27.10,
1,2,9,34,30.00,27.40,
1,2,10,35,32.00,28.90,
1,2,11,36,33.10,29.60,
1,2,12,37,35.10,31.00,
1,2,13,38,36.00,31.30,
1,2,14,39,36.00,31.60,
1,2,15,40,35.10,31.40,
1,2,16,41,35.10,31.40,
1,2,17,42,36.00,31.30,
1,2,18,43,36.00,31.60,
1,2,19,44,36.00,31.60,
1,2,20,45,34.00,30.80,
1,2,21,46,34.00,31.10,
1,2,22,47,34.00,30.80,
1,2,23,48,36.00,33.90,
1,3,0,49,35.10,33.40,
1,3,1,50,34.00,31.90,
1,3,2,51,34.00,32.00,
1,3,3,52,35.10,33.40,
1,3,4,53,35.10,33.40,
1,3,5,54,34.00,33.30,
1,3,6,55,33.10,32.80,
1,3,7,56,33.10,31.40,
1,3,8,57,34.00,33.30,
1,3,9,58,34.00,33.20,
1,3,10,59,34.00,32.40,
1,3,11,60,33.10,31.80,
1,3,12,61,34.00,32.30,
1,3,13,62,30.90,29.40,
1,3,14,63,30.00,28.50,
1,3,15,64,28.90,27.10,
1,3,16,65,28.90,26.70,
1,3,17,66,28.00,25.80,
1,3,18,67,28.00,25.50,
1,3,19,68,27.00,24.90,
1,3,20,69,27.00,24.90,
1,3,21,70,27.00,24.50,
1,3,22,71,27.00,24.50,
1,3,23,72,26.10,24.00,
1,4,0,73,26.10,24.00,
1,4,1,74,25.00,23.30,
1,4,2,75,25.00,23.30,
1,4,3,76,25.00,23.30,
1,4,4,77,26.10,24.30,
1,4,5,78,26.10,24.60,
1,4,6,79,25.00,23.90,
1,4,7,80,25.00,23.90,
1,4,8,81,26.10,24.60,
1,4,9,82,27.00,25.90,
1,4,10,83,28.00,26.80,
1,4,11,84,30.00,28.10,
1,4,12,85,30.00,28.50,
1,4,13,86,30.90,29.00,
1,4,14,87,32.00,30.00,
1,4,15,88,32.00,29.70,
1,4,16,89,32.00,29.70,
1,4,17,90,32.00,30.40,
1,4,18,91,32.00,30.40,
1,4,19,92,32.00,30.40,
1,4,20,93,30.90,29.80,
1,4,21,94,30.90,30.20,
1,4,22,95,30.90,30.60,
1,4,23,96,32.00,30.80,
1,5,0,97,32.00,31.30,
1,5,1,98,30.90,30.70,
1,5,2,99,30.00,28.90,
1,5,3,100,28.00,26.60,
1,5,4,101,25.00,23.70,
1,5,5,102,23.00,21.50,
1,5,6,103,23.00,21.40,
1,5,7,104,23.00,21.40,
1,5,8,105,21.90,19.90,
1,5,9,106,19.90,18.20,
1,5,10,107,23.00,21.20,
1,5,11,108,24.10,22.10,
1,5,12,109,25.00,23.30,
1,5,13,110,26.10,23.20,
1,5,14,111,24.10,21.90,
1,5,15,112,19.90,18.00,
1,5,16,113,19.00,16.90,
1,5,17,114,19.00,16.70,
1,5,18,115,17.10,15.30,
1,5,19,116,18.00,16.20,
1,5,20,117,19.00,17.10,
1,5,21,118,19.90,18.20,
1,5,22,119,21.00,19.00,
1,5,23,120,23.00,20.60,
1,6,0,121,23.00,21.20,
1,6,1,122,24.10,23.10,
1,6,2,123,24.10,23.10,
1,6,3,124,24.10,22.20,
1,6,4,125,24.10,22.20,
1,6,5,126,21.00,19.30,
1,6,6,127,19.90,18.00,
1,6,7,128,19.00,16.70,
1,6,8,129,17.10,14.50,
1,6,9,130,15.10,13.00,
1,6,10,131,16.00,13.80,
1,6,11,132,17.10,14.50,
1,6,12,133,18.00,14.80,
1,6,13,134,19.00,15.70,
1,6,14,135,19.00,15.50,
1,6,15,136,19.00,15.30,
1,6,16,137,19.00,15.20,
1,6,17,138,17.10,13.80,
1,6,18,139,14.00,11.50,
1,6,19,140,12.90,10.50,
1,6,20,141,12.00,9.90,
1,6,21,142,10.00,8.20,
1,6,22,143,10.00,8.20,
1,6,23,144,12.00,9.90,
1,7,0,145,10.90,8.90,
1,7,1,146,9.00,7.50,
1,7,2,147,7.00,5.90,
1,7,3,148,6.10,5.10,
1,7,4,149,3.90,3.20,
1,7,5,150,3.00,2.40,
1,7,6,151,3.90,3.40,
1,7,7,152,3.00,2.30,
1,7,8,153,1.90,1.40,
1,7,9,154,3.00,2.40,
1,7,10,155,7.00,6.00,
1,7,11,156,10.90,9.40,
1,7,12,157,12.90,10.90,
1,7,13,158,15.10,12.90,
1,7,14,159,15.10,12.60,
1,7,15,160,15.10,12.10,
1,7,16,161,15.10,11.80,
1,7,17,162,12.90,10.00,
1,7,18,163,10.90,8.60,
1,7,19,164,10.00,7.90,
1,7,20,165,9.00,7.10,
1,7,21,166,7.00,5.40,
1,7,22,167,6.10,4.70,
1,7,23,168,5.00,3.90,
1,8,0,169,3.90,3.00,
1,8,1,170,3.90,3.00,
1,8,2,171,3.90,2.90,
1,8,3,172,1.90,1.20,
1,8,4,173,1.00,0.30,
1,8,5,174,0.00,-0.60,
1,8,6,175,1.00,0.30,
1,8,7,176,-2.00,-2.60,
1,8,8,177,-0.90,-1.60,
1,8,9,178,0.00,-0.60,
1,8,10,179,5.00,4.00,
1,8,11,180,12.90,10.70,
1,8,12,181,16.00,13.10,
1,8,13,182,18.00,14.90,
1,8,14,183,19.00,15.80,
1,8,15,184,19.00,15.80,
1,8,16,185,19.00,15.80,
1,8,17,186,18.00,15.20,
1,8,18,187,17.10,14.40,
1,8,19,188,14.00,12.10,
1,8,20,189,12.00,10.60,
1,8,21,190,12.00,10.40,
1,8,22,191,14.00,12.10,
1,8,23,192,14.00,12.50,
1,9,0,193,15.10,13.30,
1,9,1,194,16.00,14.00,
1,9,2,195,17.10,14.80,
1,9,3,196,18.00,15.50,
1,9,4,197,18.00,15.50,
1,9,5,198,17.10,14.80,
1,9,6,199,17.10,14.80,
1,9,7,200,17.10,14.80,
1,9,8,201,18.00,15.50,
1,9,9,202,19.00,16.00,
1,9,10,203,21.00,17.60,
1,9,11,204,24.10,19.80,
1,9,12,205,27.00,22.10,
1,9,13,206,28.00,23.40,
1,9,14,207,30.90,25.00,
1,9,15,208,33.10,26.60,
1,9,16,209,33.10,26.80,
1,9,17,210,34.00,27.40,
1,9,18,211,32.00,26.40,
1,9,19,212,33.10,27.10,
