MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,-20.90,-21.40,
1,1,1,2,-6.00,-6.80,
1,1,2,3,-7.10,-7.80,
1,1,3,4,-7.10,-7.70,
1,1,4,5,-8.00,-8.50,
1,1,5,6,-8.00,-8.70,
1,1,6,7,-9.00,-9.50,
1,1,7,8,-9.00,-9.50,
1,1,8,9,-8.00,-8.70,
1,1,9,10,-6.00,-6.70,
1,1,10,11,-4.00,-4.90,
1,1,11,12,-0.90,-2.10,
1,1,12,13,1.90,0.50,
1,1,13,14,5.00,3.20,
1,1,14,15,6.10,4.30,
1,1,15,16,7.00,5.10,
1,1,16,17,6.10,4.30,
1,1,17,18,3.90,2.60,
1,1,18,19,3.00,1.90,
1,1,19,20,1.90,0.80,
1,1,20,21,1.00,0.00,
1,1,21,22,0.00,-1.00,
1,1,22,23,-0.90,-1.80,
1,1,23,24,-4.00,-4.70,
1,2,0,25,-2.90,-3.60,
1,2,1,26,-4.00,-4.70,
1,2,2,27,-4.00,-4.70,
1,2,3,28,-4.00,-4.70,
1,2,4,29,-2.00,-2.80,
1,2,5,30,1.90,0.70,
1,2,6,31,3.00,1.70,
1,2,7,32,6.10,4.40,
1,2,8,33,5.00,3.70,
1,2,9,34,7.00,5.40,
1,2,10,35,9.00,7.30,
1,2,11,36,12.00,9.90,
1,2,12,37,15.10,12.80,
1,2,13,38,17.10,14.40,
1,2,14,39,19.00,16.20,
1,2,15,40,19.00,16.40,
1,2,16,41,18.00,15.70,
1,2,17,42,14.00,12.40,
1,2,18,43,10.90,9.60,
1,2,19,44,12.00,10.50,
1,2,20,45,9.00,8.00,
1,2,21,46,9.00,8.00,
1,2,22,47,9.00,8.00,
1,2,23,48,10.00,8.90,
1,3,0,49,9.00,8.20,
1,3,1,50,12.00,10.90,
1,3,2,51,14.00,12.40,
1,3,3,52,12.90,11.50,
1,3,4,53,10.90,9.80,
1,3,5,54,10.00,8.90,
1,3,6,55,12.00,10.70,
1,3,7,56,14.00,12.40,
1,3,8,57,12.90,11.50,
1,3,9,58,12.00,11.10,
1,3,10,59,17.10,14.80,
1,3,11,60,18.00,15.50,
1,3,12,61,19.00,16.00,
1,3,13,62,18.00,15.30,
1,3,14,63,17.10,14.50,
1,3,15,64,15.10,11.70,
1,3,16,65,12.90,10.20,
1,3,17,66,10.90,8.50,
1,3,18,67,8.10,5.90,
1,3,19,68,7.00,5.00,
1,3,20,69,6.10,4.70,
1,3,21,70,5.00,3.50,
1,3,22,71,1.90,1.00,
1,3,23,72,3.90,2.40,
1,4,0,73,3.00,1.40,
1,4,1,74,1.90,0.50,
1,4,2,75,0.00,-1.40,
1,4,3,76,-0.90,-2.20,
1,4,4,77,-2.90,-4.10,
1,4,5,78,-4.00,-5.30,
1,4,6,79,-6.00,-7.00,
1,4,7,80,-9.00,-9.90,
1,4,8,81,-9.90,-11.00,
1,4,9,82,-9.90,-10.90,
1,4,10,83,-11.00,-11.80,
1,4,11,84,-9.90,-10.90,
1,4,12,85,-9.90,-10.80,
1,4,13,86,-9.00,-10.10,
1,4,14,87,-8.00,-9.10,
1,4,15,88,-9.00,-10.00,
1,4,16,89,-9.00,-10.00,
1,4,17,90,-9.00,-9.90,
1,4,18,91,-9.90,-10.80,
1,4,19,92,-9.90,-10.80,
1,4,20,93,-11.00,-11.80,
1,4,21,94,-11.90,-12.70,
1,4,22,95,-11.90,-12.70,
1,4,23,96,-13.00,-13.80,
1,5,0,97,-13.00,-13.80,
1,5,1,98,-13.00,-13.80,
1,5,2,99,-13.00,-13.80,
1,5,3,100,-13.00,-13.80,
1,5,4,101,-13.00,-13.80,
1,5,5,102,-14.10,-14.80,
1,5,6,103,-14.10,-14.80,
1,5,7,104,-14.10,-14.60,
1,5,8,105,-14.10,-14.80,
1,5,9,106,-13.00,-13.60,
1,5,10,107,-13.00,-13.80,
1,5,11,108,-11.00,-12.00,
1,5,12,109,-9.00,-9.90,
1,5,13,110,-7.10,-8.10,
1,5,14,111,-6.00,-7.20,
1,5,15,112,-6.00,-7.20,
1,5,16,113,-6.00,-7.20,
1,5,17,114,-7.10,-8.10,
1,5,18,115,-9.00,-9.80,
1,5,19,116,-9.90,-10.70,
1,5,20,117,-9.90,-10.70,
1,5,21,118,-11.90,-12.50,
1,5,22,119,-11.90,-12.40,
1,5,23,120,-13.00,-13.40,
1,6,0,121,-13.00,-13.40,
1,6,1,122,-13.00,-13.60,
1,6,2,123,-13.00,-13.60,
1,6,3,124,-14.10,-14.60,
1,6,4,125,-17.00,-17.40,
1,6,5,126,-18.00,-18.40,
1,6,6,127,-18.00,-18.40,
1,6,7,128,-18.00,-18.40,
1,6,8,129,-16.10,-16.50,
1,6,9,130,-14.10,-14.60,
1,6,10,131,-11.90,-12.40,
1,6,11,132,-8.00,-8.90,
1,6,12,133,-5.10,-6.30,
1,6,13,134,-4.00,-5.30,
1,6,14,135,-0.90,-2.60,
1,6,15,136,-2.00,-3.60,
1,6,16,137,-2.90,-4.30,
1,6,17,138,-5.10,-6.30,
