MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,37.00,37.00,
1,1,1,2,34.30,33.50,
1,1,2,3,33.80,33.30,
1,1,3,4,33.10,32.60,
1,1,4,5,31.60,31.30,
1,1,5,6,30.40,30.30,
1,1,6,7,28.90,28.90,
1,1,7,8,29.70,29.70,
1,1,8,9,30.20,30.20,
1,1,9,10,30.90,30.90,
1,1,10,11,35.60,34.40,
1,1,11,12,40.30,37.90,
1,1,12,13,45.00,40.80,
1,1,13,14,47.30,42.10,
1,1,14,15,49.60,43.10,
1,1,15,16,52.00,44.00,
1,1,16,17,48.40,42.20,
1,1,17,18,44.60,39.80,
1,1,18,19,41.00,37.50,
1,1,19,20,39.90,36.70,
1,1,20,21,39.00,36.10,
1,1,21,22,37.90,35.40,
1,1,22,23,37.20,35.00,
1,1,23,24,36.70,34.70,
1,2,0,25,36.00,34.30,
1,2,1,26,35.10,33.60,
1,2,2,27,34.00,32.90,
1,2,3,28,33.10,32.10,
1,2,4,29,32.70,31.70,
1,2,5,30,32.40,31.30,
1,2,6,31,32.00,30.70,
1,2,7,32,32.70,31.10,
1,2,8,33,33.30,31.10,
1,2,9,34,34.00,31.00,
1,2,10,35,37.40,33.30,
1,2,11,36,40.60,34.70,
1,2,12,37,44.10,35.90,
1,2,13,38,44.10,36.30,
1,2,14,39,44.10,36.30,
1,2,15,40,44.10,36.20,
1,2,16,41,43.00,35.80,
1,2,17,42,42.10,35.40,
1,2,18,43,41.00,34.40,
1,2,19,44,40.60,34.80,
1,2,20,45,40.30,34.90,
1,2,21,46,39.90,34.90,
1,2,22,47,39.00,34.70,
1,2,23,48,37.90,34.20,
1,3,0,49,37.00,33.60,
1,3,1,50,37.00,34.30,
1,3,2,51,37.00,34.80,
1,3,3,52,37.00,35.30,
1,3,4,53,37.80,36.20,
1,3,5,54,38.30,36.90,
1,3,6,55,39.00,37.70,
1,3,7,56,40.10,38.70,
1,3,8,57,41.00,39.40,
1,3,9,58,42.10,40.20,
1,3,10,59,42.40,41.00,
1,3,11,60,42.60,41.60,
1,3,12,61,43.00,42.20,
1,3,13,62,43.00,42.50,
1,3,14,63,43.00,42.90,
1,3,15,64,43.00,43.10,
1,3,16,65,43.00,43.20,
1,3,17,66,43.00,43.20,
1,3,18,67,43.00,43.20,
1,3,19,68,45.00,45.20,
1,3,20,69,46.90,47.10,
1,3,21,70,48.90,49.10,
1,3,22,71,48.00,47.90,
1,3,23,72,46.90,46.50,
1,4,0,73,46.00,45.20,
1,4,1,74,41.40,40.50,
1,4,2,75,36.70,35.60,
1,4,3,76,32.00,30.80,
1,4,4,77,30.40,29.10,
1,4,5,78,28.60,27.10,
1,4,6,79,27.00,24.90,
1,4,7,80,25.70,24.00,
1,4,8,81,24.30,22.70,
1,4,9,82,23.00,21.40,
1,4,10,83,23.00,21.50,
1,4,11,84,23.00,21.40,
1,4,12,85,23.00,21.10,
1,4,13,86,23.40,21.60,
1,4,14,87,23.70,21.70,
