,MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,DATETIME,DOW
0,1,1,0,1,37.0,31.2,2020-01-01 00:00:00,2
1,1,1,1,2,13.6,12.7,2020-01-01 01:00:00,2
2,1,1,2,3,10.9,10.0,2020-01-01 02:00:00,2
3,1,1,3,4,8.2,7.5,2020-01-01 03:00:00,2
4,1,1,4,5,5.7,5.1,2020-01-01 04:00:00,2
5,1,1,5,6,3.0,2.4,2020-01-01 05:00:00,2
6,1,1,6,7,1.0,0.4,2020-01-01 06:00:00,2
7,1,1,7,8,-0.9,-1.5,2020-01-01 07:00:00,2
8,1,1,8,9,-2.9,-3.6,2020-01-01 08:00:00,2
9,1,1,9,10,-4.0,-4.6,2020-01-01 09:00:00,2
10,1,1,10,11,-4.9,-5.5,2020-01-01 10:00:00,2
11,1,1,11,12,-6.0,-6.6,2020-01-01 11:00:00,2
12,1,1,12,13,-5.6,-6.3,2020-01-01 12:00:00,2
13,1,1,13,14,-5.4,-6.3,2020-01-01 13:00:00,2
14,1,1,14,15,-5.1,-6.2,2020-01-01 14:00:00,2
15,1,1,15,16,-5.4,-6.3,2020-01-01 15:00:00,2
16,1,1,16,17,-5.6,-6.3,2020-01-01 16:00:00,2
17,1,1,17,18,-6.0,-6.6,2020-01-01 17:00:00,2
18,1,1,18,19,-6.3,-6.9,2020-01-01 18:00:00,2
19,1,1,19,20,-6.7,-7.3,2020-01-01 19:00:00,2
20,1,1,20,21,-7.1,-7.7,2020-01-01 20:00:00,2
21,1,1,21,22,-9.4,-9.9,2020-01-01 21:00:00,2
22,1,1,22,23,-11.7,-12.2,2020-01-01 22:00:00,2
23,1,1,23,24,-14.1,-14.5,2020-01-01 23:00:00,2
24,1,2,0,25,-15.0,-15.4,2020-01-02 00:00:00,3
25,1,2,1,26,-16.1,-16.6,2020-01-02 01:00:00,3
26,1,2,2,27,-17.0,-17.6,2020-01-02 02:00:00,3
27,1,2,3,28,-16.6,-17.1,2020-01-02 03:00:00,3
28,1,2,4,29,-16.4,-16.9,2020-01-02 04:00:00,3
29,1,2,5,30,-16.1,-16.8,2020-01-02 05:00:00,3
30,1,2,6,31,-15.7,-16.3,2020-01-02 06:00:00,3
31,1,2,7,32,-15.3,-15.9,2020-01-02 07:00:00,3
32,1,2,8,33,-15.0,-15.7,2020-01-02 08:00:00,3
33,1,2,9,34,-12.3,-13.0,2020-01-02 09:00:00,3
34,1,2,10,35,-9.8,-10.6,2020-01-02 10:00:00,3
35,1,2,11,36,-7.1,-8.1,2020-01-02 11:00:00,3
36,1,2,12,37,-4.0,-5.1,2020-01-02 12:00:00,3
37,1,2,13,38,-1.1,-2.4,2020-01-02 13:00:00,3
38,1,2,14,39,1.9,0.3,2020-01-02 14:00:00,3
39,1,2,15,40,2.7,1.1,2020-01-02 15:00:00,3
40,1,2,16,41,3.2,1.6,2020-01-02 16:00:00,3
41,1,2,17,42,3.9,2.0,2020-01-02 17:00:00,3
42,1,2,18,43,5.0,3.3,2020-01-02 18:00:00,3
43,1,2,19,44,5.9,4.2,2020-01-02 19:00:00,3
44,1,2,20,45,7.0,5.2,2020-01-02 20:00:00,3
45,1,2,21,46,7.3,5.6,2020-01-02 21:00:00,3
46,1,2,22,47,7.7,5.9,2020-01-02 22:00:00,3
47,1,2,23,48,8.1,6.0,2020-01-02 23:00:00,3
48,1,3,0,49,8.8,6.9,2020-01-03 00:00:00,4
49,1,3,1,50,9.3,7.5,2020-01-03 01:00:00,4
50,1,3,2,51,10.0,7.9,2020-01-03 02:00:00,4
51,1,3,3,52,10.4,8.6,2020-01-03 03:00:00,4
52,1,3,4,53,10.6,8.8,2020-01-03 04:00:00,4
53,1,3,5,54,10.9,9.0,2020-01-03 05:00:00,4
54,1,3,6,55,11.7,9.9,2020-01-03 06:00:00,4
55,1,3,7,56,12.2,10.4,2020-01-03 07:00:00,4
56,1,3,8,57,12.9,10.8,2020-01-03 08:00:00,4
57,1,3,9,58,12.6,10.6,2020-01-03 09:00:00,4
58,1,3,10,59,12.4,10.3,2020-01-03 10:00:00,4
59,1,3,11,60,12.0,9.6,2020-01-03 11:00:00,4
60,1,3,12,61,11.7,9.5,2020-01-03 12:00:00,4
61,1,3,13,62,11.3,9.2,2020-01-03 13:00:00,4
62,1,3,14,63,10.9,8.6,2020-01-03 14:00:00,4
63,1,3,15,64,10.6,8.5,2020-01-03 15:00:00,4
64,1,3,16,65,10.4,8.3,2020-01-03 16:00:00,4
65,1,3,17,66,10.0,7.8,2020-01-03 17:00:00,4
66,1,3,18,67,8.1,6.3,2020-01-03 18:00:00,4
67,1,3,19,68,5.9,4.3,2020-01-03 19:00:00,4
68,1,3,20,69,3.9,2.4,2020-01-03 20:00:00,4
69,1,3,21,70,7.9,6.4,2020-01-03 21:00:00,4
70,1,3,22,71,12.0,10.4,2020-01-03 22:00:00,4
71,1,3,23,72,16.0,14.1,2020-01-03 23:00:00,4
72,1,4,0,73,19.0,17.2,2020-01-04 00:00:00,5
73,1,4,1,74,21.9,20.1,2020-01-04 01:00:00,5
74,1,4,2,75,25.0,22.9,2020-01-04 02:00:00,5
75,1,4,3,76,26.6,24.5,2020-01-04 03:00:00,5
76,1,4,4,77,28.4,26.2,2020-01-04 04:00:00,5
77,1,4,5,78,30.0,27.2,2020-01-04 05:00:00,5
78,1,4,6,79,30.4,27.9,2020-01-04 06:00:00,5
79,1,4,7,80,30.6,28.1,2020-01-04 07:00:00,5
80,1,4,8,81,30.9,28.2,2020-01-04 08:00:00,5
81,1,4,9,82,31.3,28.8,2020-01-04 09:00:00,5
82,1,4,10,83,31.6,29.1,2020-01-04 10:00:00,5
83,1,4,11,84,32.0,29.1,2020-01-04 11:00:00,5
84,1,4,12,85,33.3,30.3,2020-01-04 12:00:00,5
85,1,4,13,86,34.7,31.2,2020-01-04 13:00:00,5
86,1,4,14,87,36.0,31.7,2020-01-04 14:00:00,5
87,1,4,15,88,36.3,32.1,2020-01-04 15:00:00,5
88,1,4,16,89,36.7,32.5,2020-01-04 16:00:00,5
89,1,4,17,90,37.0,32.3,2020-01-04 17:00:00,5
90,1,4,18,91,32.7,29.5,2020-01-04 18:00:00,5
91,1,4,19,92,28.4,26.2,2020-01-04 19:00:00,5
92,1,4,20,93,24.1,22.3,2020-01-04 20:00:00,5
93,1,4,21,94,18.1,16.9,2020-01-04 21:00:00,5
94,1,4,22,95,12.0,11.0,2020-01-04 22:00:00,5
95,1,4,23,96,6.1,5.2,2020-01-04 23:00:00,5
96,1,5,0,97,2.7,1.9,2020-01-05 00:00:00,6
97,1,5,1,98,-0.6,-1.3,2020-01-05 01:00:00,6
98,1,5,2,99,-4.0,-4.8,2020-01-05 02:00:00,6
99,1,5,3,100,-5.1,-5.8,2020-01-05 03:00:00,6
100,1,5,4,101,-6.0,-6.7,2020-01-05 04:00:00,6
101,1,5,5,102,-7.1,-7.8,2020-01-05 05:00:00,6
102,1,5,6,103,-7.4,-8.0,2020-01-05 06:00:00,6
103,1,5,7,104,-7.6,-8.2,2020-01-05 07:00:00,6
104,1,5,8,105,-8.0,-8.7,2020-01-05 08:00:00,6
105,1,5,9,106,-7.2,-7.9,2020-01-05 09:00:00,6
106,1,5,10,107,-6.7,-7.5,2020-01-05 10:00:00,6
107,1,5,11,108,-6.0,-6.9,2020-01-05 11:00:00,6
108,1,5,12,109,-6.0,-6.9,2020-01-05 12:00:00,6
109,1,5,13,110,-6.0,-6.9,2020-01-05 13:00:00,6
110,1,5,14,111,-6.0,-7.0,2020-01-05 14:00:00,6
111,1,5,15,112,-6.0,-6.9,2020-01-05 15:00:00,6
112,1,5,16,113,-6.0,-6.9,2020-01-05 16:00:00,6
113,1,5,17,114,-6.0,-7.0,2020-01-05 17:00:00,6
114,1,5,18,115,-9.4,-10.2,2020-01-05 18:00:00,6
115,1,5,19,116,-12.6,-13.3,2020-01-05 19:00:00,6
116,1,5,20,117,-16.1,-16.7,2020-01-05 20:00:00,6
117,1,5,21,118,-16.1,-16.6,2020-01-05 21:00:00,6
118,1,5,22,119,-16.1,-16.6,2020-01-05 22:00:00,6
119,1,5,23,120,-16.1,-16.6,2020-01-05 23:00:00,6
120,1,6,0,121,-15.0,-15.5,2020-01-06 00:00:00,0
121,1,6,1,122,-14.1,-14.6,2020-01-06 01:00:00,0
122,1,6,2,123,-13.0,-13.6,2020-01-06 02:00:00,0
123,1,6,3,124,-13.0,-13.6,2020-01-06 03:00:00,0
124,1,6,4,125,-13.0,-13.7,2020-01-06 04:00:00,0
125,1,6,5,126,-13.0,-13.8,2020-01-06 05:00:00,0
126,1,6,6,127,-12.6,-13.4,2020-01-06 06:00:00,0
127,1,6,7,128,-12.3,-13.1,2020-01-06 07:00:00,0
128,1,6,8,129,-11.9,-12.7,2020-01-06 08:00:00,0
129,1,6,9,130,-10.7,-11.5,2020-01-06 09:00:00,0
130,1,6,10,131,-9.2,-10.1,2020-01-06 10:00:00,0
131,1,6,11,132,-8.0,-9.0,2020-01-06 11:00:00,0
132,1,6,12,133,-7.2,-8.1,2020-01-06 12:00:00,0
133,1,6,13,134,-6.7,-7.7,2020-01-06 13:00:00,0
134,1,6,14,135,-6.0,-7.0,2020-01-06 14:00:00,0
135,1,6,15,136,-6.3,-7.3,2020-01-06 15:00:00,0
136,1,6,16,137,-6.7,-7.6,2020-01-06 16:00:00,0
137,1,6,17,138,-7.1,-8.1,2020-01-06 17:00:00,0
138,1,6,18,139,-4.7,-5.7,2020-01-06 18:00:00,0
139,1,6,19,140,-2.4,-3.5,2020-01-06 19:00:00,0
140,1,6,20,141,0.0,-1.3,2020-01-06 20:00:00,0
141,1,6,21,142,0.7,-0.5,2020-01-06 21:00:00,0
142,1,6,22,143,1.2,0.1,2020-01-06 22:00:00,0
143,1,6,23,144,1.9,0.7,2020-01-06 23:00:00,0
144,1,7,0,145,0.7,-0.3,2020-01-07 00:00:00,1
145,1,7,1,146,-0.8,-1.8,2020-01-07 01:00:00,1
146,1,7,2,147,-2.0,-3.1,2020-01-07 02:00:00,1
147,1,7,3,148,-0.4,-1.5,2020-01-07 03:00:00,1
148,1,7,4,149,1.4,0.2,2020-01-07 04:00:00,1
149,1,7,5,150,3.0,1.5,2020-01-07 05:00:00,1
150,1,7,6,151,8.6,6.8,2020-01-07 06:00:00,1
151,1,7,7,152,14.4,12.0,2020-01-07 07:00:00,1
152,1,7,8,153,19.9,16.4,2020-01-07 08:00:00,1
153,1,7,9,154,21.6,18.2,2020-01-07 09:00:00,1
154,1,7,10,155,23.4,19.8,2020-01-07 10:00:00,1
155,1,7,11,156,25.0,20.7,2020-01-07 11:00:00,1
156,1,7,12,157,25.0,21.2,2020-01-07 12:00:00,1
157,1,7,13,158,25.0,21.2,2020-01-07 13:00:00,1
158,1,7,14,159,25.0,21.0,2020-01-07 14:00:00,1
159,1,7,15,160,26.2,22.2,2020-01-07 15:00:00,1
160,1,7,16,161,27.7,23.2,2020-01-07 16:00:00,1
161,1,7,17,162,28.9,23.4,2020-01-07 17:00:00,1
162,1,7,18,163,28.0,23.3,2020-01-07 18:00:00,1
163,1,7,19,164,27.0,22.5,2020-01-07 19:00:00,1
164,1,7,20,165,26.1,21.4,2020-01-07 20:00:00,1
165,1,7,21,166,26.8,22.4,2020-01-07 21:00:00,1
166,1,7,22,167,27.3,22.8,2020-01-07 22:00:00,1
167,1,7,23,168,28.0,22.9,2020-01-07 23:00:00,1
168,1,8,0,169,28.4,23.7,2020-01-08 00:00:00,2
169,1,8,1,170,28.6,23.9,2020-01-08 01:00:00,2
170,1,8,2,171,28.9,23.7,2020-01-08 02:00:00,2
171,1,8,3,172,28.2,24.3,2020-01-08 03:00:00,2
172,1,8,4,173,27.7,24.7,2020-01-08 04:00:00,2
173,1,8,5,174,27.0,24.5,2020-01-08 05:00:00,2
174,1,8,6,175,25.0,22.6,2020-01-08 06:00:00,2
175,1,8,7,176,23.0,20.3,2020-01-08 07:00:00,2
176,1,8,8,177,21.0,17.9,2020-01-08 08:00:00,2
177,1,8,9,178,22.1,19.1,2020-01-08 09:00:00,2
178,1,8,10,179,23.0,20.0,2020-01-08 10:00:00,2
179,1,8,11,180,24.1,20.6,2020-01-08 11:00:00,2
