MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,37.00,36.50,
1,1,1,2,41.00,35.10,
1,1,2,3,41.00,35.50,
1,1,3,4,39.00,35.50,
1,1,4,5,37.90,35.30,
1,1,5,6,36.00,35.10,
1,1,6,7,36.00,35.10,
1,1,7,8,35.10,34.60,
1,1,8,9,35.10,34.20,
1,1,9,10,35.10,34.20,
1,1,10,11,35.10,34.60,
1,1,11,12,35.10,34.60,
1,1,12,13,35.10,34.60,
1,1,13,14,36.00,35.20,
1,1,14,15,36.00,35.20,
1,1,15,16,37.00,36.20,
1,1,16,17,37.90,36.70,
1,1,17,18,39.00,37.70,
1,1,18,19,39.90,38.20,
1,1,19,20,39.90,39.00,
1,1,20,21,39.90,39.50,
1,1,21,22,39.90,40.00,
1,1,22,23,39.90,40.00,
1,1,23,24,39.00,39.10,
1,2,0,25,39.90,40.00,
1,2,1,26,39.00,39.10,
1,2,2,27,39.00,38.60,
1,2,3,28,37.90,37.60,
1,2,4,29,36.00,35.60,
1,2,5,30,35.10,34.70,
1,2,6,31,34.00,33.60,
1,2,7,32,33.10,32.20,
1,2,8,33,32.00,31.20,
1,2,9,34,35.10,32.90,
1,2,10,35,39.00,36.00,
1,2,11,36,42.10,37.70,
1,2,12,37,44.10,36.80,
1,2,13,38,46.90,38.70,
1,2,14,39,46.90,38.10,
1,2,15,40,46.00,36.90,
1,2,16,41,46.00,36.60,
1,2,17,42,44.10,35.90,
1,2,18,43,41.00,34.10,
1,2,19,44,39.90,33.50,
1,2,20,45,39.00,32.60,
1,2,21,46,37.00,31.40,
1,2,22,47,35.10,30.10,
1,2,23,48,34.00,29.70,
1,3,0,49,32.00,28.90,
1,3,1,50,30.00,27.70,
1,3,2,51,28.90,27.00,
1,3,3,52,30.00,27.70,
1,3,4,53,28.00,25.80,
1,3,5,54,27.00,25.10,
1,3,6,55,26.10,24.60,
1,3,7,56,28.00,25.80,
1,3,8,57,27.00,24.80,
1,3,9,58,32.00,28.20,
1,3,10,59,35.10,29.70,
1,3,11,60,39.00,31.60,
1,3,12,61,41.00,32.80,
1,3,13,62,43.00,34.50,
1,3,14,63,45.00,35.70,
1,3,15,64,46.00,36.20,
1,3,16,65,46.90,36.50,
1,3,17,66,46.00,36.00,
1,3,18,67,42.10,34.00,
1,3,19,68,39.90,33.40,
1,3,20,69,37.90,32.60,
1,3,21,70,36.00,31.50,
1,3,22,71,35.10,30.70,
1,3,23,72,34.00,30.00,
1,4,0,73,34.00,30.00,
1,4,1,74,33.10,29.10,
1,4,2,75,33.10,28.80,
1,4,3,76,30.90,27.50,
1,4,4,77,30.90,27.50,
1,4,5,78,30.00,26.70,
1,4,6,79,28.90,26.00,
1,4,7,80,30.00,27.00,
1,4,8,81,30.00,27.00,
1,4,9,82,30.90,27.50,
1,4,10,83,34.00,29.40,
1,4,11,84,37.90,31.90,
1,4,12,85,39.90,33.40,
1,4,13,86,42.10,34.70,
1,4,14,87,42.10,34.70,
1,4,15,88,43.00,35.20,
1,4,16,89,42.10,34.70,
1,4,17,90,42.10,34.40,
1,4,18,91,42.10,34.40,
1,4,19,92,41.00,33.40,
1,4,20,93,39.90,32.80,
1,4,21,94,39.00,32.20,
1,4,22,95,37.90,31.60,
1,4,23,96,37.00,31.10,
1,5,0,97,36.00,30.50,
1,5,1,98,36.00,30.90,
1,5,2,99,35.10,30.00,
1,5,3,100,34.00,29.10,
1,5,4,101,34.00,28.30,
1,5,5,102,34.00,27.60,
1,5,6,103,34.00,26.70,
1,5,7,104,33.10,26.40,
1,5,8,105,33.10,26.60,
1,5,9,106,35.10,27.40,
1,5,10,107,37.90,29.00,
1,5,11,108,39.90,29.90,
1,5,12,109,44.10,32.40,
1,5,13,110,46.90,34.20,
1,5,14,111,48.90,35.50,
1,5,15,112,50.00,36.50,
1,5,16,113,50.00,36.30,
1,5,17,114,48.90,35.90,
1,5,18,115,45.00,33.70,
1,5,19,116,42.10,32.30,
1,5,20,117,39.90,31.00,
1,5,21,118,39.00,30.30,
1,5,22,119,39.00,30.00,
1,5,23,120,37.00,28.70,
1,6,0,121,35.10,27.60,
1,6,1,122,35.10,27.40,
1,6,2,123,33.10,26.40,
1,6,3,124,28.90,24.20,
1,6,4,125,30.00,24.80,
1,6,5,126,30.00,25.10,
