MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,15.10,14.30,
1,1,1,2,-5.60,-6.60,
1,1,2,3,-4.40,-5.50,
1,1,3,4,-2.90,-4.30,
1,1,4,5,-2.00,-3.20,
1,1,5,6,-0.90,-2.10,
1,1,6,7,0.00,-1.20,
1,1,7,8,-0.40,-1.50,
1,1,8,9,-0.60,-1.70,
1,1,9,10,-0.90,-2.00,
1,1,10,11,-0.90,-2.00,
1,1,11,12,-0.90,-2.10,
1,1,12,13,-0.90,-2.20,
1,1,13,14,-4.00,-5.00,
1,1,14,15,-6.90,-7.70,
1,1,15,16,-9.90,-10.60,
1,1,16,17,-11.90,-12.50,
1,1,17,18,-14.10,-14.70,
1,1,18,19,-16.10,-16.70,
1,1,19,20,-17.30,-17.80,
1,1,20,21,-18.80,-19.30,
1,1,21,22,-20.00,-20.50,
1,1,22,23,-20.70,-21.10,
1,1,23,24,-21.30,-21.70,
1,2,0,25,-22.00,-22.40,
1,2,1,26,-20.90,-21.40,
1,2,2,27,-20.00,-20.50,
1,2,3,28,-18.90,-19.50,
1,2,4,29,-18.00,-18.60,
1,2,5,30,-17.00,-17.70,
1,2,6,31,-16.10,-16.80,
1,2,7,32,-16.40,-17.10,
1,2,8,33,-16.60,-17.30,
1,2,9,34,-17.00,-17.70,
1,2,10,35,-15.30,-16.00,
1,2,11,36,-13.50,-14.30,
1,2,12,37,-11.90,-12.90,
1,2,13,38,-11.00,-11.90,
1,2,14,39,-9.90,-10.80,
1,2,15,40,-9.00,-10.00,
1,2,16,41,-10.70,-11.50,
1,2,17,42,-12.50,-13.20,
1,2,18,43,-14.10,-14.70,
1,2,19,44,-15.30,-15.90,
1,2,20,45,-16.80,-17.30,
1,2,21,46,-18.00,-18.50,
1,2,22,47,-18.80,-19.30,
1,2,23,48,-19.30,-19.80,
1,3,0,49,-20.00,-20.50,
1,3,1,50,-19.30,-19.80,
1,3,2,51,-18.80,-19.30,
1,3,3,52,-18.00,-18.50,
1,3,4,53,-17.30,-17.80,
1,3,5,54,-16.80,-17.30,
1,3,6,55,-16.10,-16.70,
1,3,7,56,-14.60,-15.10,
1,3,8,57,-13.40,-13.90,
1,3,9,58,-11.90,-12.60,
1,3,10,59,-10.30,-11.00,
1,3,11,60,-8.70,-9.50,
1,3,12,61,-7.10,-8.10,
1,3,13,62,-5.10,-6.10,
1,3,14,63,-2.90,-4.00,
1,3,15,64,-0.90,-2.20,
1,3,16,65,-2.60,-3.60,
1,3,17,66,-4.40,-5.30,
1,3,18,67,-6.00,-6.90,
1,3,19,68,-9.40,-10.10,
1,3,20,69,-12.60,-13.20,
