MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,-6.00,-7.10,
1,1,1,2,1.80,0.30,
1,1,2,3,2.30,0.90,
1,1,3,4,3.00,1.50,
1,1,4,5,3.70,2.30,
1,1,5,6,4.30,2.90,
1,1,6,7,5.00,3.50,
1,1,7,8,5.40,4.00,
1,1,8,9,5.70,4.40,
1,1,9,10,6.10,4.60,
1,1,10,11,8.80,7.30,
1,1,11,12,11.30,9.50,
1,1,12,13,14.00,11.70,
1,1,13,14,15.60,13.50,
1,1,14,15,17.40,15.40,
1,1,15,16,19.00,16.70,
1,1,16,17,18.30,16.50,
1,1,17,18,17.80,16.10,
1,1,18,19,17.10,15.40,
1,1,19,20,17.40,15.90,
1,1,20,21,17.60,16.00,
1,1,21,22,18.00,16.30,
1,1,22,23,16.30,14.60,
1,1,23,24,14.50,12.70,
1,2,0,25,12.90,10.90,
1,2,1,26,12.20,10.40,
1,2,2,27,11.70,9.90,
1,2,3,28,10.90,9.00,
1,2,4,29,9.70,8.10,
1,2,5,30,8.20,6.70,
1,2,6,31,7.00,5.50,
1,2,7,32,6.30,4.90,
1,2,8,33,5.70,4.30,
1,2,9,34,5.00,3.50,
1,2,10,35,5.00,3.60,
1,2,11,36,5.00,3.60,
1,2,12,37,5.00,3.50,
1,2,13,38,4.60,3.20,
1,2,14,39,4.30,2.90,
1,2,15,40,3.90,2.50,
1,2,16,41,3.00,1.70,
1,2,17,42,1.90,0.70,
1,2,18,43,1.00,-0.20,
1,2,19,44,0.30,-0.80,
1,2,20,45,-0.20,-1.30,
1,2,21,46,-0.90,-2.10,
1,2,22,47,-2.00,-3.10,
1,2,23,48,-2.90,-4.00,
1,3,0,49,-4.00,-5.10,
1,3,1,50,-4.70,-5.60,
1,3,2,51,-5.30,-6.20,
1,3,3,52,-6.00,-6.90,
1,3,4,53,-6.00,-6.80,
1,3,5,54,-6.00,-6.80,
1,3,6,55,-6.00,-7.00,
1,3,7,56,-5.60,-6.50,
1,3,8,57,-5.40,-6.30,
1,3,9,58,-5.10,-6.10,
1,3,10,59,-2.00,-3.10,
1,3,11,60,0.90,-0.50,
1,3,12,61,3.90,2.10,
1,3,13,62,6.60,4.80,
1,3,14,63,9.30,7.30,
1,3,15,64,12.00,9.60,
1,3,16,65,10.90,8.90,
1,3,17,66,10.00,8.10,
1,3,18,67,9.00,7.10,
1,3,19,68,9.70,8.00,
1,3,20,69,10.20,8.50,
1,3,21,70,10.90,9.00,
1,3,22,71,10.60,8.80,
1,3,23,72,10.40,8.40,
1,4,0,73,10.00,7.70,
1,4,1,74,8.40,6.50,
1,4,2,75,6.60,4.80,
1,4,3,76,5.00,3.20,
1,4,4,77,3.70,2.20,
1,4,5,78,2.30,0.80,
1,4,6,79,1.00,-0.50,
1,4,7,80,-0.20,-1.60,
1,4,8,81,-1.70,-3.00,
1,4,9,82,-2.90,-4.30,
1,4,10,83,-1.30,-2.80,
1,4,11,84,0.30,-1.40,
1,4,12,85,1.90,-0.10,
1,4,13,86,3.60,1.50,
1,4,14,87,5.40,3.20,
1,4,15,88,7.00,4.40,
1,4,16,89,5.70,3.60,
1,4,17,90,4.30,2.40,
1,4,18,91,3.00,1.30,
1,4,19,92,4.60,2.90,
1,4,20,93,6.40,4.60,
1,4,21,94,8.10,6.00,
1,4,22,95,9.00,7.10,
1,4,23,96,10.00,8.20,
1,5,0,97,10.90,9.00,
1,5,1,98,11.30,9.70,
1,5,2,99,11.70,10.10,
1,5,3,100,12.00,10.40,
1,5,4,101,12.70,11.30,
1,5,5,102,13.30,11.90,
1,5,6,103,14.00,12.50,
1,5,7,104,16.00,14.40,
1,5,8,105,18.00,16.20,
1,5,9,106,19.90,17.60,
1,5,10,107,21.60,19.30,
1,5,11,108,23.40,21.00,
1,5,12,109,25.00,22.00,
1,5,13,110,24.30,21.60,
1,5,14,111,23.70,20.90,
1,5,15,112,23.00,19.90,
1,5,16,113,18.30,16.30,
1,5,17,114,13.60,12.20,
1,5,18,115,9.00,8.00,
1,5,19,116,7.30,6.10,
1,5,20,117,5.50,4.10,
1,5,21,118,3.90,2.10,
1,5,22,119,3.20,1.60,
1,5,23,120,2.70,1.10,
1,6,0,121,1.90,0.20,
1,6,1,122,1.00,-0.40,
1,6,2,123,0.00,-1.40,
1,6,3,124,-0.90,-2.30,
1,6,4,125,-1.70,-2.90,
1,6,5,126,-2.20,-3.40,
1,6,6,127,-2.90,-4.10,
1,6,7,128,-4.40,-5.40,
1,6,8,129,-5.60,-6.50,
1,6,9,130,-7.10,-7.90,
1,6,10,131,-6.00,-6.90,
1,6,11,132,-5.10,-6.00,
1,6,12,133,-4.00,-5.10,
1,6,13,134,-3.30,-4.40,
1,6,14,135,-2.70,-3.80,
1,6,15,136,-2.00,-3.30,
1,6,16,137,-3.60,-4.70,
1,6,17,138,-5.40,-6.40,
1,6,18,139,-7.10,-8.10,
1,6,19,140,-7.40,-8.40,
1,6,20,141,-7.60,-8.60,
1,6,21,142,-8.00,-9.10,
1,6,22,143,-8.30,-9.20,
1,6,23,144,-8.70,-9.60,
1,7,0,145,-9.00,-9.90,
1,7,1,146,-9.90,-10.70,
1,7,2,147,-11.00,-11.80,
1,7,3,148,-11.90,-12.70,
1,7,4,149,-12.30,-13.00,
1,7,5,150,-12.60,-13.30,
1,7,6,151,-13.00,-13.70,
1,7,7,152,-11.70,-12.40,
