MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,37.00,31.90,
1,1,1,2,30.90,29.00,
1,1,2,3,30.90,29.00,
1,1,3,4,30.90,29.00,
1,1,4,5,30.90,29.00,
1,1,5,6,32.00,29.60,
1,1,6,7,32.00,30.00,
1,1,7,8,33.10,30.60,
1,1,8,9,33.10,30.60,
1,1,9,10,33.10,31.00,
1,1,10,11,36.00,33.00,
1,1,11,12,39.00,35.10,
1,1,12,13,44.10,38.00,
1,1,13,14,44.10,37.60,
1,1,14,15,43.00,36.30,
1,1,15,16,41.00,34.20,
1,1,16,17,39.90,32.60,
1,1,17,18,37.00,29.90,
1,1,18,19,34.00,28.30,
1,1,19,20,33.10,27.60,
1,1,20,21,32.00,26.20,
1,1,21,22,30.90,25.10,
1,1,22,23,30.90,24.50,
1,1,23,24,30.00,23.40,
1,2,0,25,28.90,22.80,
1,2,1,26,27.00,21.80,
1,2,2,27,27.00,21.60,
1,2,3,28,25.00,20.20,
1,2,4,29,23.00,18.80,
1,2,5,30,21.90,18.10,
1,2,6,31,21.00,17.40,
1,2,7,32,19.00,15.90,
1,2,8,33,19.00,16.00,
1,2,9,34,21.00,17.40,
1,2,10,35,23.00,18.70,
1,2,11,36,24.10,19.60,
1,2,12,37,25.00,20.10,
1,2,13,38,26.10,21.00,
1,2,14,39,27.00,21.40,
1,2,15,40,26.10,20.60,
1,2,16,41,25.00,19.90,
1,2,17,42,23.00,18.50,
1,2,18,43,21.90,17.50,
1,2,19,44,18.00,15.10,
1,2,20,45,15.10,12.80,
1,2,21,46,10.90,9.40,
1,2,22,47,9.00,8.10,
1,2,23,48,7.00,6.30,
1,3,0,49,7.00,6.20,
1,3,1,50,5.00,4.40,
1,3,2,51,5.00,4.40,
1,3,3,52,3.90,3.20,
1,3,4,53,1.90,1.20,
1,3,5,54,1.00,0.40,
1,3,6,55,1.00,0.50,
1,3,7,56,1.00,0.10,
1,3,8,57,1.90,1.20,
1,3,9,58,5.00,4.20,
1,3,10,59,10.00,8.90,
1,3,11,60,16.00,13.80,
1,3,12,61,19.90,16.80,
1,3,13,62,24.10,19.70,
1,3,14,63,26.10,21.30,
1,3,15,64,26.10,21.70,
1,3,16,65,24.10,20.30,
1,3,17,66,24.10,20.10,
1,3,18,67,19.00,16.80,
1,3,19,68,19.00,16.60,
1,3,20,69,19.00,16.80,
1,3,21,70,19.90,17.20,
1,3,22,71,19.00,17.00,
1,3,23,72,21.00,18.20,
1,4,0,73,19.90,17.90,
1,4,1,74,21.00,18.90,
1,4,2,75,19.90,18.20,
1,4,3,76,21.00,18.90,
1,4,4,77,19.90,18.70,
1,4,5,78,19.90,19.30,
1,4,6,79,19.90,19.60,
1,4,7,80,21.00,20.40,
1,4,8,81,21.00,20.40,
1,4,9,82,21.90,21.20,
1,4,10,83,23.00,22.30,
1,4,11,84,25.00,23.60,
1,4,12,85,26.10,25.00,
1,4,13,86,27.00,25.60,
1,4,14,87,27.00,26.30,
1,4,15,88,27.00,26.30,
1,4,16,89,28.00,26.90,
1,4,17,90,19.90,19.70,
1,4,18,91,21.90,21.70,
1,4,19,92,17.10,16.30,
1,4,20,93,15.10,14.60,
1,4,21,94,12.00,11.60,
1,4,22,95,24.10,23.10,
1,4,23,96,26.10,22.40,
1,5,0,97,25.00,21.30,
1,5,1,98,21.00,19.50,
1,5,2,99,19.90,16.40,
1,5,3,100,18.00,14.40,
1,5,4,101,16.00,14.10,
1,5,5,102,15.10,13.60,
1,5,6,103,12.90,11.00,
1,5,7,104,12.00,9.70,
1,5,8,105,12.00,9.40,
1,5,9,106,12.90,10.10,
1,5,10,107,15.10,11.80,
1,5,11,108,17.10,13.10,
1,5,12,109,17.10,13.00,
1,5,13,110,18.00,13.40,
1,5,14,111,17.10,12.70,
1,5,15,112,17.10,12.70,
1,5,16,113,16.00,11.80,
1,5,17,114,14.00,10.40,
1,5,18,115,12.90,9.50,
1,5,19,116,10.90,8.10,
1,5,20,117,10.90,8.20,
1,5,21,118,12.00,9.40,
