MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,37.90,33.50,
1,1,1,2,35.10,31.30,
1,1,2,3,34.00,30.00,
1,1,3,4,32.00,28.50,
1,1,4,5,33.10,29.10,
1,1,5,6,33.10,29.10,
1,1,6,7,30.00,26.30,
1,1,7,8,30.90,27.20,
1,1,8,9,32.00,27.80,
1,1,9,10,42.10,34.80,
1,1,10,11,43.00,36.00,
1,1,11,12,46.90,38.80,
1,1,12,13,48.90,39.90,
1,1,13,14,51.10,41.40,
1,1,14,15,50.00,41.20,
1,1,15,16,52.00,42.10,
1,1,16,17,48.00,41.00,
1,1,17,18,46.90,40.10,
1,1,18,19,45.00,38.60,
1,1,19,20,42.10,36.30,
1,1,20,21,39.90,34.70,
1,1,21,22,39.00,34.30,
1,1,22,23,36.00,31.80,
1,1,23,24,36.00,31.80,
1,2,0,25,36.00,31.80,
1,2,1,26,34.00,30.30,
1,2,2,27,34.00,30.30,
1,2,3,28,36.00,32.10,
1,2,4,29,36.00,32.90,
1,2,5,30,36.00,32.50,
1,2,6,31,35.10,31.60,
1,2,7,32,36.00,32.50,
1,2,8,33,37.90,34.00,
1,2,9,34,39.00,35.00,
1,2,10,35,41.00,36.50,
1,2,11,36,43.00,37.50,
1,2,12,37,44.10,38.60,
1,2,13,38,44.10,38.10,
1,2,14,39,46.00,40.00,
1,2,15,40,46.00,40.00,
1,2,16,41,46.00,40.00,
1,2,17,42,46.90,40.50,
1,2,18,43,48.90,41.80,
1,2,19,44,50.00,42.40,
1,2,20,45,48.90,41.80,
1,2,21,46,48.90,41.80,
1,2,22,47,48.90,41.80,
1,2,23,48,48.90,41.90,
1,3,0,49,48.90,42.30,
1,3,1,50,48.00,41.80,
1,3,2,51,48.00,42.70,
1,3,3,52,48.00,42.20,
1,3,4,53,48.00,42.70,
1,3,5,54,46.90,40.60,
1,3,6,55,45.00,37.90,
1,3,7,56,44.10,36.40,
1,3,8,57,44.10,36.40,
1,3,9,58,46.90,36.50,
1,3,10,59,48.90,37.60,
1,3,11,60,52.00,39.50,
1,3,12,61,53.10,39.70,
1,3,13,62,53.10,40.10,
1,3,14,63,54.00,40.20,
1,3,15,64,54.00,40.20,
1,3,16,65,54.00,40.20,
1,3,17,66,48.90,38.20,
1,3,18,67,46.00,36.70,
1,3,19,68,44.10,36.00,
1,3,20,69,43.00,34.40,
1,3,21,70,41.00,33.60,
1,3,22,71,43.00,34.40,
1,3,23,72,44.10,35.00,
1,4,0,73,36.00,30.40,
1,4,1,74,36.00,30.40,
1,4,2,75,36.00,30.40,
1,4,3,76,33.10,28.20,
1,4,4,77,33.10,28.20,
1,4,5,78,33.10,28.20,
1,4,6,79,30.90,26.30,
1,4,7,80,32.00,27.20,
1,4,8,81,32.00,27.20,
1,4,9,82,37.00,30.70,
1,4,10,83,43.00,35.00,
1,4,11,84,48.90,38.20,
1,4,12,85,48.90,38.50,
1,4,13,86,50.00,39.00,
1,4,14,87,50.00,38.40,
1,4,15,88,53.10,39.70,
1,4,16,89,48.90,37.50,
1,4,17,90,46.00,36.00,
1,4,18,91,44.10,34.70,
1,4,19,92,41.00,33.20,
1,4,20,93,41.00,33.60,
1,4,21,94,39.90,33.00,
1,4,22,95,39.00,32.50,
1,4,23,96,37.90,31.80,
1,5,0,97,37.00,31.00,
1,5,1,98,33.10,28.20,
1,5,2,99,33.10,28.20,
1,5,3,100,34.00,28.70,
1,5,4,101,35.10,29.10,
1,5,5,102,34.00,28.70,
1,5,6,103,32.00,27.30,
1,5,7,104,30.90,26.30,
1,5,8,105,32.00,27.00,
1,5,9,106,37.00,30.40,
1,5,10,107,41.00,32.70,
1,5,11,108,44.10,34.40,
1,5,12,109,45.00,34.60,
1,5,13,110,48.90,37.50,
1,5,14,111,46.00,35.80,
1,5,15,112,42.10,34.80,
1,5,16,113,43.00,35.10,
1,5,17,114,42.10,34.60,
1,5,18,115,41.00,34.20,
1,5,19,116,37.90,33.60,
1,5,20,117,37.00,32.70,
1,5,21,118,37.00,33.10,
1,5,22,119,37.00,33.10,
1,5,23,120,36.00,32.50,
1,6,0,121,37.00,33.10,
1,6,1,122,36.00,32.10,
1,6,2,123,37.00,33.10,
1,6,3,124,37.90,32.80,
1,6,4,125,37.90,33.20,
1,6,5,126,37.00,31.90,
1,6,6,127,37.00,32.30,
1,6,7,128,37.00,31.90,
1,6,8,129,37.90,32.40,
1,6,9,130,39.00,33.00,
1,6,10,131,39.90,33.50,
1,6,11,132,46.00,37.30,
1,6,12,133,45.00,35.70,
1,6,13,134,46.90,36.70,
1,6,14,135,48.90,37.50,
1,6,15,136,50.00,37.80,
1,6,16,137,48.00,36.80,
1,6,17,138,43.00,34.30,
1,6,18,139,45.00,34.80,
1,6,19,140,39.90,35.40,
1,6,20,141,39.00,34.50,
1,6,21,142,39.00,34.20,
1,6,22,143,37.00,32.60,
1,6,23,144,36.00,32.00,
1,7,0,145,35.10,31.20,
1,7,1,146,32.00,29.80,
1,7,2,147,32.00,29.50,
1,7,3,148,33.10,29.70,
1,7,4,149,32.00,28.80,
1,7,5,150,32.00,28.40,
1,7,6,151,32.00,28.40,
1,7,7,152,30.00,27.20,
1,7,8,153,32.00,28.40,
1,7,9,154,35.10,30.50,
1,7,10,155,41.00,32.60,
1,7,11,156,44.10,33.80,
1,7,12,157,45.00,35.20,
1,7,13,158,48.90,37.30,
1,7,14,159,48.00,35.30,
1,7,15,160,46.90,34.90,
1,7,16,161,48.00,35.50,
1,7,17,162,45.00,33.70,
1,7,18,163,41.00,31.20,
1,7,19,164,37.00,29.60,
1,7,20,165,36.00,29.10,
1,7,21,166,36.00,29.10,
1,7,22,167,35.10,29.10,
1,7,23,168,34.00,28.40,
1,8,0,169,33.10,28.50,
1,8,1,170,32.00,27.50,
1,8,2,171,34.00,29.30,
1,8,3,172,32.00,27.60,
1,8,4,173,30.90,26.90,
1,8,5,174,30.00,26.40,
1,8,6,175,28.90,26.00,
1,8,7,176,28.90,26.00,
1,8,8,177,30.90,27.20,
1,8,9,178,37.00,30.70,
1,8,10,179,41.00,31.40,
1,8,11,180,43.00,33.00,
1,8,12,181,46.00,35.20,
1,8,13,182,48.90,36.30,
1,8,14,183,51.10,36.80,
1,8,15,184,51.10,36.20,
1,8,16,185,50.00,36.00,
1,8,17,186,46.90,34.10,
1,8,18,187,44.10,32.70,
1,8,19,188,44.10,32.90,
1,8,20,189,42.10,31.60,
1,8,21,190,39.90,31.00,
1,8,22,191,42.10,32.50,
1,8,23,192,39.00,30.50,
1,9,0,193,39.00,30.50,
1,9,1,194,39.00,29.60,
1,9,2,195,39.00,29.40,
1,9,3,196,39.00,29.60,
1,9,4,197,35.10,26.80,
1,9,5,198,35.10,26.80,
1,9,6,199,34.00,26.30,
1,9,7,200,32.00,24.80,
1,9,8,201,33.10,26.10,
1,9,9,202,37.00,28.60,
1,9,10,203,39.90,30.80,
1,9,11,204,44.10,31.90,
1,9,12,205,42.10,30.80,
1,9,13,206,44.10,31.90,
1,9,14,207,45.00,32.40,
1,9,15,208,46.90,33.80,
1,9,16,209,46.00,33.20,
1,9,17,210,43.00,31.20,
1,9,18,211,42.10,30.00,
1,9,19,212,37.90,28.10,
1,9,20,213,33.10,26.10,
1,9,21,214,34.00,26.10,
1,9,22,215,32.00,25.10,
1,9,23,216,32.00,25.50,
1,10,0,217,28.90,23.70,
1,10,1,218,28.00,23.20,
1,10,2,219,28.00,23.40,
1,10,3,220,28.00,23.40,
1,10,4,221,26.10,22.20,
1,10,5,222,24.10,20.40,
1,10,6,223,25.00,20.80,
1,10,7,224,24.10,20.40,
1,10,8,225,28.00,23.20,
1,10,9,226,34.00,26.90,
1,10,10,227,37.90,30.10,
1,10,11,228,39.00,30.40,
1,10,12,229,41.00,30.50,
1,10,13,230,43.00,31.80,
1,10,14,231,42.10,31.20,
1,10,15,232,44.10,32.50,
1,10,16,233,41.00,30.50,
1,10,17,234,39.90,29.90,
1,10,18,235,37.00,28.30,
1,10,19,236,34.00,26.30,
1,10,20,237,32.00,25.10,
1,10,21,238,34.00,26.30,
1,10,22,239,30.00,23.80,
1,10,23,240,34.00,26.30,
1,11,0,241,32.00,24.90,
1,11,1,242,28.90,22.90,
1,11,2,243,28.90,23.10,
1,11,3,244,26.10,20.90,
1,11,4,245,30.90,24.00,
1,11,5,246,28.00,22.20,
1,11,6,247,26.10,21.10,
1,11,7,248,28.00,22.30,
1,11,8,249,36.00,27.90,
1,11,9,250,41.00,31.10,
1,11,10,251,39.90,31.40,
1,11,11,252,46.90,35.60,
1,11,12,253,53.10,39.40,
1,11,13,254,55.00,40.10,
1,11,14,255,55.00,39.90,
1,11,15,256,55.90,40.40,
1,11,16,257,55.90,40.40,
1,11,17,258,48.90,36.70,
1,11,18,259,44.10,33.80,
