MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,28.90,26.40,
1,1,1,2,32.00,25.60,
1,1,2,3,28.00,23.20,
1,1,3,4,28.00,22.70,
1,1,4,5,27.00,22.30,
1,1,5,6,30.00,24.40,
1,1,6,7,30.00,24.40,
1,1,7,8,30.00,24.40,
1,1,8,9,30.90,24.70,
1,1,9,10,34.00,27.60,
1,1,10,11,46.00,35.30,
1,1,11,12,48.00,36.30,
1,1,12,13,42.10,35.70,
1,1,13,14,39.00,32.80,
1,1,14,15,44.10,33.70,
1,1,15,16,39.90,31.70,
1,1,16,17,39.00,31.20,
1,1,17,18,37.00,30.40,
1,1,18,19,35.10,29.70,
1,1,19,20,35.10,29.70,
1,1,20,21,33.10,28.60,
1,1,21,22,34.00,30.90,
1,1,22,23,32.00,30.70,
1,1,23,24,30.90,30.50,
1,2,0,25,30.90,30.50,
1,2,1,26,32.00,31.10,
1,2,2,27,32.00,29.00,
1,2,3,28,30.90,28.40,
1,2,4,29,30.90,28.10,
1,2,5,30,28.90,25.80,
1,2,6,31,28.90,25.50,
1,2,7,32,28.90,25.20,
1,2,8,33,25.00,22.20,
1,2,9,34,27.00,23.70,
1,2,10,35,30.90,26.00,
1,2,11,36,35.10,28.40,
1,2,12,37,34.00,27.80,
1,2,13,38,36.00,28.40,
1,2,14,39,37.00,28.50,
1,2,15,40,35.10,27.70,
1,2,16,41,34.00,27.30,
1,2,17,42,32.00,25.90,
1,2,18,43,30.90,25.80,
1,2,19,44,27.00,23.70,
1,2,20,45,28.00,23.50,
1,2,21,46,24.10,21.00,
1,2,22,47,21.90,19.60,
1,2,23,48,19.90,18.00,
1,3,0,49,19.00,17.10,
1,3,1,50,18.00,16.40,
1,3,2,51,16.00,14.80,
1,3,3,52,16.00,14.80,
1,3,4,53,15.10,13.90,
1,3,5,54,12.90,12.10,
1,3,6,55,12.90,11.40,
1,3,7,56,10.90,9.90,
1,3,8,57,10.90,10.10,
1,3,9,58,18.00,16.40,
1,3,10,59,19.90,18.00,
1,3,11,60,25.00,21.60,
1,3,12,61,30.00,24.70,
1,3,13,62,34.00,27.20,
1,3,14,63,36.00,28.40,
1,3,15,64,36.00,28.40,
1,3,16,65,36.00,28.70,
1,3,17,66,32.00,25.90,
1,3,18,67,24.10,21.30,
1,3,19,68,26.10,22.30,
1,3,20,69,25.00,21.30,
1,3,21,70,21.90,19.00,
1,3,22,71,17.10,15.50,
1,3,23,72,18.00,16.10,
1,4,0,73,17.10,15.50,
1,4,1,74,14.00,12.80,
1,4,2,75,16.00,14.50,
1,4,3,76,14.00,13.10,
1,4,4,77,14.00,13.10,
1,4,5,78,12.00,10.90,
1,4,6,79,12.90,11.20,
1,4,7,80,12.90,11.60,
1,4,8,81,12.90,12.00,
1,4,9,82,19.90,17.90,
1,4,10,83,23.00,20.30,
1,4,11,84,28.90,23.70,
1,4,12,85,30.90,24.90,
1,4,13,86,34.00,27.00,
1,4,14,87,34.00,27.00,
1,4,15,88,37.00,28.50,
1,4,16,89,37.00,28.70,
1,4,17,90,34.00,27.50,
1,4,18,91,32.00,26.60,
1,4,19,92,27.00,23.40,
1,4,20,93,28.00,24.20,
1,4,21,94,25.00,22.40,
1,4,22,95,23.00,20.90,
1,4,23,96,21.90,20.20,
1,5,0,97,21.00,19.60,
1,5,1,98,19.90,18.90,
1,5,2,99,19.00,17.90,
1,5,3,100,17.10,16.00,
1,5,4,101,17.10,15.80,
1,5,5,102,16.00,15.30,
1,5,6,103,16.00,14.30,
1,5,7,104,15.10,13.80,
1,5,8,105,16.00,14.80,
1,5,9,106,19.90,18.50,
1,5,10,107,28.00,24.60,
1,5,11,108,34.00,28.70,
1,5,12,109,39.90,31.60,
1,5,13,110,46.00,35.80,
1,5,14,111,46.90,35.90,
1,5,15,112,46.90,36.20,
1,5,16,113,46.90,36.20,
1,5,17,114,39.90,31.60,
1,5,18,115,34.00,28.70,
1,5,19,116,35.10,29.30,
1,5,20,117,30.00,26.40,
1,5,21,118,28.90,25.40,
1,5,22,119,25.00,22.40,
1,5,23,120,24.10,21.90,
1,6,0,121,27.00,24.30,
1,6,1,122,21.00,19.60,
1,6,2,123,19.90,18.90,
1,6,3,124,19.00,17.90,
1,6,4,125,18.00,16.70,
1,6,5,126,18.00,17.00,
1,6,6,127,18.00,16.20,
1,6,7,128,18.00,16.70,
1,6,8,129,19.00,17.70,
1,6,9,130,21.90,20.50,
1,6,10,131,24.10,22.20,
1,6,11,132,28.90,25.80,
1,6,12,133,37.00,30.60,
1,6,13,134,43.00,33.90,
1,6,14,135,48.90,37.00,
1,6,15,136,50.00,37.50,
1,6,16,137,50.00,37.50,
1,6,17,138,45.00,33.30,
1,6,18,139,39.00,31.10,
1,6,19,140,39.00,31.70,
1,6,20,141,37.90,30.80,
1,6,21,142,39.00,31.40,
1,6,22,143,39.00,31.40,
1,6,23,144,39.90,32.20,
1,7,0,145,39.90,32.20,
1,7,1,146,46.00,37.60,
1,7,2,147,44.10,36.60,
1,7,3,148,43.00,36.40,
1,7,4,149,44.10,37.40,
1,7,5,150,44.10,37.40,
1,7,6,151,43.00,35.30,
1,7,7,152,39.90,35.30,
1,7,8,153,39.90,35.30,
1,7,9,154,44.10,37.80,
1,7,10,155,48.00,40.20,
1,7,11,156,52.00,42.10,
1,7,12,157,54.00,43.00,
1,7,13,158,54.00,43.00,
1,7,14,159,55.00,43.10,
1,7,15,160,55.90,42.70,
1,7,16,161,52.00,41.30,
1,7,17,162,53.10,42.20,
1,7,18,163,48.90,40.70,
1,7,19,164,46.00,39.20,
1,7,20,165,46.90,39.20,
