MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,31.30,28.50,
1,1,1,2,36.00,33.50,
1,1,2,3,36.00,33.10,
1,1,3,4,35.10,31.80,
1,1,4,5,34.00,30.80,
1,1,5,6,34.00,31.10,
1,1,6,7,33.10,29.90,
1,1,7,8,34.00,30.10,
1,1,8,9,34.00,29.50,
1,1,9,10,34.00,29.20,
1,1,10,11,34.00,29.20,
1,1,11,12,35.10,29.80,
1,1,12,13,36.00,30.60,
1,1,13,14,39.00,33.00,
1,1,14,15,39.90,34.20,
1,1,15,16,39.90,33.50,
1,1,16,17,37.90,32.00,
1,1,17,18,35.10,29.50,
1,1,18,19,34.00,28.60,
1,1,19,20,34.00,28.30,
1,1,20,21,34.00,28.60,
1,1,21,22,33.10,27.10,
1,1,22,23,32.00,25.50,
1,1,23,24,30.90,24.70,
1,2,0,25,30.00,24.10,
1,2,1,26,27.00,21.60,
1,2,2,27,26.10,21.30,
1,2,3,28,25.00,20.40,
1,2,4,29,24.10,19.60,
1,2,5,30,23.00,18.80,
1,2,6,31,21.90,18.00,
1,2,7,32,21.90,18.00,
1,2,8,33,21.90,18.00,
1,2,9,34,21.90,18.00,
1,2,10,35,24.10,19.60,
1,2,11,36,27.00,21.90,
1,2,12,37,28.00,22.90,
1,2,13,38,28.90,23.50,
1,2,14,39,30.00,24.60,
1,2,15,40,30.90,25.20,
1,2,16,41,30.90,25.70,
1,2,17,42,30.00,25.60,
1,2,18,43,30.00,26.10,
1,2,19,44,30.90,26.90,
1,2,20,45,30.90,27.20,
1,2,21,46,30.90,27.50,
1,2,22,47,32.00,28.20,
1,2,23,48,32.00,28.20,
1,3,0,49,32.00,28.50,
1,3,1,50,32.00,28.90,
1,3,2,51,35.10,31.00,
1,3,3,52,35.10,31.00,
1,3,4,53,35.10,31.30,
1,3,5,54,36.00,31.50,
1,3,6,55,36.00,31.90,
1,3,7,56,37.00,33.20,
1,3,8,57,39.90,36.00,
1,3,9,58,39.90,37.20,
1,3,10,59,41.00,38.30,
1,3,11,60,42.10,39.20,
1,3,12,61,42.10,39.30,
1,3,13,62,41.00,38.70,
1,3,14,63,41.00,38.70,
1,3,15,64,41.00,38.70,
1,3,16,65,39.90,37.80,
1,3,17,66,39.90,37.80,
1,3,18,67,39.90,37.30,
1,3,19,68,39.90,37.00,
1,3,20,69,39.00,36.00,
1,3,21,70,39.00,35.60,
1,3,22,71,37.90,34.20,
1,3,23,72,37.90,33.80,
1,4,0,73,37.90,33.10,
1,4,1,74,37.00,32.20,
1,4,2,75,36.00,30.60,
1,4,3,76,35.10,28.80,
1,4,4,77,34.00,28.10,
1,4,5,78,32.00,26.70,
1,4,6,79,30.90,26.00,
1,4,7,80,30.90,24.70,
1,4,8,81,28.90,23.60,
1,4,9,82,28.90,23.20,
1,4,10,83,28.90,23.20,
1,4,11,84,28.00,22.60,
1,4,12,85,28.90,23.60,
1,4,13,86,30.00,24.30,
1,4,14,87,30.90,24.90,
1,4,15,88,30.90,24.90,
1,4,16,89,30.90,24.30,
1,4,17,90,30.90,24.30,
1,4,18,91,30.00,23.90,
1,4,19,92,30.00,23.90,
1,4,20,93,28.90,23.20,
1,4,21,94,28.00,22.60,
1,4,22,95,27.00,21.90,
1,4,23,96,26.10,21.50,
1,5,0,97,26.10,21.10,
1,5,1,98,25.00,20.20,
1,5,2,99,25.00,19.90,
1,5,3,100,24.10,19.50,
1,5,4,101,24.10,19.50,
1,5,5,102,23.00,18.80,
1,5,6,103,21.90,18.30,
1,5,7,104,21.90,17.90,
1,5,8,105,21.90,17.90,
1,5,9,106,21.90,18.00,
1,5,10,107,21.90,17.70,
1,5,11,108,21.90,17.50,
1,5,12,109,23.00,18.50,
1,5,13,110,24.10,18.90,
1,5,14,111,25.00,19.60,
1,5,15,112,25.00,19.60,
1,5,16,113,26.10,20.20,
1,5,17,114,26.10,20.30,
1,5,18,115,24.10,18.70,
1,5,19,116,24.10,18.70,
1,5,20,117,24.10,18.70,
1,5,21,118,23.00,18.10,
1,5,22,119,21.90,17.10,
1,5,23,120,21.90,17.20,
1,6,0,121,21.00,16.60,
1,6,1,122,19.90,15.90,
1,6,2,123,19.90,15.80,
1,6,3,124,19.00,15.30,
1,6,4,125,19.90,16.30,
1,6,5,126,19.90,16.60,
1,6,6,127,19.90,16.60,
1,6,7,128,19.90,16.60,
1,6,8,129,21.00,17.30,
1,6,9,130,23.00,19.20,
1,6,10,131,25.00,20.40,
1,6,11,132,27.00,21.90,
1,6,12,133,28.00,22.40,
1,6,13,134,28.90,23.00,
1,6,14,135,30.00,23.70,
1,6,15,136,30.90,24.40,
