MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,21.00,19.40,
1,1,1,2,24.10,22.10,
1,1,2,3,23.00,21.40,
1,1,3,4,22.10,20.60,
1,1,4,5,21.00,19.50,
1,1,5,6,19.00,17.80,
1,1,6,7,17.10,16.00,
1,1,7,8,15.10,14.00,
1,1,8,9,18.10,17.00,
1,1,9,10,21.00,19.70,
1,1,10,11,24.10,22.40,
1,1,11,12,27.30,25.10,
1,1,12,13,30.70,27.60,
1,1,13,14,34.00,29.40,
1,1,14,15,35.20,30.60,
1,1,15,16,36.70,31.40,
1,1,16,17,37.90,31.60,
1,1,17,18,36.70,31.40,
1,1,18,19,35.20,30.60,
1,1,19,20,34.00,29.40,
1,1,20,21,34.30,30.60,
1,1,21,22,34.70,31.50,
1,1,22,23,35.10,32.10,
1,1,23,24,35.40,32.80,
1,2,0,25,35.60,33.00,
1,2,1,26,36.00,33.40,
1,2,2,27,36.30,33.80,
1,2,3,28,36.70,34.20,
1,2,4,29,37.00,34.40,
1,2,5,30,36.00,33.80,
1,2,6,31,35.10,33.10,
1,2,7,32,34.00,32.20,
1,2,8,33,34.70,32.90,
1,2,9,34,35.20,33.50,
1,2,10,35,36.00,34.20,
1,2,11,36,38.70,35.80,
1,2,12,37,41.40,37.10,
1,2,13,38,44.10,38.20,
1,2,14,39,45.00,38.50,
1,2,15,40,46.00,38.80,
1,2,16,41,46.90,38.60,
1,2,17,42,41.90,35.70,
1,2,18,43,37.00,32.40,
1,2,19,44,32.00,28.50,
1,2,20,45,31.60,28.60,
1,2,21,46,31.30,28.40,
1,2,22,47,30.90,27.80,
1,2,23,48,31.30,28.50,
1,3,0,49,31.60,28.80,
1,3,1,50,32.00,28.90,
1,3,2,51,32.70,30.00,
1,3,3,52,33.30,30.80,
1,3,4,53,34.00,31.40,
1,3,5,54,33.60,31.50,
1,3,6,55,33.40,31.60,
1,3,7,56,33.10,31.30,
1,3,8,57,34.70,32.60,
1,3,9,58,36.30,33.80,
1,3,10,59,37.90,34.80,
1,3,11,60,41.50,36.90,
1,3,12,61,45.30,38.80,
1,3,13,62,48.90,40.10,
1,3,14,63,48.90,40.30,
1,3,15,64,48.90,40.30,
1,3,16,65,48.90,40.10,
1,3,17,66,47.70,40.40,
1,3,18,67,46.20,40.40,
1,3,19,68,45.00,40.40,
1,3,20,69,44.20,40.50,
1,3,21,70,43.70,40.70,
1,3,22,71,43.00,40.70,
1,3,23,72,43.70,41.40,
1,4,0,73,44.20,41.90,
1,4,1,74,45.00,42.60,
1,4,2,75,47.70,45.40,
1,4,3,76,50.40,48.10,
1,4,4,77,53.10,50.90,
1,4,5,78,53.40,51.30,
1,4,6,79,53.60,51.50,
1,4,7,80,54.00,51.80,
1,4,8,81,54.30,52.30,
1,4,9,82,54.70,53.00,
1,4,10,83,55.00,53.40,
1,4,11,84,52.70,51.10,
1,4,12,85,50.40,48.50,
1,4,13,86,48.00,46.00,
1,4,14,87,44.10,41.80,
1,4,15,88,39.90,37.30,
1,4,16,89,36.00,33.00,
1,4,17,90,34.70,31.90,
1,4,18,91,33.30,30.50,
1,4,19,92,32.00,28.90,
1,4,20,93,31.30,28.60,
1,4,21,94,30.70,28.00,
1,4,22,95,30.00,27.00,
1,4,23,96,28.90,26.40,
1,5,0,97,28.00,25.50,
1,5,1,98,27.00,24.30,
1,5,2,99,26.60,24.20,
1,5,3,100,26.40,24.00,
1,5,4,101,26.10,23.40,
1,5,5,102,25.30,23.10,
1,5,6,103,24.80,22.70,
1,5,7,104,24.10,21.80,
1,5,8,105,24.10,22.10,
1,5,9,106,24.10,22.10,
1,5,10,107,24.10,21.80,
