MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,43.00,38.60,
1,1,1,2,28.00,26.40,
1,1,2,3,27.00,25.80,
1,1,3,4,26.10,24.80,
1,1,4,5,24.10,22.90,
1,1,5,6,24.10,22.90,
1,1,6,7,23.00,21.90,
1,1,7,8,23.00,21.90,
1,1,8,9,23.00,21.80,
1,1,9,10,26.10,24.80,
1,1,10,11,30.00,27.90,
1,1,11,12,34.00,30.60,
1,1,12,13,37.90,33.20,
1,1,13,14,42.10,35.60,
1,1,14,15,45.00,37.90,
1,1,15,16,48.00,39.40,
1,1,16,17,51.10,41.40,
1,1,17,18,50.00,41.20,
1,1,18,19,46.00,38.80,
1,1,19,20,43.00,36.80,
1,1,20,21,43.00,36.80,
1,1,21,22,39.00,34.30,
1,1,22,23,39.00,34.30,
1,1,23,24,37.00,32.70,
1,2,0,25,36.00,31.80,
1,2,1,26,35.10,31.30,
1,2,2,27,34.00,30.70,
1,2,3,28,32.00,29.20,
1,2,4,29,32.00,29.20,
1,2,5,30,32.00,29.20,
1,2,6,31,34.00,30.70,
1,2,7,32,30.90,28.50,
1,2,8,33,33.10,30.10,
1,2,9,34,35.10,32.00,
1,2,10,35,45.00,38.60,
1,2,11,36,53.10,42.70,
1,2,12,37,55.00,43.70,
1,2,13,38,57.90,44.40,
1,2,14,39,60.10,45.20,
1,2,15,40,61.00,45.90,
1,2,16,41,57.90,44.80,
1,2,17,42,55.90,44.50,
1,2,18,43,53.10,42.80,
1,2,19,44,46.90,39.30,
1,2,20,45,46.00,38.90,
1,2,21,46,43.00,37.30,
1,2,22,47,43.00,37.30,
1,2,23,48,43.00,37.30,
1,3,0,49,44.10,37.40,
1,3,1,50,42.10,36.30,
1,3,2,51,42.10,36.30,
1,3,3,52,39.90,34.80,
1,3,4,53,42.10,36.00,
1,3,5,54,41.00,35.40,
1,3,6,55,39.90,34.80,
1,3,7,56,37.00,33.20,
1,3,8,57,36.00,32.90,
