MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,28.90,24.20,
1,1,1,2,41.00,39.90,
1,1,2,3,40.60,39.60,
1,1,3,4,40.30,39.20,
1,1,4,5,39.90,38.80,
1,1,5,6,39.60,38.40,
1,1,6,7,39.40,38.00,
1,1,7,8,39.00,37.40,
1,1,8,9,39.40,38.00,
1,1,9,10,39.60,38.40,
1,1,10,11,39.90,38.80,
1,1,11,12,41.00,39.70,
1,1,12,13,41.90,40.20,
1,1,13,14,43.00,40.90,
1,1,14,15,43.30,41.20,
1,1,15,16,43.70,41.60,
1,1,16,17,44.10,41.90,
1,1,17,18,44.80,42.60,
1,1,18,19,45.30,42.90,
1,1,19,20,46.00,43.30,
1,1,20,21,46.00,43.60,
1,1,21,22,46.00,43.80,
1,1,22,23,46.00,43.80,
1,1,23,24,45.00,43.00,
1,2,0,25,44.10,42.30,
1,2,1,26,43.00,41.30,
1,2,2,27,41.90,39.80,
1,2,3,28,41.00,38.30,
1,2,4,29,39.90,36.80,
1,2,5,30,39.00,35.90,
1,2,6,31,37.90,34.90,
1,2,7,32,37.00,33.90,
1,2,8,33,38.70,35.40,
1,2,9,34,40.50,36.90,
1,2,10,35,42.10,38.00,
1,2,11,36,43.00,38.40,
1,2,12,37,44.10,38.70,
1,2,13,38,45.00,38.80,
1,2,14,39,44.10,38.10,
1,2,15,40,43.00,37.10,
1,2,16,41,42.10,36.10,
1,2,17,42,40.50,35.50,
1,2,18,43,38.70,34.40,
1,2,19,44,37.00,33.20,
1,2,20,45,35.10,32.00,
1,2,21,46,32.90,30.20,
1,2,22,47,30.90,28.50,
1,2,23,48,30.60,28.30,
1,3,0,49,30.40,28.00,
1,3,1,50,30.00,27.30,
1,3,2,51,28.40,26.40,
1,3,3,52,26.60,25.20,
1,3,4,53,25.00,23.80,
1,3,5,54,25.00,23.90,
1,3,6,55,25.00,23.70,
1,3,7,56,25.00,23.50,
1,3,8,57,27.30,25.50,
1,3,9,58,29.70,27.20,
1,3,10,59,32.00,28.50,
1,3,11,60,34.30,30.40,
1,3,12,61,36.70,32.00,
1,3,13,62,39.00,33.20,
1,3,14,63,39.40,33.50,
1,3,15,64,39.60,33.40,
1,3,16,65,39.90,32.80,
1,3,17,66,36.30,31.20,
1,3,18,67,32.50,28.60,
1,3,19,68,28.90,25.70,
1,3,20,69,29.70,26.60,
1,3,21,70,30.20,26.90,
1,3,22,71,30.90,26.90,
1,3,23,72,31.60,28.00,
1,4,0,73,32.40,28.70,
1,4,1,74,33.10,28.90,
1,4,2,75,32.40,29.00,
1,4,3,76,31.60,28.50,
1,4,4,77,30.90,27.90,
1,4,5,78,30.90,28.00,
1,4,6,79,30.90,27.80,
1,4,7,80,30.90,27.30,
1,4,8,81,31.60,28.00,
1,4,9,82,32.40,28.60,
1,4,10,83,33.10,28.60,
1,4,11,84,34.70,30.10,
1,4,12,85,36.30,31.20,
1,4,13,86,37.90,31.70,
1,4,14,87,37.60,32.00,
1,4,15,88,37.40,31.80,
1,4,16,89,37.00,31.20,
1,4,17,90,36.70,31.50,
1,4,18,91,36.30,31.40,
1,4,19,92,36.00,30.90,
1,4,20,93,36.00,31.40,
1,4,21,94,36.00,31.60,
1,4,22,95,36.00,31.50,
1,4,23,96,36.70,32.20,
1,5,0,97,37.20,32.30,
1,5,1,98,37.90,32.30,
1,5,2,99,37.60,33.10,
1,5,3,100,37.40,33.70,
1,5,4,101,37.00,33.90,
1,5,5,102,37.90,35.40,
1,5,6,103,39.00,37.00,
1,5,7,104,39.90,38.40,
1,5,8,105,41.00,38.70,
1,5,9,106,41.90,38.70,
1,5,10,107,43.00,38.80,
1,5,11,108,44.20,39.50,
1,5,12,109,45.70,40.10,
1,5,13,110,46.90,40.60,
1,5,14,111,46.90,40.60,
1,5,15,112,46.90,40.80,
1,5,16,113,46.90,40.90,
1,5,17,114,45.00,40.50,
1,5,18,115,43.00,39.90,
1,5,19,116,41.00,39.00,
1,5,20,117,40.60,38.80,
1,5,21,118,40.30,38.70,
1,5,22,119,39.90,38.40,
1,5,23,120,40.60,38.80,
1,6,0,121,41.40,39.30,
1,6,1,122,42.10,39.60,
1,6,2,123,41.70,39.50,
1,6,3,124,41.40,39.30,
1,6,4,125,41.00,39.00,
1,6,5,126,41.00,39.00,
1,6,6,127,41.00,38.70,
1,6,7,128,41.00,38.60,
1,6,8,129,41.00,38.70,
1,6,9,130,41.00,39.00,
1,6,10,131,41.00,39.10,
1,6,11,132,43.00,40.20,
1,6,12,133,45.00,41.20,
1,6,13,134,46.90,42.20,
1,6,14,135,46.90,42.30,
1,6,15,136,46.90,42.50,
1,6,16,137,46.90,42.50,
1,6,17,138,44.20,41.10,
1,6,18,139,41.70,39.90,
1,6,19,140,39.00,38.00,
1,6,20,141,38.70,37.80,
1,6,21,142,38.30,37.40,
1,6,22,143,37.90,37.00,
1,6,23,144,37.60,36.80,
1,7,0,145,37.40,36.40,
1,7,1,146,37.00,36.10,
