MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,41.00,39.50,
1,1,1,2,34.00,32.70,
1,1,2,3,34.00,32.70,
1,1,3,4,34.00,31.90,
1,1,4,5,32.00,27.70,
1,1,5,6,28.00,24.20,
1,1,6,7,25.00,20.50,
1,1,7,8,21.90,18.70,
1,1,8,9,16.00,12.60,
1,1,9,10,14.00,10.60,
1,1,10,11,15.10,11.40,
1,1,11,12,15.10,11.40,
1,1,12,13,15.10,11.60,
1,1,13,14,17.10,12.90,
1,1,14,15,17.10,13.20,
1,1,15,16,16.00,12.50,
1,1,16,17,15.10,11.60,
1,1,17,18,12.00,8.80,
1,1,18,19,10.90,7.90,
1,1,19,20,10.90,7.90,
1,1,20,21,10.90,8.10,
1,1,21,22,10.90,8.20,
1,1,22,23,10.90,8.30,
1,1,23,24,12.00,9.30,
1,2,0,25,12.90,10.30,
1,2,1,26,14.00,11.40,
1,2,2,27,16.00,12.90,
1,2,3,28,16.00,13.00,
1,2,4,29,17.10,13.80,
1,2,5,30,17.10,13.80,
1,2,6,31,17.10,13.80,
1,2,7,32,17.10,13.80,
1,2,8,33,17.10,14.00,
1,2,9,34,19.00,15.50,
1,2,10,35,21.00,16.90,
1,2,11,36,24.10,19.50,
1,2,12,37,23.00,18.50,
1,2,13,38,25.00,20.30,
1,2,14,39,27.00,21.10,
1,2,15,40,27.00,21.30,
1,2,16,41,26.10,20.40,
1,2,17,42,25.00,19.60,
1,2,18,43,24.10,19.20,
1,2,19,44,21.00,16.90,
1,2,20,45,21.00,16.90,
1,2,21,46,21.00,16.90,
1,2,22,47,21.00,16.90,
1,2,23,48,19.90,16.20,
1,3,0,49,19.00,15.50,
1,3,1,50,19.00,15.50,
1,3,2,51,19.00,15.70,
1,3,3,52,19.00,15.50,
1,3,4,53,16.00,13.30,
1,3,5,54,17.10,14.30,
1,3,6,55,17.10,14.50,
1,3,7,56,16.00,13.90,
1,3,8,57,19.90,16.90,
1,3,9,58,23.00,19.50,
1,3,10,59,27.00,22.20,
1,3,11,60,30.00,23.90,
1,3,12,61,32.00,25.10,
1,3,13,62,32.00,25.20,
1,3,14,63,32.00,25.20,
1,3,15,64,32.00,25.20,
1,3,16,65,32.00,25.40,
1,3,17,66,30.90,24.90,
1,3,18,67,30.00,24.70,
1,3,19,68,30.00,25.00,
1,3,20,69,30.00,25.20,
1,3,21,70,26.10,22.90,
1,3,22,71,28.00,23.90,
1,3,23,72,26.10,22.70,
1,4,0,73,27.00,23.30,
