MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,35.80,32.20,
1,1,1,2,52.00,46.50,
1,1,2,3,50.00,45.40,
1,1,3,4,48.00,44.30,
1,1,4,5,46.00,43.10,
1,1,5,6,45.70,42.70,
1,1,6,7,45.30,42.40,
1,1,7,8,45.00,42.20,
1,1,8,9,49.30,45.10,
1,1,9,10,53.60,48.20,
1,1,10,11,57.90,50.90,
1,1,11,12,59.40,50.80,
1,1,12,13,60.60,50.30,
1,1,13,14,62.10,49.80,
1,1,14,15,60.40,48.10,
1,1,15,16,58.60,46.10,
1,1,16,17,57.00,44.30,
1,1,17,18,55.40,42.80,
1,1,18,19,53.60,41.00,
1,1,19,20,52.00,39.10,
1,1,20,21,50.90,38.30,
1,1,21,22,50.00,37.10,
1,1,22,23,48.90,35.60,
1,1,23,24,47.30,35.70,
1,2,0,25,45.70,35.10,
1,2,1,26,44.10,34.30,
1,2,2,27,42.40,34.10,
1,2,3,28,40.60,33.20,
1,2,4,29,39.00,32.10,
1,2,5,30,38.70,32.50,
1,2,6,31,38.30,32.50,
1,2,7,32,37.90,32.00,
1,2,8,33,37.60,31.80,
1,2,9,34,37.40,31.20,
1,2,10,35,37.00,30.10,
1,2,11,36,37.80,31.30,
1,2,12,37,38.30,31.90,
1,2,13,38,39.00,32.30,
1,2,14,39,37.00,31.70,
1,2,15,40,35.10,30.70,
1,2,16,41,33.10,29.20,
1,2,17,42,32.70,29.70,
1,2,18,43,32.40,29.70,
1,2,19,44,32.00,29.60,
1,2,20,45,32.00,30.00,
1,2,21,46,32.00,30.30,
1,2,22,47,32.00,30.30,
1,2,23,48,32.40,30.80,
1,3,0,49,32.70,31.10,
1,3,1,50,33.10,31.30,
1,3,2,51,33.40,31.90,
1,3,3,52,33.60,32.20,
1,3,4,53,34.00,32.60,
1,3,5,54,34.30,33.00,
1,3,6,55,34.70,33.40,
1,3,7,56,35.10,33.80,
1,3,8,57,36.00,34.70,
1,3,9,58,37.00,36.00,
1,3,10,59,37.90,37.00,
1,3,11,60,37.90,37.00,
1,3,12,61,37.90,37.00,
1,3,13,62,37.90,37.00,
1,3,14,63,38.30,37.00,
1,3,15,64,38.70,36.90,
1,3,16,65,39.00,36.80,
1,3,17,66,38.70,36.30,
1,3,18,67,38.30,35.90,
