,MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,DATETIME,DOW
0,1,1,0,1,64.9,63.0,2020-01-01 00:00:00,2
1,1,1,1,2,57.9,53.4,2020-01-01 01:00:00,2
2,1,1,2,3,57.9,54.4,2020-01-01 02:00:00,2
3,1,1,3,4,57.0,54.1,2020-01-01 03:00:00,2
4,1,1,4,5,55.0,52.7,2020-01-01 04:00:00,2
5,1,1,5,6,55.0,52.2,2020-01-01 05:00:00,2
6,1,1,6,7,55.0,52.7,2020-01-01 06:00:00,2
7,1,1,7,8,51.1,50.5,2020-01-01 07:00:00,2
8,1,1,8,9,50.0,49.4,2020-01-01 08:00:00,2
9,1,1,9,10,53.1,51.3,2020-01-01 09:00:00,2
10,1,1,10,11,52.0,49.7,2020-01-01 10:00:00,2
11,1,1,11,12,50.0,48.3,2020-01-01 11:00:00,2
12,1,1,12,13,52.0,49.2,2020-01-01 12:00:00,2
13,1,1,13,14,57.9,51.8,2020-01-01 13:00:00,2
14,1,1,14,15,61.0,50.9,2020-01-01 14:00:00,2
15,1,1,15,16,62.1,51.4,2020-01-01 15:00:00,2
16,1,1,16,17,61.0,50.5,2020-01-01 16:00:00,2
17,1,1,17,18,57.0,51.4,2020-01-01 17:00:00,2
18,1,1,18,19,52.0,48.7,2020-01-01 18:00:00,2
19,1,1,19,20,48.0,46.3,2020-01-01 19:00:00,2
20,1,1,20,21,46.0,45.4,2020-01-01 20:00:00,2
21,1,1,21,22,44.1,43.4,2020-01-01 21:00:00,2
22,1,1,22,23,44.1,43.0,2020-01-01 22:00:00,2
23,1,1,23,24,42.1,41.4,2020-01-01 23:00:00,2
24,1,2,0,25,41.0,39.1,2020-01-02 00:00:00,3
25,1,2,1,26,39.9,38.0,2020-01-02 01:00:00,3
26,1,2,2,27,41.0,39.1,2020-01-02 02:00:00,3
27,1,2,3,28,41.0,39.5,2020-01-02 03:00:00,3
28,1,2,4,29,42.1,40.6,2020-01-02 04:00:00,3
29,1,2,5,30,43.0,41.4,2020-01-02 05:00:00,3
30,1,2,6,31,44.1,43.0,2020-01-02 06:00:00,3
31,1,2,7,32,44.1,43.4,2020-01-02 07:00:00,3
32,1,2,8,33,45.0,43.9,2020-01-02 08:00:00,3
33,1,2,9,34,46.0,44.9,2020-01-02 09:00:00,3
34,1,2,10,35,50.0,47.7,2020-01-02 10:00:00,3
35,1,2,11,36,52.0,49.1,2020-01-02 11:00:00,3
36,1,2,12,37,54.0,50.6,2020-01-02 12:00:00,3
37,1,2,13,38,55.9,51.9,2020-01-02 13:00:00,3
38,1,2,14,39,57.9,52.7,2020-01-02 14:00:00,3
39,1,2,15,40,60.1,54.7,2020-01-02 15:00:00,3
40,1,2,16,41,62.1,55.6,2020-01-02 16:00:00,3
41,1,2,17,42,59.0,53.7,2020-01-02 17:00:00,3
42,1,2,18,43,57.0,52.9,2020-01-02 18:00:00,3
43,1,2,19,44,55.0,52.1,2020-01-02 19:00:00,3
44,1,2,20,45,53.1,51.3,2020-01-02 20:00:00,3
45,1,2,21,46,52.0,50.2,2020-01-02 21:00:00,3
46,1,2,22,47,51.1,49.3,2020-01-02 22:00:00,3
47,1,2,23,48,51.1,48.8,2020-01-02 23:00:00,3
48,1,3,0,49,48.9,47.8,2020-01-03 00:00:00,4
49,1,3,1,50,48.9,47.3,2020-01-03 01:00:00,4
50,1,3,2,51,48.9,47.3,2020-01-03 02:00:00,4
51,1,3,3,52,48.9,47.3,2020-01-03 03:00:00,4
52,1,3,4,53,48.0,46.3,2020-01-03 04:00:00,4
53,1,3,5,54,46.0,44.9,2020-01-03 05:00:00,4
54,1,3,6,55,43.0,42.5,2020-01-03 06:00:00,4
55,1,3,7,56,43.0,42.5,2020-01-03 07:00:00,4
56,1,3,8,57,48.9,48.4,2020-01-03 08:00:00,4
57,1,3,9,58,51.1,50.4,2020-01-03 09:00:00,4
58,1,3,10,59,54.0,52.7,2020-01-03 10:00:00,4
59,1,3,11,60,59.0,55.9,2020-01-03 11:00:00,4
60,1,3,12,61,62.1,56.1,2020-01-03 12:00:00,4
61,1,3,13,62,64.9,56.2,2020-01-03 13:00:00,4
62,1,3,14,63,68.0,55.6,2020-01-03 14:00:00,4
63,1,3,15,64,69.1,54.4,2020-01-03 15:00:00,4
64,1,3,16,65,68.0,53.9,2020-01-03 16:00:00,4
65,1,3,17,66,66.0,52.6,2020-01-03 17:00:00,4
66,1,3,18,67,62.1,51.4,2020-01-03 18:00:00,4
67,1,3,19,68,55.9,48.7,2020-01-03 19:00:00,4
68,1,3,20,69,54.0,48.2,2020-01-03 20:00:00,4
69,1,3,21,70,54.0,47.8,2020-01-03 21:00:00,4
70,1,3,22,71,51.1,46.4,2020-01-03 22:00:00,4
71,1,3,23,72,48.0,45.4,2020-01-03 23:00:00,4
72,1,4,0,73,45.0,43.5,2020-01-04 00:00:00,5
73,1,4,1,74,44.1,43.0,2020-01-04 01:00:00,5
74,1,4,2,75,43.0,42.5,2020-01-04 02:00:00,5
75,1,4,3,76,44.1,43.0,2020-01-04 03:00:00,5
76,1,4,4,77,44.1,43.0,2020-01-04 04:00:00,5
77,1,4,5,78,44.1,43.0,2020-01-04 05:00:00,5
78,1,4,6,79,44.1,43.5,2020-01-04 06:00:00,5
79,1,4,7,80,43.0,42.5,2020-01-04 07:00:00,5
80,1,4,8,81,43.0,42.5,2020-01-04 08:00:00,5
