MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,39.90,37.70,
1,1,1,2,54.00,52.60,
1,1,2,3,54.00,52.70,
1,1,3,4,55.00,53.70,
1,1,4,5,55.00,53.70,
1,1,5,6,55.00,53.70,
1,1,6,7,55.00,54.20,
1,1,7,8,55.00,53.70,
1,1,8,9,55.00,53.70,
1,1,9,10,57.00,56.20,
1,1,10,11,60.10,58.60,
1,1,11,12,66.90,63.60,
1,1,12,13,73.00,64.50,
1,1,13,14,69.10,64.40,
1,1,14,15,71.10,65.00,
1,1,15,16,70.00,64.70,
1,1,16,17,70.00,64.00,
1,1,17,18,70.00,64.00,
1,1,18,19,69.10,63.20,
1,1,19,20,69.10,62.60,
1,1,20,21,68.00,62.90,
1,1,21,22,68.00,62.90,
1,1,22,23,68.00,62.90,
1,1,23,24,66.90,62.50,
1,2,0,25,66.90,62.50,
1,2,1,26,66.90,63.70,
1,2,2,27,60.10,58.20,
1,2,3,28,59.00,58.30,
1,2,4,29,57.00,55.80,
1,2,5,30,55.90,55.90,
1,2,6,31,55.90,56.00,
1,2,7,32,55.00,55.00,
1,2,8,33,55.00,55.10,
1,2,9,34,55.00,55.10,
1,2,10,35,55.90,55.40,
1,2,11,36,55.90,55.40,
1,2,12,37,51.10,49.40,
1,2,13,38,51.10,46.90,
1,2,14,39,44.10,40.80,
1,2,15,40,42.10,38.10,
1,2,16,41,39.90,35.30,
1,2,17,42,39.90,33.90,
1,2,18,43,37.90,31.50,
1,2,19,44,35.10,28.10,
1,2,20,45,33.10,26.20,
1,2,21,46,30.90,24.50,
1,2,22,47,30.00,23.70,
1,2,23,48,28.00,22.20,
1,3,0,49,27.00,21.40,
1,3,1,50,25.00,19.90,
1,3,2,51,24.10,19.30,
1,3,3,52,23.00,18.50,
1,3,4,53,21.00,17.10,
1,3,5,54,19.90,16.10,
1,3,6,55,19.00,15.70,
1,3,7,56,19.00,15.70,
1,3,8,57,19.00,15.80,
1,3,9,58,23.00,18.80,
1,3,10,59,25.00,20.40,
1,3,11,60,28.00,22.40,
1,3,12,61,28.90,23.00,
1,3,13,62,32.00,24.80,
1,3,14,63,35.10,26.70,
1,3,15,64,35.10,26.90,
1,3,16,65,36.00,27.10,
1,3,17,66,33.10,25.40,
1,3,18,67,30.00,23.70,
1,3,19,68,28.90,23.10,
1,3,20,69,28.00,22.40,
1,3,21,70,26.10,21.90,
1,3,22,71,26.10,22.10,
1,3,23,72,25.00,21.10,
1,4,0,73,25.00,21.10,
1,4,1,74,23.00,20.30,
1,4,2,75,21.90,19.30,
1,4,3,76,19.90,17.60,
1,4,4,77,19.90,17.60,
1,4,5,78,19.90,17.60,
1,4,6,79,19.00,17.20,
1,4,7,80,19.00,17.20,
1,4,8,81,19.00,17.20,
1,4,9,82,23.00,20.50,
1,4,10,83,28.00,24.50,
1,4,11,84,33.10,27.00,
1,4,12,85,39.00,29.90,
1,4,13,86,42.10,31.10,
1,4,14,87,44.10,32.40,
1,4,15,88,44.10,32.70,
1,4,16,89,45.00,32.90,
1,4,17,90,44.10,32.20,
1,4,18,91,36.00,28.60,
1,4,19,92,34.00,27.80,
1,4,20,93,30.00,25.10,
1,4,21,94,30.00,26.30,
1,4,22,95,30.90,27.20,
1,4,23,96,30.90,27.50,
1,5,0,97,30.90,27.50,
1,5,1,98,30.00,26.90,
1,5,2,99,28.90,26.30,
1,5,3,100,28.00,25.40,
1,5,4,101,28.90,26.30,
1,5,5,102,27.00,24.50,
1,5,6,103,28.00,25.70,
1,5,7,104,27.00,25.10,
1,5,8,105,27.00,24.80,
1,5,9,106,30.00,27.60,
1,5,10,107,39.00,31.70,
1,5,11,108,42.10,32.30,
1,5,12,109,44.10,32.50,
1,5,13,110,45.00,34.70,
1,5,14,111,44.10,36.10,
1,5,15,112,46.00,38.50,
1,5,16,113,46.00,37.20,
1,5,17,114,46.90,38.00,
1,5,18,115,44.10,38.60,
1,5,19,116,44.10,37.90,
1,5,20,117,43.00,37.60,
1,5,21,118,42.10,37.60,
1,5,22,119,41.00,37.00,
1,5,23,120,41.00,37.40,
1,6,0,121,39.90,36.40,
1,6,1,122,39.00,36.30,
1,6,2,123,39.00,36.30,
1,6,3,124,39.00,36.70,
1,6,4,125,39.90,37.20,
1,6,5,126,39.90,37.20,
1,6,6,127,41.00,37.80,
1,6,7,128,41.00,38.20,
1,6,8,129,42.10,38.80,
1,6,9,130,43.00,39.60,
1,6,10,131,46.90,41.60,
1,6,11,132,52.00,45.00,
1,6,12,133,55.00,47.20,
1,6,13,134,57.90,49.00,
1,6,14,135,61.00,51.20,
1,6,15,136,61.00,51.20,
1,6,16,137,61.00,51.20,
1,6,17,138,59.00,50.80,
1,6,18,139,57.00,49.90,
1,6,19,140,54.00,49.00,
1,6,20,141,54.00,49.00,
1,6,21,142,52.00,47.70,
1,6,22,143,52.00,47.70,
1,6,23,144,50.00,46.80,
1,7,0,145,48.00,45.80,
1,7,1,146,48.00,44.90,
1,7,2,147,45.00,42.40,
1,7,3,148,44.10,41.60,
1,7,4,149,46.00,43.90,
1,7,5,150,43.00,41.40,
1,7,6,151,46.00,44.40,
1,7,7,152,46.00,44.40,
1,7,8,153,46.90,45.40,
1,7,9,154,48.00,46.30,
1,7,10,155,50.00,47.80,
1,7,11,156,52.00,50.20,
1,7,12,157,60.10,57.50,
1,7,13,158,61.00,57.80,
1,7,14,159,61.00,57.90,
