,MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,DATETIME,DOW
0,1,1,0,1,44.1,42.0,2020-01-01 00:00:00,2
1,1,1,1,2,42.1,40.3,2020-01-01 01:00:00,2
2,1,1,2,3,42.1,40.3,2020-01-01 02:00:00,2
3,1,1,3,4,42.1,40.2,2020-01-01 03:00:00,2
4,1,1,4,5,41.4,39.7,2020-01-01 04:00:00,2
5,1,1,5,6,40.6,39.1,2020-01-01 05:00:00,2
6,1,1,6,7,39.9,38.6,2020-01-01 06:00:00,2
7,1,1,7,8,39.2,37.9,2020-01-01 07:00:00,2
8,1,1,8,9,38.7,37.4,2020-01-01 08:00:00,2
9,1,1,9,10,37.9,36.6,2020-01-01 09:00:00,2
10,1,1,10,11,38.7,37.0,2020-01-01 10:00:00,2
11,1,1,11,12,39.2,37.0,2020-01-01 11:00:00,2
12,1,1,12,13,39.9,37.3,2020-01-01 12:00:00,2
13,1,1,13,14,38.3,36.6,2020-01-01 13:00:00,2
14,1,1,14,15,36.7,35.9,2020-01-01 14:00:00,2
15,1,1,15,16,35.1,35.1,2020-01-01 15:00:00,2
16,1,1,16,17,36.7,35.9,2020-01-01 16:00:00,2
17,1,1,17,18,38.3,36.6,2020-01-01 17:00:00,2
18,1,1,18,19,39.9,37.3,2020-01-01 18:00:00,2
19,1,1,19,20,39.0,36.4,2020-01-01 19:00:00,2
20,1,1,20,21,37.9,35.4,2020-01-01 20:00:00,2
21,1,1,21,22,37.0,34.4,2020-01-01 21:00:00,2
22,1,1,22,23,35.1,33.0,2020-01-01 22:00:00,2
23,1,1,23,24,32.9,31.2,2020-01-01 23:00:00,2
24,1,2,0,25,30.9,29.3,2020-01-02 00:00:00,3
25,1,2,1,26,30.0,28.7,2020-01-02 01:00:00,3
26,1,2,2,27,28.9,27.6,2020-01-02 02:00:00,3
27,1,2,3,28,28.0,26.5,2020-01-02 03:00:00,3
28,1,2,4,29,27.7,26.6,2020-01-02 04:00:00,3
29,1,2,5,30,27.3,26.5,2020-01-02 05:00:00,3
30,1,2,6,31,27.0,26.3,2020-01-02 06:00:00,3
31,1,2,7,32,27.3,26.6,2020-01-02 07:00:00,3
32,1,2,8,33,27.7,27.0,2020-01-02 08:00:00,3
33,1,2,9,34,28.0,27.3,2020-01-02 09:00:00,3
34,1,2,10,35,33.6,32.0,2020-01-02 10:00:00,3
35,1,2,11,36,39.4,36.7,2020-01-02 11:00:00,3
36,1,2,12,37,45.0,40.8,2020-01-02 12:00:00,3
37,1,2,13,38,46.2,40.8,2020-01-02 13:00:00,3
38,1,2,14,39,47.7,41.0,2020-01-02 14:00:00,3
39,1,2,15,40,48.9,40.6,2020-01-02 15:00:00,3
40,1,2,16,41,46.9,39.5,2020-01-02 16:00:00,3
41,1,2,17,42,45.0,38.5,2020-01-02 17:00:00,3
42,1,2,18,43,43.0,37.1,2020-01-02 18:00:00,3
43,1,2,19,44,41.7,36.5,2020-01-02 19:00:00,3
44,1,2,20,45,40.3,35.5,2020-01-02 20:00:00,3
45,1,2,21,46,39.0,34.4,2020-01-02 21:00:00,3
46,1,2,22,47,37.0,33.3,2020-01-02 22:00:00,3
47,1,2,23,48,35.1,31.9,2020-01-02 23:00:00,3
48,1,3,0,49,33.1,30.3,2020-01-03 00:00:00,4
49,1,3,1,50,33.1,30.6,2020-01-03 01:00:00,4
50,1,3,2,51,33.1,30.7,2020-01-03 02:00:00,4
51,1,3,3,52,33.1,30.6,2020-01-03 03:00:00,4
52,1,3,4,53,32.7,30.6,2020-01-03 04:00:00,4
