MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,44.10,42.50,
1,1,1,2,34.00,31.80,
1,1,2,3,34.00,32.20,
1,1,3,4,34.00,32.60,
1,1,4,5,34.00,32.60,
1,1,5,6,34.00,32.20,
1,1,6,7,34.00,31.80,
1,1,7,8,34.00,31.80,
1,1,8,9,34.00,31.80,
1,1,9,10,33.10,31.00,
1,1,10,11,34.00,30.80,
1,1,11,12,35.10,31.70,
1,1,12,13,34.00,31.10,
1,1,13,14,35.10,31.40,
1,1,14,15,35.10,30.70,
1,1,15,16,36.00,31.90,
1,1,16,17,36.00,31.50,
1,1,17,18,32.00,28.90,
1,1,18,19,30.00,27.70,
1,1,19,20,30.00,27.70,
1,1,20,21,28.90,27.10,
1,1,21,22,27.00,25.90,
1,1,22,23,26.10,25.00,
1,1,23,24,26.10,25.00,
1,2,0,25,26.10,24.60,
1,2,1,26,27.00,25.20,
1,2,2,27,27.00,25.90,
1,2,3,28,30.00,28.00,
1,2,4,29,28.90,27.10,
1,2,5,30,28.90,27.40,
1,2,6,31,30.00,28.00,
1,2,7,32,30.00,28.40,
1,2,8,33,30.00,28.40,
1,2,9,34,35.10,32.40,
1,2,10,35,39.00,35.10,
1,2,11,36,42.10,36.80,
1,2,12,37,44.10,37.90,
1,2,13,38,45.00,38.80,
1,2,14,39,45.00,38.40,
1,2,15,40,43.00,37.40,
1,2,16,41,41.00,35.80,
1,2,17,42,39.90,34.90,
1,2,18,43,37.90,34.10,
1,2,19,44,36.00,32.60,
1,2,20,45,35.10,30.70,
1,2,21,46,34.00,30.40,
1,2,22,47,33.10,29.90,
1,2,23,48,33.10,29.60,
1,3,0,49,33.10,29.60,
1,3,1,50,30.90,27.90,
1,3,2,51,28.90,26.30,
1,3,3,52,27.00,24.50,
1,3,4,53,25.00,22.40,
1,3,5,54,25.00,22.10,
1,3,6,55,21.00,19.20,
1,3,7,56,19.90,17.90,
1,3,8,57,21.00,18.90,
1,3,9,58,23.00,20.30,
1,3,10,59,25.00,21.40,
1,3,11,60,27.00,22.50,
1,3,12,61,28.90,23.80,
1,3,13,62,30.90,25.20,
1,3,14,63,32.00,25.70,
1,3,15,64,33.10,26.60,
1,3,16,65,30.90,25.20,
1,3,17,66,28.00,23.40,
1,3,18,67,27.00,23.00,
1,3,19,68,27.00,23.00,
