MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,66.90,64.20,
1,1,1,2,43.00,42.20,
1,1,2,3,44.10,43.40,
1,1,3,4,45.00,44.50,
1,1,4,5,46.00,44.60,
1,1,5,6,46.90,44.50,
1,1,6,7,48.00,44.50,
1,1,7,8,46.90,42.10,
1,1,8,9,46.00,39.80,
1,1,9,10,45.00,37.30,
1,1,10,11,48.40,39.70,
1,1,11,12,51.60,41.70,
1,1,12,13,55.00,43.60,
1,1,13,14,57.00,44.30,
1,1,14,15,59.00,45.10,
1,1,15,16,61.00,45.50,
1,1,16,17,57.90,43.90,
1,1,17,18,55.00,42.40,
1,1,18,19,52.00,40.10,
1,1,19,20,50.00,40.10,
1,1,20,21,48.00,39.60,
1,1,21,22,46.00,38.60,
1,1,22,23,43.70,37.70,
1,1,23,24,41.40,36.40,
1,2,0,25,39.00,34.70,
1,2,1,26,39.00,35.20,
1,2,2,27,39.00,35.40,
1,2,3,28,39.00,35.60,
1,2,4,29,39.70,36.20,
1,2,5,30,40.30,36.60,
1,2,6,31,41.00,37.10,
1,2,7,32,43.30,38.80,
1,2,8,33,45.70,40.50,
1,2,9,34,48.00,42.00,
1,2,10,35,54.30,45.10,
1,2,11,36,60.60,47.00,
1,2,12,37,66.90,48.00,
1,2,13,38,66.90,47.50,
1,2,14,39,66.90,46.90,
1,2,15,40,66.90,46.10,
1,2,16,41,63.90,45.00,
1,2,17,42,61.00,43.90,
1,2,18,43,57.90,41.90,
1,2,19,44,55.60,42.00,
1,2,20,45,53.40,41.80,
1,2,21,46,51.10,40.90,
1,2,22,47,48.70,40.30,
1,2,23,48,46.40,39.20,
1,3,0,49,44.10,37.90,
1,3,1,50,43.30,37.30,
1,3,2,51,42.80,36.70,
1,3,3,52,42.10,35.70,
1,3,4,53,40.60,34.70,
1,3,5,54,39.40,33.60,
1,3,6,55,37.90,31.90,
1,3,7,56,37.60,31.90,
1,3,8,57,37.40,31.60,
1,3,9,58,37.00,30.80,
1,3,10,59,39.70,32.80,
1,3,11,60,42.30,34.20,
1,3,12,61,45.00,35.10,
1,3,13,62,46.60,36.40,
1,3,14,63,48.40,37.00,
1,3,15,64,50.00,37.20,
1,3,16,65,48.00,36.40,
1,3,17,66,46.00,34.90,
1,3,18,67,44.10,33.20,
1,3,19,68,42.10,32.90,
1,3,20,69,39.90,31.90,
1,3,21,70,37.90,30.60,
1,3,22,71,36.00,30.30,
1,3,23,72,34.00,29.30,
1,4,0,73,32.00,27.90,
1,4,1,74,32.00,28.00,
1,4,2,75,32.00,27.80,
1,4,3,76,32.00,27.10,
1,4,4,77,32.40,27.70,
1,4,5,78,32.70,27.60,
1,4,6,79,33.10,27.30,
1,4,7,80,35.10,29.10,
1,4,8,81,37.00,30.50,
1,4,9,82,39.00,31.40,
1,4,10,83,44.60,35.10,
1,4,11,84,50.40,38.10,
1,4,12,85,55.90,39.90,
1,4,13,86,57.90,41.50,
1,4,14,87,60.10,42.50,
1,4,15,88,62.10,43.10,
1,4,16,89,60.40,42.70,
1,4,17,90,58.60,42.00,
1,4,18,91,57.00,40.70,
1,4,19,92,54.30,39.90,
1,4,20,93,51.60,38.60,
1,4,21,94,48.90,36.80,
1,4,22,95,46.60,36.00,
1,4,23,96,44.40,35.00,
1,5,0,97,42.10,33.30,
1,5,1,98,39.00,32.50,
1,5,2,99,36.10,31.30,
