MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,36.00,35.50,
1,1,1,2,51.10,51.10,
1,1,2,3,48.00,47.40,
1,1,3,4,46.90,46.40,
1,1,4,5,46.00,45.40,
1,1,5,6,45.00,44.50,
1,1,6,7,45.00,44.50,
1,1,7,8,44.10,43.50,
1,1,8,9,44.10,43.50,
1,1,9,10,46.90,46.40,
1,1,10,11,48.00,47.40,
1,1,11,12,50.00,49.40,
1,1,12,13,52.00,50.80,
1,1,13,14,53.10,51.90,
1,1,14,15,54.00,52.80,
1,1,15,16,55.00,53.80,
1,1,16,17,55.90,54.70,
1,1,17,18,55.90,54.70,
1,1,18,19,55.00,54.40,
1,1,19,20,55.90,54.20,
1,1,20,21,55.90,54.20,
1,1,21,22,55.90,54.70,
1,1,22,23,55.90,54.70,
1,1,23,24,55.90,54.70,
1,2,0,25,55.90,54.70,
1,2,1,26,55.90,54.80,
1,2,2,27,57.90,56.20,
1,2,3,28,57.90,56.70,
1,2,4,29,57.00,57.10,
1,2,5,30,57.00,57.10,
1,2,6,31,59.00,59.10,
1,2,7,32,62.10,61.40,
1,2,8,33,64.00,62.80,
1,2,9,34,64.90,63.70,
1,2,10,35,66.00,65.30,
1,2,11,36,69.10,67.10,
1,2,12,37,72.00,68.60,
1,2,13,38,75.90,71.20,
1,2,14,39,75.90,71.20,
1,2,15,40,75.00,71.00,
1,2,16,41,75.90,71.20,
1,2,17,42,75.00,70.90,
1,2,18,43,73.00,70.40,
1,2,19,44,72.00,70.10,
1,2,20,45,71.10,70.40,
1,2,21,46,72.00,70.70,
1,2,22,47,72.00,70.70,
1,2,23,48,71.10,70.40,
1,3,0,49,72.00,70.10,
1,3,1,50,72.00,70.70,
1,3,2,51,72.00,70.70,
1,3,3,52,72.00,70.70,
1,3,4,53,72.00,70.70,
1,3,5,54,72.00,70.70,
1,3,6,55,72.00,70.10,
1,3,7,56,73.00,70.40,
1,3,8,57,73.00,70.40,
1,3,9,58,73.00,70.40,
1,3,10,59,73.90,71.20,
1,3,11,60,75.90,71.80,
1,3,12,61,78.10,72.50,
1,3,13,62,80.10,71.10,
1,3,14,63,81.00,70.80,
1,3,15,64,79.00,70.20,
1,3,16,65,78.10,69.20,
1,3,17,66,73.90,65.50,
1,3,18,67,66.90,60.20,
1,3,19,68,64.00,56.90,
1,3,20,69,66.90,54.30,
