MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,28.90,26.90,
1,1,1,2,21.00,19.40,
1,1,2,3,19.00,17.10,
1,1,3,4,17.10,15.60,
1,1,4,5,17.10,15.30,
1,1,5,6,16.00,14.40,
1,1,6,7,18.00,16.20,
1,1,7,8,18.00,16.80,
1,1,8,9,19.00,17.40,
1,1,9,10,19.00,17.70,
1,1,10,11,19.90,18.60,
1,1,11,12,21.00,19.10,
1,1,12,13,21.90,19.70,
1,1,13,14,21.90,19.90,
1,1,14,15,21.90,19.30,
1,1,15,16,21.90,19.70,
1,1,16,17,19.00,17.10,
1,1,17,18,17.10,15.80,
1,1,18,19,10.00,9.50,
1,1,19,20,0.00,-0.20,
1,1,20,21,5.00,4.40,
1,1,21,22,3.00,2.60,
1,1,22,23,6.10,5.60,
1,1,23,24,3.00,2.60,
1,2,0,25,5.00,4.40,
1,2,1,26,6.10,5.40,
1,2,2,27,7.00,6.30,
1,2,3,28,1.90,1.30,
1,2,4,29,6.10,5.00,
1,2,5,30,3.00,2.20,
1,2,6,31,1.90,1.30,
1,2,7,32,1.00,0.40,
1,2,8,33,3.00,2.40,
1,2,9,34,7.00,6.50,
1,2,10,35,10.00,9.00,
1,2,11,36,12.90,11.40,
1,2,12,37,17.10,14.60,
1,2,13,38,17.10,14.80,
1,2,14,39,19.00,16.40,
1,2,15,40,19.00,16.40,
1,2,16,41,19.00,16.40,
1,2,17,42,18.00,15.70,
1,2,18,43,18.00,15.90,
1,2,19,44,18.00,15.90,
1,2,20,45,18.00,15.70,
1,2,21,46,18.00,15.70,
1,2,22,47,18.00,15.70,
1,2,23,48,18.00,15.90,
1,3,0,49,18.00,15.40,
1,3,1,50,18.00,15.70,
1,3,2,51,18.00,15.90,
1,3,3,52,17.10,15.00,
1,3,4,53,12.00,10.70,
1,3,5,54,12.00,10.50,
1,3,6,55,12.00,10.50,
1,3,7,56,14.00,12.20,
1,3,8,57,12.90,11.20,
1,3,9,58,18.00,15.70,
1,3,10,59,19.90,17.20,
1,3,11,60,21.90,18.50,
1,3,12,61,23.00,19.70,
1,3,13,62,23.00,19.50,
1,3,14,63,25.00,20.80,
1,3,15,64,27.00,22.30,
1,3,16,65,27.00,22.80,
1,3,17,66,25.00,21.60,
1,3,18,67,25.00,21.60,
1,3,19,68,24.10,21.30,
1,3,20,69,24.10,21.60,
1,3,21,70,23.00,21.50,
1,3,22,71,23.00,21.50,
1,3,23,72,23.00,21.80,
1,4,0,73,23.00,21.50,
1,4,1,74,19.90,19.20,
1,4,2,75,19.90,19.20,
1,4,3,76,19.90,19.20,
1,4,4,77,21.90,20.80,
1,4,5,78,21.00,19.90,
1,4,6,79,21.90,20.80,
1,4,7,80,21.90,20.50,
1,4,8,81,23.00,21.50,
1,4,9,82,23.00,21.20,
1,4,10,83,25.00,22.80,
1,4,11,84,25.00,23.10,
1,4,12,85,27.00,24.60,
1,4,13,86,28.90,25.80,
1,4,14,87,30.90,27.20,
1,4,15,88,30.00,26.70,
1,4,16,89,28.90,25.80,
1,4,17,90,26.10,23.10,
1,4,18,91,19.90,18.60,
1,4,19,92,23.00,20.90,
1,4,20,93,21.90,19.90,
1,4,21,94,26.10,23.70,
1,4,22,95,28.90,25.80,
1,4,23,96,28.00,24.90,
1,5,0,97,28.90,25.80,
1,5,1,98,30.00,26.50,
1,5,2,99,30.00,26.50,
1,5,3,100,30.00,26.50,
1,5,4,101,30.00,26.50,
1,5,5,102,30.90,27.00,
1,5,6,103,30.90,27.30,
1,5,7,104,32.00,27.90,
1,5,8,105,32.00,27.90,
1,5,9,106,32.00,27.90,
1,5,10,107,34.00,29.40,
1,5,11,108,35.10,30.70,
1,5,12,109,37.90,32.60,
1,5,13,110,37.00,33.30,
1,5,14,111,36.00,33.70,
1,5,15,112,37.00,34.20,
1,5,16,113,37.00,34.20,
1,5,17,114,36.00,33.70,
1,5,18,115,35.10,33.70,
1,5,19,116,34.00,32.60,
1,5,20,117,35.10,33.20,
1,5,21,118,35.10,33.10,
1,5,22,119,35.10,33.10,
1,5,23,120,34.00,30.90,
1,6,0,121,32.00,29.00,
1,6,1,122,30.90,27.00,
