MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,33.10,30.30,
1,1,1,2,43.00,35.50,
1,1,2,3,41.90,35.20,
1,1,3,4,41.00,34.70,
1,1,4,5,39.90,33.70,
1,1,5,6,39.60,34.10,
1,1,6,7,39.40,34.00,
1,1,7,8,39.00,33.60,
1,1,8,9,40.10,35.10,
1,1,9,10,41.00,36.00,
1,1,10,11,42.10,37.10,
1,1,11,12,41.70,36.70,
1,1,12,13,41.40,36.20,
1,1,13,14,41.00,35.40,
1,1,14,15,41.70,35.70,
1,1,15,16,42.30,35.60,
1,1,16,17,43.00,35.30,
1,1,17,18,42.30,36.00,
1,1,18,19,41.70,36.30,
1,1,19,20,41.00,36.50,
1,1,20,21,41.40,37.20,
1,1,21,22,41.70,37.70,
1,1,22,23,42.10,38.40,
1,1,23,24,42.10,38.50,
1,2,0,25,42.10,38.70,
1,2,1,26,42.10,38.80,
1,2,2,27,41.40,38.60,
1,2,3,28,40.60,38.40,
1,2,4,29,39.90,38.00,
1,2,5,30,39.90,38.10,
1,2,6,31,39.90,38.10,
1,2,7,32,39.90,38.00,
1,2,8,33,41.90,39.40,
1,2,9,34,44.10,40.70,
1,2,10,35,46.00,41.70,
1,2,11,36,49.10,44.50,
1,2,12,37,52.00,46.70,
1,2,13,38,55.00,49.20,
1,2,14,39,57.40,51.70,
1,2,15,40,59.70,53.80,
1,2,16,41,62.10,56.20,
1,2,17,42,62.40,56.50,
1,2,18,43,62.60,56.60,
1,2,19,44,63.00,57.20,
1,2,20,45,63.30,57.10,
1,2,21,46,63.70,57.50,
1,2,22,47,64.00,57.60,
1,2,23,48,60.10,54.60,
1,3,0,49,55.90,51.60,
1,3,1,50,52.00,48.40,
1,3,2,51,49.60,44.10,
1,3,3,52,47.30,39.90,
1,3,4,53,45.00,35.70,
1,3,5,54,44.20,35.70,
1,3,6,55,43.70,35.40,
1,3,7,56,43.00,34.70,
1,3,8,57,42.60,34.80,
1,3,9,58,42.40,34.60,
1,3,10,59,42.10,33.90,
1,3,11,60,42.80,34.50,
1,3,12,61,43.30,34.60,
1,3,13,62,44.10,34.30,
1,3,14,63,44.10,34.60,
1,3,15,64,44.10,34.40,
1,3,16,65,44.10,33.80,
1,3,17,66,43.30,33.50,
1,3,18,67,42.80,33.10,
1,3,19,68,42.10,32.00,
1,3,20,69,41.40,32.00,
1,3,21,70,40.60,31.60,
1,3,22,71,39.90,30.70,
1,3,23,72,39.20,30.50,
1,4,0,73,38.70,29.90,
1,4,1,74,37.90,28.70,
1,4,2,75,37.20,28.90,
1,4,3,76,36.70,28.70,
1,4,4,77,36.00,27.90,
1,4,5,78,35.60,28.30,
1,4,6,79,35.40,28.40,
1,4,7,80,35.10,27.90,
1,4,8,81,36.30,29.20,
1,4,9,82,37.80,30.10,
1,4,10,83,39.00,30.40,
1,4,11,84,40.60,32.00,
1,4,12,85,42.40,33.10,
1,4,13,86,44.10,33.80,
1,4,14,87,45.30,34.70,
1,4,15,88,46.80,35.30,
1,4,16,89,48.00,35.20,
1,4,17,90,46.40,35.00,
1,4,18,91,44.60,34.00,
1,4,19,92,43.00,32.70,
1,4,20,93,40.60,32.40,
1,4,21,94,38.30,31.50,
1,4,22,95,36.00,30.00,
1,4,23,96,34.30,29.60,
1,5,0,97,32.50,28.50,
1,5,1,98,30.90,27.30,
1,5,2,99,30.60,27.60,
1,5,3,100,30.40,27.70,
1,5,4,101,30.00,27.30,
1,5,5,102,28.80,26.80,
1,5,6,103,27.30,25.70,
1,5,7,104,26.10,24.50,
1,5,8,105,30.70,28.10,
1,5,9,106,35.20,30.80,
1,5,10,107,39.90,32.80,
1,5,11,108,44.60,36.10,
1,5,12,109,49.30,38.50,
1,5,13,110,54.00,40.20,
1,5,14,111,55.20,40.90,
1,5,15,112,56.70,41.60,
1,5,16,113,57.90,41.60,
1,5,17,114,54.00,40.30,
1,5,18,115,50.00,38.40,
1,5,19,116,46.00,35.80,
1,5,20,117,44.40,35.40,
1,5,21,118,42.60,34.30,
1,5,22,119,41.00,33.00,
1,5,23,120,42.10,34.00,
1,6,0,121,43.00,34.60,
1,6,1,122,44.10,34.80,
1,6,2,123,42.60,34.70,
1,6,3,124,41.40,34.30,
1,6,4,125,39.90,33.50,
1,6,5,126,41.00,34.90,
1,6,6,127,41.90,36.00,
1,6,7,128,43.00,37.00,
1,6,8,129,43.70,38.10,
1,6,9,130,44.20,38.70,
1,6,10,131,45.00,39.60,
1,6,11,132,45.30,39.60,
1,6,12,133,45.70,39.50,
1,6,13,134,46.00,39.30,
1,6,14,135,45.30,39.00,
1,6,15,136,44.80,38.60,
1,6,16,137,44.10,38.00,
1,6,17,138,43.00,37.50,
1,6,18,139,42.10,37.10,
1,6,19,140,41.00,36.30,
1,6,20,141,39.90,35.90,
1,6,21,142,39.00,35.50,
1,6,22,143,37.90,34.80,
1,6,23,144,36.30,33.80,
