MON,DAY,HR,HR OF YR,DRY BULB,WET BULB
1,1,0,1,24.40,22.70
1,1,1,2,34.00,31.20
1,1,2,3,33.10,31.10
1,1,3,4,35.10,29.60
1,1,4,5,34.00,29.00
1,1,5,6,28.90,26.40
1,1,6,7,27.00,24.60
1,1,7,8,26.10,25.40
1,1,8,9,26.10,24.60
1,1,9,10,25.00,22.50
1,1,10,11,25.00,22.00
1,1,11,12,25.00,21.00
1,1,12,13,27.00,22.20
1,1,13,14,26.10,21.20
1,1,14,15,25.00,20.40
1,1,15,16,24.10,20.00
1,1,16,17,23.00,19.20
1,1,17,18,19.90,16.30
1,1,18,19,18.00,15.00
1,1,19,20,17.10,14.50
1,1,20,21,16.00,13.70
1,1,21,22,16.00,13.70
1,1,22,23,21.00,18.30
1,1,23,24,24.10,20.60
1,2,0,25,24.10,20.60
1,2,1,26,24.10,21.60
1,2,2,27,23.00,22.00
1,2,3,28,23.00,21.70
1,2,4,29,23.00,21.10
1,2,5,30,24.10,21.30
1,2,6,31,23.00,20.60
1,2,7,32,24.10,21.30
1,2,8,33,23.00,20.60
1,2,9,34,24.10,21.30
1,2,10,35,26.10,22.70
1,2,11,36,27.00,23.00
1,2,12,37,28.90,24.50
1,2,13,38,30.00,25.40
1,2,14,39,30.90,26.50
1,2,15,40,32.00,27.20
1,2,16,41,32.00,27.20
1,2,17,42,32.00,27.20
1,2,18,43,30.90,27.00
1,2,19,44,32.00,28.00
1,2,20,45,32.00,27.90
1,2,21,46,28.90,27.80
1,2,22,47,27.00,25.90
1,2,23,48,26.10,24.90
1,3,0,49,26.10,24.90
1,3,1,50,25.00,23.90
1,3,2,51,24.10,23.30
1,3,3,52,24.10,23.30
1,3,4,53,23.00,22.60
1,3,5,54,23.00,22.30
1,3,6,55,19.90,19.30
1,3,7,56,18.00,17.40
1,3,8,57,17.10,16.20
1,3,9,58,17.10,16.50
1,3,10,59,15.10,14.30
1,3,11,60,15.10,14.30
1,3,12,61,15.10,14.30
1,3,13,62,15.10,14.50
1,3,14,63,15.10,14.30
1,3,15,64,16.00,15.20
1,3,16,65,16.00,15.20
1,3,17,66,16.00,15.20
1,3,18,67,15.10,14.10
1,3,19,68,14.00,13.30
1,3,20,69,12.00,11.30
1,3,21,70,10.90,10.50
1,3,22,71,10.90,10.40
1,3,23,72,10.90,10.40
1,4,0,73,10.00,9.30
1,4,1,74,10.00,9.20
1,4,2,75,10.00,9.20
1,4,3,76,10.00,9.10
1,4,4,77,9.00,8.30
1,4,5,78,9.00,8.10
1,4,6,79,9.00,8.10
1,4,7,80,5.00,4.40
1,4,8,81,5.00,4.30
1,4,9,82,7.00,6.20
1,4,10,83,10.00,8.90
1,4,11,84,10.90,10.00
1,4,12,85,14.00,12.30
1,4,13,86,12.90,11.40
1,4,14,87,12.90,11.10
1,4,15,88,12.90,11.10
1,4,16,89,10.90,9.40
