MON,DAY,HR,HR OF YR,DRY BULB,WET BULB
1,1,0,1,48.00,47.50
1,1,1,2,34.00,29.70
1,1,2,3,32.00,28.50
1,1,3,4,30.90,30.40
1,1,4,5,32.00,31.00
1,1,5,6,30.90,29.20
1,1,6,7,28.90,28.00
1,1,7,8,28.00,26.70
1,1,8,9,30.00,28.70
1,1,9,10,30.90,29.20
1,1,10,11,34.00,31.40
1,1,11,12,37.00,33.50
1,1,12,13,39.00,33.90
1,1,13,14,41.00,35.00
1,1,14,15,42.10,35.70
1,1,15,16,41.00,35.80
1,1,16,17,39.00,34.30
1,1,17,18,35.10,32.00
1,1,18,19,34.00,31.00
1,1,19,20,34.00,31.40
1,1,20,21,33.10,31.20
1,1,21,22,30.90,29.20
1,1,22,23,30.90,29.20
1,1,23,24,30.90,29.60
1,2,0,25,30.90,29.20
1,2,1,26,32.00,29.60
1,2,2,27,30.00,28.40
1,2,3,28,28.90,27.30
1,2,4,29,30.90,27.90
1,2,5,30,28.90,25.70
1,2,6,31,24.10,23.30
1,2,7,32,28.90,26.30
1,2,8,33,26.10,25.60
1,2,9,34,28.90,27.00
1,2,10,35,33.10,28.30
1,2,11,36,34.00,29.70
1,2,12,37,36.00,30.90
1,2,13,38,37.90,32.30
1,2,14,39,39.00,32.60
1,2,15,40,39.00,32.30
1,2,16,41,37.90,31.70
1,2,17,42,34.00,29.20
1,2,18,43,33.10,29.50
1,2,19,44,32.00,29.20
1,2,20,45,30.00,28.40
1,2,21,46,28.90,27.10
1,2,22,47,30.00,28.40
1,2,23,48,30.90,29.00
1,3,0,49,30.00,27.40
1,3,1,50,30.00,28.00
1,3,2,51,30.00,26.80
1,3,3,52,30.00,27.70
1,3,4,53,32.00,26.90
1,3,5,54,32.00,27.20
1,3,6,55,30.90,26.50
1,3,7,56,34.00,28.40
1,3,8,57,32.00,26.60
1,3,9,58,37.00,28.20
1,3,10,59,37.90,28.80
1,3,11,60,37.90,29.00
1,3,12,61,39.90,30.00
1,3,13,62,41.00,30.40
1,3,14,63,42.10,31.20
1,3,15,64,39.90,30.30
1,3,16,65,39.90,30.50
1,3,17,66,39.90,30.50
1,3,18,67,39.90,30.10
1,3,19,68,39.90,30.00
1,3,20,69,39.90,30.00
1,3,21,70,39.90,30.00
1,3,22,71,39.90,30.10
1,3,23,72,39.90,30.50
1,4,0,73,39.00,30.40
1,4,1,74,39.00,30.20
1,4,2,75,39.00,30.40
1,4,3,76,39.00,30.60
1,4,4,77,39.00,30.60
1,4,5,78,37.90,30.00
1,4,6,79,37.90,30.20
1,4,7,80,39.00,31.30
1,4,8,81,37.90,30.60
1,4,9,82,39.00,31.30
1,4,10,83,39.90,31.80
1,4,11,84,39.90,32.00
1,4,12,85,41.00,33.00
1,4,13,86,42.10,33.60
1,4,14,87,43.00,34.10
1,4,15,88,41.00,35.10
1,4,16,89,42.10,34.50
1,4,17,90,39.90,32.60
1,4,18,91,39.90,33.20
1,4,19,92,39.90,32.30
1,4,20,93,39.90,32.30
1,4,21,94,39.90,32.30
1,4,22,95,39.90,32.00
1,4,23,96,39.90,32.30
1,5,0,97,39.00,32.70
1,5,1,98,37.90,31.20
1,5,2,99,37.90,30.90
1,5,3,100,37.90,31.20
1,5,4,101,39.00,31.80
1,5,5,102,37.90,31.20
1,5,6,103,37.90,31.40
1,5,7,104,39.00,32.10
1,5,8,105,39.00,32.10
1,5,9,106,39.00,32.30
1,5,10,107,39.90,32.60
1,5,11,108,42.10,34.10
1,5,12,109,43.00,34.60
1,5,13,110,44.10,35.90
1,5,14,111,45.00,36.40
1,5,15,112,46.00,37.20
1,5,16,113,42.10,36.10
1,5,17,114,42.10,34.80
1,5,18,115,42.10,34.80
1,5,19,116,41.00,34.10
1,5,20,117,41.00,34.40
1,5,21,118,39.90,34.20
1,5,22,119,39.90,36.00
1,5,23,120,39.00,35.10
1,6,0,121,39.90,34.90
1,6,1,122,39.90,34.50
1,6,2,123,39.90,33.80
1,6,3,124,39.00,34.00
1,6,4,125,39.00,33.60
1,6,5,126,37.90,32.30
1,6,6,127,37.90,33.30
1,6,7,128,36.00,33.40
1,6,8,129,37.90,33.70
1,6,9,130,37.90,33.70
1,6,10,131,42.10,35.40
1,6,11,132,44.10,36.80
1,6,12,133,45.00,37.70
1,6,13,134,44.10,37.90
1,6,14,135,44.10,38.70
1,6,15,136,43.00,38.10
1,6,16,137,43.00,38.10
1,6,17,138,41.00,37.10
1,6,18,139,42.10,38.10
1,6,19,140,42.10,37.70
1,6,20,141,42.10,37.20
1,6,21,142,41.00,34.80
1,6,22,143,41.00,34.80
1,6,23,144,39.90,34.50
1,7,0,145,39.00,33.30
1,7,1,146,37.90,32.60
1,7,2,147,39.00,33.00
1,7,3,148,37.90,29.10
1,7,4,149,37.90,32.60
1,7,5,150,37.90,32.60
1,7,6,151,39.00,33.00
1,7,7,152,37.90,32.40
1,7,8,153,39.00,33.00
1,7,9,154,39.00,33.00
1,7,10,155,41.00,34.20
1,7,11,156,44.10,35.90
1,7,12,157,46.00,37.00
1,7,13,158,48.00,38.70
1,7,14,159,48.00,38.30
1,7,15,160,46.90,37.50
1,7,16,161,46.00,37.00
1,7,17,162,43.00,35.30
1,7,18,163,42.10,34.80
1,7,19,164,41.00,34.20
1,7,20,165,41.00,34.20
1,7,21,166,39.90,33.60
1,7,22,167,39.00,33.00
1,7,23,168,36.00,31.60
1,8,0,169,35.10,31.70
1,8,1,170,37.90,32.40
1,8,2,171,37.90,32.40
1,8,3,172,39.00,32.10
1,8,4,173,39.00,31.80
1,8,5,174,39.00,32.70
1,8,6,175,39.90,33.60
1,8,7,176,39.90,33.60
1,8,8,177,41.00,34.50
1,8,9,178,42.10,35.10
1,8,10,179,39.00,35.60
1,8,11,180,37.00,34.90
1,8,12,181,37.00,35.40
1,8,13,182,37.90,35.90
1,8,14,183,37.00,35.40
1,8,15,184,37.00,34.90
1,8,16,185,37.00,34.90
1,8,17,186,37.00,34.90
1,8,18,187,37.00,35.30
1,8,19,188,37.00,34.90
1,8,20,189,37.90,35.80
1,8,21,190,39.00,36.00
1,8,22,191,39.00,34.70
1,8,23,192,39.00,36.00
1,9,0,193,37.90,35.40
1,9,1,194,39.90,36.50
1,9,2,195,39.00,36.00
1,9,3,196,36.00,34.30
1,9,4,197,37.00,34.90
1,9,5,198,37.90,35.40
1,9,6,199,37.00,34.90
1,9,7,200,37.90,35.40
1,9,8,201,39.00,35.60
1,9,9,202,39.90,36.50
1,9,10,203,41.00,37.90
1,9,11,204,41.00,37.20
1,9,12,205,41.00,37.20
1,9,13,206,42.10,37.80
1,9,14,207,42.10,37.80
1,9,15,208,43.00,38.30
1,9,16,209,46.00,39.80
1,9,17,210,46.00,39.80
1,9,18,211,46.90,40.30
1,9,19,212,46.90,39.90
1,9,20,213,46.90,44.90
1,9,21,214,46.00,44.50
1,9,22,215,46.00,44.00
1,9,23,216,45.00,44.60
1,10,0,217,44.10,43.60
1,10,1,218,44.10,43.10
1,10,2,219,43.00,42.10
1,10,3,220,42.10,41.60
1,10,4,221,43.00,42.60
1,10,5,222,42.10,41.60
1,10,6,223,42.10,41.60
1,10,7,224,42.10,41.10
1,10,8,225,42.10,41.10
1,10,9,226,43.00,40.20
1,10,10,227,42.10,39.30
1,10,11,228,44.10,40.40
1,10,12,229,43.00,40.30
1,10,13,230,45.00,40.10
1,10,14,231,44.10,40.10
1,10,15,232,44.10,40.10
1,10,16,233,44.10,40.50
1,10,17,234,43.00,40.40
1,10,18,235,41.00,40.20
1,10,19,236,41.00,40.20
1,10,20,237,41.00,40.20
1,10,21,238,41.00,40.20
1,10,22,239,39.90,39.70
1,10,23,240,41.00,39.30
1,11,0,241,39.90,39.20
1,11,1,242,39.90,39.20
1,11,2,243,37.90,37.70
1,11,3,244,37.90,38.10
1,11,4,245,37.00,37.20
1,11,5,246,37.90,38.10
1,11,6,247,37.90,37.60
1,11,7,248,39.00,38.20
1,11,8,249,39.00,38.60
1,11,9,250,39.90,38.20
1,11,10,251,39.90,38.20
1,11,11,252,43.00,40.60
1,11,12,253,43.00,40.20
1,11,13,254,44.10,40.40
1,11,14,255,44.10,40.30
1,11,15,256,45.00,41.60
1,11,16,257,45.00,41.60
1,11,17,258,44.10,40.80
1,11,18,259,43.00,40.20
1,11,19,260,42.10,39.70
1,11,20,261,42.10,39.20
1,11,21,262,42.10,40.10
1,11,22,263,41.00,39.10
1,11,23,264,41.00,38.70
1,12,0,265,41.00,39.10
1,12,1,266,39.00,37.60
1,12,2,267,37.90,36.60
1,12,3,268,39.00,37.20
1,12,4,269,39.00,37.20
1,12,5,270,37.90,36.60
1,12,6,271,37.00,35.30
1,12,7,272,39.90,36.50
1,12,8,273,39.00,36.40
1,12,9,274,39.00,35.50
1,12,10,275,39.90,36.00
1,12,11,276,41.00,36.60
1,12,12,277,42.10,37.70
1,12,13,278,44.10,38.80
1,12,14,279,45.00,38.50
1,12,15,280,45.00,38.50
1,12,16,281,44.10,37.60
1,12,17,282,44.10,38.00
1,12,18,283,44.10,38.00
1,12,19,284,42.10,38.10
1,12,20,285,41.00,38.30
1,12,21,286,37.90,37.50
1,12,22,287,37.90,37.50
1,12,23,288,39.00,38.10
1,13,0,289,39.00,38.50
1,13,1,290,39.00,38.50
1,13,2,291,39.00,38.50
1,13,3,292,39.00,38.10
1,13,4,293,37.90,37.50
