MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,12.90,11.10,
1,1,1,2,12.00,10.40,
1,1,2,3,10.90,9.60,
1,1,3,4,10.90,9.60,
1,1,4,5,10.00,8.70,
1,1,5,6,9.00,7.80,
1,1,6,7,9.00,7.80,
1,1,7,8,7.00,6.00,
1,1,8,9,6.10,5.10,
1,1,9,10,10.00,8.70,
1,1,10,11,12.90,11.30,
1,1,11,12,17.10,14.80,
1,1,12,13,19.90,17.30,
1,1,13,14,21.90,18.90,
1,1,14,15,19.90,17.50,
1,1,15,16,21.00,18.20,
1,1,16,17,19.00,16.80,
1,1,17,18,19.00,16.80,
1,1,18,19,19.00,16.80,
1,1,19,20,19.00,17.10,
1,1,20,21,19.00,17.60,
1,1,21,22,19.90,18.70,
1,1,22,23,21.00,19.80,
1,1,23,24,21.90,20.70,
1,2,0,25,21.90,20.70,
1,2,1,26,24.10,22.10,
1,2,2,27,25.00,22.70,
1,2,3,28,25.00,22.70,
1,2,4,29,25.00,22.50,
1,2,5,30,25.00,22.20,
1,2,6,31,25.00,22.20,
1,2,7,32,23.00,20.60,
1,2,8,33,21.90,19.90,
1,2,9,34,19.90,18.50,
1,2,10,35,25.00,22.50,
1,2,11,36,25.00,22.70,
1,2,12,37,27.00,23.80,
1,2,13,38,28.00,24.70,
1,2,14,39,28.00,24.70,
1,2,15,40,27.00,24.00,
1,2,16,41,27.00,24.30,
1,2,17,42,25.00,22.70,
1,2,18,43,26.10,23.80,
1,2,19,44,26.10,24.00,
1,2,20,45,26.10,24.40,
1,2,21,46,27.00,25.00,
1,2,22,47,28.90,26.80,
1,2,23,48,28.90,26.80,
1,3,0,49,30.00,27.80,
1,3,1,50,28.00,26.20,
1,3,2,51,28.00,25.90,
1,3,3,52,28.90,26.80,
1,3,4,53,30.90,28.40,
1,3,5,54,30.90,28.70,
1,3,6,55,30.90,28.70,
1,3,7,56,30.90,28.70,
1,3,8,57,32.00,29.70,
1,3,9,58,33.10,30.40,
1,3,10,59,34.00,31.20,
1,3,11,60,35.10,32.20,
1,3,12,61,36.00,33.10,
1,3,13,62,37.00,33.70,
1,3,14,63,37.90,34.70,
1,3,15,64,37.90,34.20,
1,3,16,65,37.00,33.70,
1,3,17,66,37.00,33.70,
1,3,18,67,36.00,33.10,
1,3,19,68,37.00,33.30,
1,3,20,69,35.10,31.80,
1,3,21,70,36.00,32.30,
1,3,22,71,34.00,31.10,
1,3,23,72,32.00,29.30,
1,4,0,73,30.00,27.40,
1,4,1,74,34.00,31.90,
1,4,2,75,35.10,33.00,
1,4,3,76,35.10,33.00,
1,4,4,77,35.10,32.50,
1,4,5,78,35.10,32.10,
1,4,6,79,35.10,32.10,
1,4,7,80,34.00,31.10,
1,4,8,81,33.10,30.30,
1,4,9,82,34.00,31.10,
1,4,10,83,34.00,31.80,
1,4,11,84,34.00,31.50,
1,4,12,85,33.10,31.00,
1,4,13,86,33.10,31.00,
1,4,14,87,33.10,31.30,
1,4,15,88,33.10,31.30,
1,4,16,89,35.10,32.90,
1,4,17,90,35.10,32.90,
1,4,18,91,35.10,32.90,
1,4,19,92,35.10,32.90,
1,4,20,93,34.00,32.30,
1,4,21,94,34.00,32.30,
1,4,22,95,34.00,32.30,
1,4,23,96,34.00,31.90,
1,5,0,97,35.10,32.90,
1,5,1,98,36.00,35.60,
1,5,2,99,36.00,35.20,
1,5,3,100,36.00,36.00,
1,5,4,101,36.00,36.00,
1,5,5,102,36.00,36.00,
1,5,6,103,36.00,36.00,
1,5,7,104,36.00,36.00,
1,5,8,105,35.10,35.10,
1,5,9,106,34.00,33.60,
1,5,10,107,33.10,32.10,
1,5,11,108,33.10,32.10,
1,5,12,109,30.90,29.70,
1,5,13,110,30.90,28.90,
1,5,14,111,30.00,28.80,
1,5,15,112,28.90,27.40,
1,5,16,113,28.90,26.70,
1,5,17,114,28.90,26.30,
1,5,18,115,32.00,28.60,
1,5,19,116,30.90,27.60,
1,5,20,117,30.90,27.60,
1,5,21,118,30.90,26.90,
1,5,22,119,30.90,27.00,
1,5,23,120,30.00,26.20,
1,6,0,121,30.00,26.20,
1,6,1,122,28.90,25.80,
1,6,2,123,28.90,25.80,
1,6,3,124,28.00,24.90,
1,6,4,125,28.00,25.20,
1,6,5,126,28.00,25.20,
1,6,6,127,28.00,25.20,
1,6,7,128,28.00,25.20,
1,6,8,129,28.00,25.20,
1,6,9,130,27.00,24.40,
1,6,10,131,27.00,26.00,
1,6,11,132,27.00,26.30,
1,6,12,133,27.00,26.30,
1,6,13,134,27.00,26.80,
1,6,14,135,27.00,26.40,
1,6,15,136,27.00,26.80,
1,6,16,137,28.00,27.80,
1,6,17,138,28.90,28.70,
1,6,18,139,30.00,29.80,
1,6,19,140,28.90,29.10,
1,6,20,141,23.00,22.20,
1,6,21,142,21.00,20.20,
1,6,22,143,19.90,19.50,
1,6,23,144,19.00,18.00,
1,7,0,145,18.00,17.30,
1,7,1,146,18.00,17.30,
1,7,2,147,19.00,18.00,
1,7,3,148,19.90,18.90,
1,7,4,149,19.00,18.30,
1,7,5,150,19.00,18.20,
1,7,6,151,19.00,18.20,
1,7,7,152,19.00,18.20,
1,7,8,153,19.00,18.20,
1,7,9,154,19.90,18.60,
1,7,10,155,19.90,18.90,
1,7,11,156,21.00,19.90,
1,7,12,157,21.90,20.50,
1,7,13,158,21.90,20.50,
1,7,14,159,21.90,20.50,
1,7,15,160,21.90,20.50,
1,7,16,161,21.90,20.50,
1,7,17,162,21.90,19.90,
1,7,18,163,21.00,19.10,
1,7,19,164,19.00,16.90,
1,7,20,165,17.10,15.10,
1,7,21,166,14.00,12.70,
1,7,22,167,12.00,10.90,
1,7,23,168,10.90,10.10,
1,8,0,169,10.90,10.10,
1,8,1,170,12.00,10.90,
1,8,2,171,12.00,10.90,
1,8,3,172,12.00,11.20,
1,8,4,173,12.90,12.00,
1,8,5,174,14.00,12.70,
1,8,6,175,14.00,12.70,
1,8,7,176,12.90,11.60,
1,8,8,177,14.00,12.80,
1,8,9,178,14.00,12.60,
1,8,10,179,14.00,12.80,
1,8,11,180,15.10,13.60,
1,8,12,181,14.00,12.40,
1,8,13,182,12.90,11.60,
1,8,14,183,12.00,10.50,
1,8,15,184,10.00,8.40,
1,8,16,185,7.00,5.70,
1,8,17,186,6.10,4.60,
1,8,18,187,5.00,3.60,
1,8,19,188,5.00,4.10,
1,8,20,189,6.10,4.90,
1,8,21,190,5.00,3.50,
1,8,22,191,1.90,0.80,
1,8,23,192,1.00,0.10,
1,9,0,193,1.00,0.00,
1,9,1,194,-2.00,-2.90,
1,9,2,195,-2.00,-3.10,
1,9,3,196,-2.90,-3.70,
1,9,4,197,-2.90,-3.90,
1,9,5,198,-5.10,-5.80,
1,9,6,199,-6.00,-6.70,
1,9,7,200,-7.10,-8.00,
1,9,8,201,-8.00,-8.80,
1,9,9,202,-8.00,-8.80,
1,9,10,203,-7.10,-7.70,
1,9,11,204,-7.10,-7.70,
1,9,12,205,-6.00,-6.70,
1,9,13,206,-5.10,-6.10,
1,9,14,207,-5.10,-6.10,
1,9,15,208,-5.10,-6.00,
1,9,16,209,-6.00,-6.80,
1,9,17,210,-7.10,-8.00,
1,9,18,211,-8.00,-8.80,
1,9,19,212,-9.00,-9.70,
1,9,20,213,-9.00,-9.60,
1,9,21,214,-9.90,-10.50,
1,9,22,215,-9.90,-10.70,
1,9,23,216,-11.00,-11.70,
1,10,0,217,-9.00,-10.00,
1,10,1,218,-9.90,-10.70,
1,10,2,219,-9.90,-10.70,
1,10,3,220,-9.00,-9.80,
1,10,4,221,-9.00,-9.70,
1,10,5,222,-9.00,-9.70,
1,10,6,223,-8.00,-8.80,
1,10,7,224,-6.00,-6.80,
1,10,8,225,-5.10,-5.90,
1,10,9,226,-4.00,-4.80,
1,10,10,227,-0.90,-1.70,
1,10,11,228,1.90,0.80,
1,10,12,229,3.90,2.80,
1,10,13,230,3.90,2.60,
1,10,14,231,3.90,2.40,
1,10,15,232,5.00,3.10,
1,10,16,233,3.90,2.20,
1,10,17,234,1.90,0.40,
1,10,18,235,0.00,-1.30,
1,10,19,236,0.00,-1.30,
1,10,20,237,-2.00,-3.10,
1,10,21,238,-2.90,-4.10,
1,10,22,239,-4.00,-5.10,
1,10,23,240,-5.10,-6.20,
1,11,0,241,-6.00,-7.00,
1,11,1,242,-6.00,-7.00,
1,11,2,243,-8.00,-8.80,
