MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,38.70,36.70,
1,1,1,2,37.90,38.00,
1,1,2,3,37.60,37.60,
1,1,3,4,37.40,37.40,
1,1,4,5,37.00,37.00,
1,1,5,6,36.70,36.60,
1,1,6,7,36.30,36.00,
1,1,7,8,36.00,35.50,
1,1,8,9,36.00,35.40,
1,1,9,10,36.00,35.40,
1,1,10,11,36.00,35.50,
1,1,11,12,36.30,35.70,
1,1,12,13,36.70,35.80,
1,1,13,14,37.00,36.00,
1,1,14,15,37.00,36.00,
1,1,15,16,37.00,36.00,
1,1,16,17,37.00,36.00,
1,1,17,18,37.00,36.00,
1,1,18,19,37.00,36.00,
1,1,19,20,37.00,36.00,
1,1,20,21,37.00,35.90,
1,1,21,22,37.00,35.90,
1,1,22,23,37.00,36.00,
1,1,23,24,36.70,36.00,
1,2,0,25,36.30,35.90,
1,2,1,26,36.00,35.90,
1,2,2,27,34.70,34.30,
1,2,3,28,33.30,32.70,
1,2,4,29,32.00,31.10,
1,2,5,30,30.70,30.20,
1,2,6,31,29.30,28.90,
1,2,7,32,28.00,28.00,
1,2,8,33,29.70,29.50,
1,2,9,34,31.50,31.10,
1,2,10,35,33.10,32.60,
1,2,11,36,39.40,37.60,
1,2,12,37,45.70,42.20,
1,2,13,38,52.00,46.30,
1,2,14,39,53.20,46.50,
1,2,15,40,54.70,46.90,
1,2,16,41,55.90,46.80,
1,2,17,42,54.30,46.20,
1,2,18,43,52.70,45.50,
1,2,19,44,51.10,44.60,
1,2,20,45,50.00,44.00,
1,2,21,46,49.10,43.40,
1,2,22,47,48.00,42.70,
1,2,23,48,48.00,43.10,
1,3,0,49,48.00,43.30,
1,3,1,50,48.00,43.60,
1,3,2,51,46.80,43.50,
1,3,3,52,45.30,43.30,
1,3,4,53,44.10,43.10,
1,3,5,54,44.10,43.30,
1,3,6,55,44.10,43.50,
1,3,7,56,44.10,43.60,
1,3,8,57,42.40,42.10,
1,3,9,58,40.60,40.50,
1,3,10,59,39.00,39.00,
1,3,11,60,37.00,36.90,
1,3,12,61,35.10,34.80,
1,3,13,62,33.10,32.60,
1,3,14,63,33.40,32.90,
1,3,15,64,33.60,32.80,
1,3,16,65,34.00,33.10,
1,3,17,66,33.30,32.00,
1,3,18,67,32.70,30.90,
1,3,19,68,32.00,29.60,
1,3,20,69,31.30,28.90,
1,3,21,70,30.70,27.80,
1,3,22,71,30.00,26.40,
1,3,23,72,29.30,25.90,
1,4,0,73,28.80,25.40,
1,4,1,74,28.00,24.10,
1,4,2,75,26.10,23.00,
1,4,3,76,23.90,21.30,
1,4,4,77,21.90,19.50,
1,4,5,78,21.00,18.90,
1,4,6,79,19.90,17.90,
1,4,7,80,19.00,16.80,
1,4,8,81,18.30,16.60,
1,4,9,82,17.80,16.50,
1,4,10,83,17.10,15.90,
1,4,11,84,17.40,16.30,
1,4,12,85,17.60,16.40,
1,4,13,86,18.00,16.50,
1,4,14,87,17.60,16.20,
1,4,15,88,17.40,15.80,
1,4,16,89,17.10,15.20,
1,4,17,90,16.70,14.90,
1,4,18,91,16.30,14.40,
1,4,19,92,16.00,13.80,
1,4,20,93,14.70,12.90,
1,4,21,94,13.30,11.80,
1,4,22,95,12.00,10.60,
1,4,23,96,11.70,10.70,
1,5,0,97,11.30,10.40,
1,5,1,98,10.90,10.20,
1,5,2,99,9.30,8.80,
1,5,3,100,7.70,7.30,
1,5,4,101,6.10,5.80,
1,5,5,102,5.00,4.70,
1,5,6,103,4.10,3.80,
1,5,7,104,3.00,2.60,
1,5,8,105,4.30,4.00,
1,5,9,106,5.70,5.40,
1,5,10,107,7.00,6.70,
1,5,11,108,10.60,10.00,
1,5,12,109,14.40,13.30,
1,5,13,110,18.00,16.30,
1,5,14,111,18.70,16.80,
1,5,15,112,19.20,17.10,
1,5,16,113,19.90,17.20,
1,5,17,114,19.60,17.10,
1,5,18,115,19.40,17.00,
1,5,19,116,19.00,16.30,
1,5,20,117,17.40,15.50,
1,5,21,118,15.60,14.10,
1,5,22,119,14.00,12.70,
1,5,23,120,12.90,11.90,
1,6,0,121,12.00,11.20,
1,6,1,122,10.90,10.20,
1,6,2,123,10.20,9.60,
1,6,3,124,9.70,9.10,
1,6,4,125,9.00,8.50,
1,6,5,126,8.20,7.80,
1,6,6,127,7.70,7.30,
1,6,7,128,7.00,6.50,
1,6,8,129,10.00,9.50,
1,6,9,130,12.90,12.40,
1,6,10,131,16.00,15.40,
1,6,11,132,23.00,21.30,
1,6,12,133,30.00,26.60,
1,6,13,134,37.00,30.80,
1,6,14,135,39.00,32.10,
1,6,15,136,41.00,33.10,
1,6,16,137,43.00,33.40,
1,6,17,138,39.90,32.10,
1,6,18,139,37.00,30.20,
1,6,19,140,34.00,27.70,
1,6,20,141,33.30,28.20,
1,6,21,142,32.70,28.20,
1,6,22,143,32.00,27.60,
1,6,23,144,30.90,27.20,
1,7,0,145,30.00,26.50,
1,7,1,146,28.90,25.50,
1,7,2,147,32.00,27.70,
1,7,3,148,34.90,29.40,
1,7,4,149,37.90,30.30,
1,7,5,150,38.70,31.30,
1,7,6,151,39.20,31.70,
1,7,7,152,39.90,31.70,
1,7,8,153,41.40,33.00,
1,7,9,154,42.60,33.70,
1,7,10,155,44.10,34.10,
1,7,11,156,43.30,35.20,
1,7,12,157,42.80,35.80,
1,7,13,158,42.10,36.10,
1,7,14,159,41.00,35.90,
1,7,15,160,40.10,35.70,
1,7,16,161,39.00,35.20,
1,7,17,162,38.30,35.80,
1,7,18,163,37.80,36.20,
1,7,19,164,37.00,36.60,
1,7,20,165,37.00,36.70,
1,7,21,166,37.00,37.00,
1,7,22,167,37.00,37.10,
1,7,23,168,36.00,36.00,
1,8,0,169,35.10,35.10,
1,8,1,170,34.00,34.00,
1,8,2,171,31.60,31.30,
1,8,3,172,29.30,28.90,
1,8,4,173,27.00,26.20,
1,8,5,174,25.00,24.30,
1,8,6,175,23.00,22.40,
1,8,7,176,21.00,20.30,
