MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,13.60,12.10,
1,1,1,2,8.40,7.00,
1,1,2,3,8.10,6.50,
1,1,3,4,8.10,6.60,
1,1,4,5,8.10,6.60,
1,1,5,6,8.10,6.30,
1,1,6,7,7.70,6.10,
1,1,7,8,7.30,5.50,
1,1,8,9,7.00,5.00,
1,1,9,10,11.70,9.30,
1,1,10,11,16.30,13.20,
1,1,11,12,21.00,16.70,
1,1,12,13,22.10,17.90,
1,1,13,14,23.00,18.50,
1,1,14,15,24.10,18.90,
1,1,15,16,22.10,18.30,
1,1,16,17,19.90,17.00,
1,1,17,18,18.00,15.60,
1,1,18,19,16.70,14.70,
1,1,19,20,15.30,13.30,
1,1,20,21,14.00,11.90,
1,1,21,22,15.10,12.70,
1,1,22,23,16.00,13.20,
1,1,23,24,17.10,13.50,
1,2,0,25,16.30,12.90,
1,2,1,26,15.80,12.20,
1,2,2,27,15.10,11.00,
1,2,3,28,15.10,11.00,
1,2,4,29,15.10,10.80,
1,2,5,30,15.10,10.20,
1,2,6,31,16.00,11.30,
1,2,7,32,17.10,12.20,
1,2,8,33,18.00,12.60,
1,2,9,34,23.90,18.20,
1,2,10,35,30.00,23.60,
1,2,11,36,36.00,28.50,
1,2,12,37,37.00,29.20,
1,2,13,38,37.90,29.40,
1,2,14,39,39.00,29.10,
1,2,15,40,36.30,27.90,
1,2,16,41,33.60,26.30,
1,2,17,42,30.90,23.90,
1,2,18,43,29.30,23.50,
1,2,19,44,27.70,22.60,
1,2,20,45,26.10,21.20,
1,2,21,46,26.40,21.60,
1,2,22,47,26.60,21.50,
1,2,23,48,27.00,21.00,
1,3,0,49,26.60,21.20,
1,3,1,50,26.40,21.00,
1,3,2,51,26.10,20.30,
1,3,3,52,23.00,19.50,
1,3,4,53,20.10,18.00,
1,3,5,54,17.10,16.20,
1,3,6,55,17.40,16.60,
1,3,7,56,17.60,16.80,
1,3,8,57,18.00,17.10,
1,3,9,58,16.30,15.10,
1,3,10,59,14.50,13.00,
1,3,11,60,12.90,10.90,
1,3,12,61,12.60,10.80,
1,3,13,62,12.40,10.60,
1,3,14,63,12.00,10.00,
1,3,15,64,8.10,6.50,
1,3,16,65,3.90,2.60,
1,3,17,66,0.00,-1.30,
1,3,18,67,-0.80,-1.90,
1,3,19,68,-1.30,-2.40,
1,3,20,69,-2.00,-3.20,
1,3,21,70,-2.00,-3.10,
1,3,22,71,-2.00,-3.10,
1,3,23,72,-2.00,-3.20,
1,4,0,73,-2.70,-3.70,
1,4,1,74,-3.30,-4.30,
1,4,2,75,-4.00,-5.00,
1,4,3,76,-4.40,-5.30,
1,4,4,77,-4.70,-5.60,
1,4,5,78,-5.10,-6.10,
1,4,6,79,-4.00,-4.80,
1,4,7,80,-3.10,-3.80,
1,4,8,81,-2.00,-2.60,
1,4,9,82,-0.80,-1.50,
1,4,10,83,0.70,-0.10,
1,4,11,84,1.90,0.80,
1,4,12,85,3.40,2.40,
1,4,13,86,4.60,3.50,
1,4,14,87,6.10,4.70,
1,4,15,88,8.10,6.60,
1,4,16,89,10.00,8.20,
1,4,17,90,12.00,9.60,
1,4,18,91,11.70,9.90,
1,4,19,92,11.30,9.70,
1,4,20,93,10.90,9.40,
1,4,21,94,10.90,9.00,
1,4,22,95,10.90,8.30,
1,4,23,96,10.90,7.40,
1,5,0,97,9.00,6.50,
1,5,1,98,7.00,5.10,
1,5,2,99,5.00,3.50,
1,5,3,100,4.60,2.90,
1,5,4,101,4.30,2.40,
1,5,5,102,3.90,1.50,
1,5,6,103,5.00,2.60,
1,5,7,104,5.90,3.20,
1,5,8,105,7.00,3.80,
1,5,9,106,10.90,7.50,
1,5,10,107,15.10,11.00,
1,5,11,108,19.00,14.10,
1,5,12,109,19.80,15.10,
1,5,13,110,20.30,15.50,
1,5,14,111,21.00,15.60,
1,5,15,112,19.00,14.50,
1,5,16,113,17.10,13.00,
1,5,17,114,15.10,11.00,
1,5,18,115,12.70,9.30,
1,5,19,116,10.40,7.20,
1,5,20,117,8.10,4.90,
1,5,21,118,8.80,5.70,
1,5,22,119,9.30,6.20,
1,5,23,120,10.00,6.50,
1,6,0,121,8.10,5.20,
1,6,1,122,5.90,3.40,
1,6,2,123,3.90,1.50,
1,6,3,124,1.60,-0.20,
1,6,4,125,-0.60,-2.00,
1,6,5,126,-2.90,-4.20,
1,6,6,127,-2.60,-3.80,
1,6,7,128,-2.40,-3.60,
1,6,8,129,-2.00,-3.40,
1,6,9,130,3.90,2.00,
1,6,10,131,10.00,7.20,
1,6,11,132,16.00,11.70,
1,6,12,133,16.30,12.80,
1,6,13,134,16.70,13.70,
1,6,14,135,17.10,14.30,
1,6,15,136,14.70,12.70,
1,6,16,137,12.40,10.90,
1,6,17,138,10.00,8.80,
1,6,18,139,9.30,8.30,
1,6,19,140,8.80,7.90,
1,6,20,141,8.10,7.10,
1,6,21,142,7.70,6.90,
1,6,22,143,7.30,6.60,
1,6,23,144,7.00,6.30,
1,7,0,145,7.30,6.60,
1,7,1,146,7.70,6.80,
1,7,2,147,8.10,7.00,
1,7,3,148,7.70,6.80,
1,7,4,149,7.30,6.40,
1,7,5,150,7.00,6.10,
1,7,6,151,5.00,4.10,
1,7,7,152,3.00,2.10,
1,7,8,153,1.00,-0.10,
1,7,9,154,3.70,2.60,
1,7,10,155,6.30,5.10,
1,7,11,156,9.00,7.40,
1,7,12,157,10.20,8.60,
1,7,13,158,11.70,9.80,
1,7,14,159,12.90,10.50,
1,7,15,160,11.30,9.50,
1,7,16,161,9.70,8.10,
1,7,17,162,8.10,6.70,
1,7,18,163,7.70,6.60,
1,7,19,164,7.30,6.30,
1,7,20,165,7.00,6.10,
1,7,21,166,5.40,4.40,
1,7,22,167,3.60,2.60,
1,7,23,168,1.90,0.70,
1,8,0,169,1.20,0.20,
1,8,1,170,0.70,-0.20,
1,8,2,171,0.00,-0.90,
1,8,3,172,0.00,-0.90,
1,8,4,173,0.00,-1.00,
1,8,5,174,0.00,-1.10,
1,8,6,175,-0.90,-1.90,
1,8,7,176,-2.00,-2.90,
1,8,8,177,-2.90,-3.80,
1,8,9,178,-2.90,-3.80,
1,8,10,179,-2.90,-3.90,
1,8,11,180,-2.90,-4.10,
1,8,12,181,-2.00,-3.10,
1,8,13,182,-0.90,-2.10,
1,8,14,183,0.00,-1.40,
1,8,15,184,-1.70,-2.80,
1,8,16,185,-3.50,-4.50,
1,8,17,186,-5.10,-6.10,
1,8,18,187,-5.40,-6.30,
1,8,19,188,-5.60,-6.50,
1,8,20,189,-6.00,-7.00,
