,,,,,Electrical % Of Total,,,Natural Gas % Of Total,,
Building Type,Building Start Date,Building End Date,Climate Zone,Reference City,Electrical-Lighting-%,Electrical-HVAC-%,Electrical-Other-%,Natural Gas-Lighting-%,Natural Gas-HVAC-%,Natural Gas-Other-%
Full Service Restaurant,1900,1980,1A,"Miami, Florida",22.40%,37.24%,40.36%,0.00%,18.13%,81.87%
Hospital,1900,1980,1A,"Miami, Florida",18.52%,61.81%,19.67%,0.00%,88.85%,11.15%
Large Hotel,1900,1980,1A,"Miami, Florida",10.58%,77.75%,11.67%,0.00%,75.40%,24.60%
Large Office Building,1900,1980,1A,"Miami, Florida",26.38%,44.86%,28.77%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,1A,"Miami, Florida",29.90%,44.21%,25.89%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,1A,"Miami, Florida",22.62%,46.70%,30.69%,0.00%,100.00%,0.00%
Outpatient,1900,1980,1A,"Miami, Florida",16.01%,56.87%,27.12%,0.00%,93.24%,6.76%
Primary School,1900,1980,1A,"Miami, Florida",37.81%,37.65%,24.54%,0.00%,40.62%,59.38%
Quick Service Restaurant,1900,1980,1A,"Miami, Florida",23.75%,24.46%,51.79%,0.00%,9.47%,90.53%
Secondary School,1900,1980,1A,"Miami, Florida",30.85%,52.24%,16.92%,0.00%,55.78%,44.22%
Small Hotel,1900,1980,1A,"Miami, Florida",39.59%,34.55%,25.86%,0.00%,56.62%,43.38%
Small Office,1900,1980,1A,"Miami, Florida",33.72%,46.05%,20.24%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,1A,"Miami, Florida",46.95%,44.77%,8.27%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,1A,"Miami, Florida",53.82%,39.83%,6.35%,0.00%,100.00%,0.00%
Supermarket,1900,1980,1A,"Miami, Florida",21.64%,13.61%,64.76%,0.00%,38.46%,61.54%
Warehouse,1900,1980,1A,"Miami, Florida",67.63%,18.00%,14.38%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,2A,"Houston, Texas",23.79%,33.49%,42.71%,0.00%,34.34%,65.66%
Hospital,1900,1980,2A,"Houston, Texas",18.30%,62.27%,19.43%,0.00%,90.39%,9.61%
Large Hotel,1900,1980,2A,"Houston, Texas",12.08%,74.60%,13.32%,0.00%,80.23%,19.77%
Large Office Building,1900,1980,2A,"Houston, Texas",28.02%,41.41%,30.57%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,2A,"Houston, Texas",31.97%,40.35%,27.68%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,2A,"Houston, Texas",25.95%,38.84%,35.21%,0.00%,100.00%,0.00%
Outpatient,1900,1980,2A,"Houston, Texas",16.41%,55.80%,27.79%,0.00%,94.34%,5.66%
Primary School,1900,1980,2A,"Houston, Texas",41.22%,32.10%,26.68%,0.00%,76.81%,23.19%
Quick Service Restaurant,1900,1980,2A,"Houston, Texas",24.91%,21.11%,53.98%,0.00%,22.66%,77.34%
Secondary School,1900,1980,2A,"Houston, Texas",34.71%,46.31%,18.98%,0.00%,88.03%,11.97%
Small Hotel,1900,1980,2A,"Houston, Texas",42.61%,29.54%,27.85%,0.00%,61.05%,38.95%
Small Office,1900,1980,2A,"Houston, Texas",35.68%,42.91%,21.42%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,2A,"Houston, Texas",49.88%,41.34%,8.79%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,2A,"Houston, Texas",57.26%,35.99%,6.76%,0.00%,100.00%,0.00%
Supermarket,1900,1980,2A,"Houston, Texas",21.89%,17.13%,60.98%,0.00%,83.93%,16.07%
Warehouse,1900,1980,2A,"Houston, Texas",59.43%,27.94%,12.64%,0.00%,100.00%,0.00%
