Building Type,Electrical-Lighting-%,Electrical-HVAC-%,Electrical-Other-%,Natural Gas-Lighting-%,Natural Gas-HVAC-%,Natural Gas-Other-%
Full Service Restaurant,0.277393617,0.192825532,0.529774468,0,0.490746809,0.509253191
Hospital,0.183155319,0.575119149,0.241723404,0,0.90757234,0.092425532
Large Hotel,0.176895745,0.590748936,0.232359574,0,0.8589,0.141104255
Large Office Building,0.335355319,0.248485106,0.416155319,0,1,0
Medium Office Building,0.348640426,0.3059,0.345480851,0,1,0
Midrise Apartment,0.31583617,0.216804255,0.467376596,0,1,0
Outpatient,0.1717,0.505214894,0.323080851,0,0.945791489,0.054208511
Primary School,0.481885106,0.162695745,0.355425532,0,0.806621277,0.1934
Quick Service Restaurant,0.217808511,0.137995745,0.644193617,0,0.37212766,0.62787234
Secondary School,0.379531915,0.40057234,0.219887234,0,0.903191489,0.096819149
Small Hotel,0.412285106,0.267425532,0.320289362,0,0.733497872,0.266519149
Small Office,0.415317021,0.289461702,0.295223404,0,1,0
Standalone Retail,0.567991489,0.306123404,0.125897872,0,1,0
Strip Mall,0.650417021,0.249789362,0.099808511,0,1,0
Supermarket,0.225042553,0.158991489,0.615974468,0,0.883638298,0.116368085
Warehouse,0.629376596,0.251240426,0.119410638,0,1,0
Average Building,0.3315,0.1706,0.4964,,,
