site_id,address
3,"2888 BRICE ROAD, COLUMBUS, OH, 43232"
4,"2700 RAINIER AVENUE SOUTH, SEATTLE, WA, 98144"
5,"4817 NORTH KICKAPOO AVE, SHAWNEE, OK, 74804"
8,"201 CONLEY RD, COLUMBIA, MO, 65201"
9,"2168 US 68 SOUTH, BELLEFONTAINE, OH, 43311"
10,"101 ANDOVER PARK EAST, TUKWILA, WA, 98188"
12,"100 NORTH CREASY LANE, LAFAYETTE, IN, 47905"
15,"1055 W. ANTELOPE DRIVE, LAYTON, UT, 84041"
16,"550 ISLAND FORD RD., MADISONVILLE, KY, 42431"
18,"901 W APPLEWAY AVE, COEUR D ALENE, ID, 83814"
19,"1952 NORTH STATE, RT. 53, FREMONT, OH, 43420"
22,"1755 QUENTIN ROAD, LEBANON, PA, 17042"
26,"2701 SOUTH ORCHARD STREET, TACOMA, WA, 98466"
28,"3620 EMMETT F. LOWRY EXPWAY, TEXAS CITY, TX, 77590"
31,"1415 7TH AVE. EAST, HENDERSONVILLE, NC, 28792"
33,"955 BULLSBORO DR, NEWNAN, GA, 30265"
35,"1717 FREEWAY DRIVE, MOUNT VERNON, WA, 98273"
37,"3600 PARK MILL RUN DR., HILLIARD, OH, 43026"
42,"5252 SALEM AVE., TROTWOOD, OH, 45426"
44,"4115 MALL DRIVE, STEUBENVILLE, OH, 43952"
46,"1300 MALL DRIVE, BENTON HARBOR, MI, 49022"
52,"3636 N VERMILION, DANVILLE, IL, 61832"
53,"4430 ILLINOIS RD., FORT WAYNE, IN, 46804"
56,"14873 CARMENITA ROAD, NORWALK, CA, 90650"
57,"3435 AGENCY, BURLINGTON, IA, 52601"
586,"585, RUE DE TOURAINE, BOUCHERVILLE, QC, J4B 5E4"
59,"2050 SYCAMORE RD., DEKALB, IL, 60115"
61,"3300 169TH PLACE NE, ARLINGTON, WA, 98223"
63,"3315 NORTH LOOP 250 W., MIDLAND, TX, 79707"
66,"111 DAVIDSON AVE., MOUNT VERNON, IL, 62864"
69,"6122 B DRIVE NORTH, BATTLE CREEK, MI, 49014"
71,"2219 RIETH BLVD., GOSHEN, IN, 46526"
72,"3500 NORTH 14TH ST., PONCA CITY, OK, 74601"
75,"3301 KELL BLVD., WICHITA FALLS, TX, 76308"
77,"5500 MILAN RD. - SPACE 304, SANDUSKY, OH, 44870"
80,"1904 NORTH PROSPECT AVE., CHAMPAIGN, IL, 61822"
82,"3501 SOUTH MEDFORD, LUFKIN, TX, 75901"
86,"3565 HOLLAND ROAD, VIRGINIA BEACH, VA, 23452"
88,"1369 DIVISION ST., ADRIAN, MI, 49221"
89,"2850-I CENTRE DRIVE, FAIRBORN, OH, 45324"
90,"5301 SHERWOOD WAY, SAN ANGELO, TX, 76904"
91,"1800 SOUTH PARKWAY, CORINTH, MS, 38834"
92,"531 WEST CARL SANDBURG DR, GALESBURG, IL, 61401"
95,"4120 DOWLEN ROAD, BEAUMONT, TX, 77706"
97,"5002 GARTH RD., BAYTOWN, TX, 77521"
98,"19935 KATY FREEWAY, HOUSTON, TX, 77094"
102,"1701 SOUTH HAVANA STREET, AURORA, CO, 80012"
103,"3225 FREEDOM BLVD., BRYAN, TX, 77802"
104,"3820 44TH AVENUE DR., MOLINE, IL, 61265"
107,"3955 ELMORE AVE., DAVENPORT, IA, 52807"
110,"50421 VALLEY PLAZA DR, SAINT CLAIRSVILLE, OH, 43950"
113,"1512 WEST KOGER CENTER DR., NORTH CHESTERFIELD, VA, 23235"
116,"4401 WEST CLARA LANE, MUNCIE, IN, 47304"
117,"4100 DODGE ST., DUBUQUE, IA, 52003"
