site_id,address
IM00068,"3821 Southwest 47th Avenue, Davie, FL"
IM00071,"3130 Whitten Road, Lakeland, FL"
IM00074,"2925 Northwest 120th Terrace, Miami, FL"
IM00075,"3608 Shader Road, Orlando, FL"
IM00076,"7960 Central Industrial Drive, Riviera Beach, FL"
IM00139,"14500 Weston Pkwy, Cary, NC"
IM00277,"13775 Northwest 5th Street, Sunrise, FL"
IM00509,"3501 Electronics Way, West Palm Beach, FL"
IM00795,"1420 Exchange Street, Charlotte, NC"
IM00868,"10002 Satellite Boulevard, Orlando, FL"
IM00945,"12855 Starkey Road, Largo, FL"
IM00950,"13280 Vantage Way, Jacksonville, FL"
IM00961,"5905 N Waldo Road, Gainesville, FL"
IM00978,"70 Crayton Road, Asheville, NC"
IM01125,"2605 North Berkeley Lake Road, Duluth, GA"
IM01129,"2920 Hutchinson-McDonald, Charlotte, NC"
IM01154,"10525 Granite Avenue, Charlotte, NC"
IM01817,"13700 NW 2nd Street, Sunrise, FL"
IM01859,"440 East Stateline Road-Ste A, Southaven, MS"
IM01986,"826 Church Street, Morrisville, NC"
IM01988,"2729 Patterson Street, Greensboro, NC"
IM02102,"4561 Oak Fair Boulevard, Tampa, FL"
IM02144,"4198 Eagle Hill Drive, High Point, NC"
IM02601,"7801 Riviera Boulevard, Miramar, FL"
